,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 9]",rainbow,8,6,4,5.416591302289324,"[9, 9, 9]",rainbow,5.416591302289324
1,"[9, 9, 8]",rainbow,8,6,4,5.857619749417823,"[9, 9, 8]",rainbow,5.857619749417823
2,"[9, 9, 7]",rainbow,8,6,4,6.319361714879085,"[9, 9, 7]",rainbow,6.319361714879085
3,"[9, 9, 6]",rainbow,10,7,5,3.5735258089598783,"[9, 9, 6]",rainbow,3.5735258089598783
4,"[9, 9, 5]",rainbow,10,7,5,4.893767297043868,"[9, 9, 5]",rainbow,4.893767297043868
5,"[9, 9, 4]",rainbow,10,7,5,4.936764085144238,"[9, 9, 4]",rainbow,4.936764085144238
6,"[9, 9, 3]",rainbow,10,7,5,4.9413066900857405,"[9, 9, 3]",rainbow,4.9413066900857405
7,"[9, 9, 2]",rainbow,10,7,5,4.934878330818498,"[9, 9, 2]",rainbow,4.934878330818498
8,"[9, 8, 8]",rainbow,8,6,4,6.972947841999997,"[9, 8, 8]",rainbow,6.972947841999997
9,"[9, 8, 7]",rainbow,1,1,1,1.717754,"[9, 8, 7]",rainbow,1.717754
10,"[9, 8, 6]",rainbow,2,2,2,5.888976221763666,"[9, 8, 6]",rainbow,5.888976221763666
11,"[9, 8, 5]",rainbow,4,3,2,7.354781031448273,"[9, 8, 5]",rainbow,7.354781031448273
12,"[9, 8, 4]",rainbow,1,1,1,7.6987965081379315,"[9, 8, 4]",rainbow,7.6987965081379315
13,"[9, 8, 3]",rainbow,8,6,4,7.692463720827585,"[9, 8, 3]",rainbow,7.692463720827585
14,"[9, 8, 2]",rainbow,1,1,1,7.6857063572413775,"[9, 8, 2]",rainbow,7.6857063572413775
15,"[9, 7, 7]",rainbow,8,6,4,6.733776697144362,"[9, 7, 7]",rainbow,6.733776697144362
16,"[9, 7, 6]",rainbow,2,2,2,6.78528595607861,"[9, 7, 6]",rainbow,6.78528595607861
17,"[9, 7, 5]",rainbow,8,6,4,6.998995503163913,"[9, 7, 5]",rainbow,6.998995503163913
18,"[9, 7, 4]",rainbow,1,1,1,7.294676608380178,"[9, 7, 4]",rainbow,7.294676608380178
19,"[9, 7, 3]",rainbow,2,2,2,7.295777731782477,"[9, 7, 3]",rainbow,7.295777731782477
20,"[9, 7, 2]",rainbow,1,1,1,7.307424195414661,"[9, 7, 2]",rainbow,7.307424195414661
21,"[9, 6, 6]",rainbow,10,7,5,5.613918894597702,"[9, 6, 6]",rainbow,5.613918894597702
22,"[9, 6, 5]",rainbow,1,1,1,5.558505577053292,"[9, 6, 5]",rainbow,5.558505577053292
23,"[9, 6, 4]",rainbow,10,7,5,5.847526649579938,"[9, 6, 4]",rainbow,5.847526649579938
24,"[9, 6, 3]",rainbow,10,7,5,5.8544878142695955,"[9, 6, 3]",rainbow,5.8544878142695955
25,"[9, 6, 2]",rainbow,1,1,1,5.8650257510971775,"[9, 6, 2]",rainbow,5.8650257510971775
26,"[9, 5, 5]",rainbow,10,7,5,6.595905575569974,"[9, 5, 5]",rainbow,6.595905575569974
27,"[9, 5, 4]",rainbow,10,7,5,7.596888947223276,"[9, 5, 4]",rainbow,7.596888947223276
28,"[9, 5, 3]",rainbow,10,7,5,7.621655814862533,"[9, 5, 3]",rainbow,7.621655814862533
29,"[9, 5, 2]",rainbow,10,7,5,7.647201137475264,"[9, 5, 2]",rainbow,7.647201137475264
30,"[9, 4, 4]",rainbow,10,7,5,6.619664929283501,"[9, 4, 4]",rainbow,6.619664929283501
31,"[9, 4, 3]",rainbow,10,7,5,7.257638026633089,"[9, 4, 3]",rainbow,7.257638026633089
32,"[9, 4, 2]",rainbow,10,7,5,7.300989990591974,"[9, 4, 2]",rainbow,7.300989990591974
33,"[9, 3, 3]",rainbow,10,7,5,6.633700815490398,"[9, 3, 3]",rainbow,6.633700815490398
34,"[9, 3, 2]",rainbow,10,7,5,7.285521399610543,"[9, 3, 2]",rainbow,7.285521399610543
35,"[9, 2, 2]",rainbow,10,7,5,6.629758016485094,"[9, 2, 2]",rainbow,6.629758016485094
36,"[8, 8, 8]",rainbow,8,6,4,8.25868741800722,"[8, 8, 8]",rainbow,8.25868741800722
37,"[8, 8, 7]",rainbow,8,6,4,7.369462944941014,"[8, 8, 7]",rainbow,7.369462944941014
38,"[8, 8, 6]",rainbow,10,7,5,8.684217105603446,"[8, 8, 6]",rainbow,8.684217105603446
39,"[8, 8, 5]",rainbow,10,7,5,7.899016776785412,"[8, 8, 5]",rainbow,7.899016776785412
40,"[8, 8, 4]",rainbow,10,7,5,7.981637744485107,"[8, 8, 4]",rainbow,7.981637744485107
41,"[8, 8, 3]",rainbow,10,7,5,8.005320183158176,"[8, 8, 3]",rainbow,8.005320183158176
42,"[8, 8, 2]",rainbow,10,7,5,8.000303671154684,"[8, 8, 2]",rainbow,8.000303671154684
43,"[8, 7, 7]",rainbow,8,6,4,7.289109686524501,"[8, 7, 7]",rainbow,7.289109686524501
44,"[8, 7, 6]",rainbow,2,2,2,3.2609603082664096,"[8, 7, 6]",rainbow,3.2609603082664096
45,"[8, 7, 5]",rainbow,8,6,4,7.297023101814883,"[8, 7, 5]",rainbow,7.297023101814883
46,"[8, 7, 4]",rainbow,2,2,2,7.7775431627949185,"[8, 7, 4]",rainbow,7.7775431627949185
47,"[8, 7, 3]",rainbow,1,1,1,8.04818416524501,"[8, 7, 3]",rainbow,8.04818416524501
48,"[8, 7, 2]",rainbow,3,2,2,8.043598025317605,"[8, 7, 2]",rainbow,8.043598025317605
49,"[8, 6, 6]",rainbow,10,7,5,7.516403841422367,"[8, 6, 6]",rainbow,7.516403841422367
50,"[8, 6, 5]",rainbow,8,6,4,7.542368329038112,"[8, 6, 5]",rainbow,7.542368329038112
51,"[8, 6, 4]",rainbow,8,6,4,8.088720673593466,"[8, 6, 4]",rainbow,8.088720673593466
52,"[8, 6, 3]",rainbow,8,6,4,8.29979681306715,"[8, 6, 3]",rainbow,8.29979681306715
53,"[8, 6, 2]",rainbow,8,6,4,8.298564128856622,"[8, 6, 2]",rainbow,8.298564128856622
54,"[8, 5, 5]",rainbow,10,7,5,7.0645559940138405,"[8, 5, 5]",rainbow,7.0645559940138405
55,"[8, 5, 4]",rainbow,8,6,4,8.047451158570805,"[8, 5, 4]",rainbow,8.047451158570805
56,"[8, 5, 3]",rainbow,1,1,1,8.430769363596681,"[8, 5, 3]",rainbow,8.430769363596681
57,"[8, 5, 2]",rainbow,1,1,1,8.42625210126582,"[8, 5, 2]",rainbow,8.42625210126582
58,"[8, 4, 4]",rainbow,10,7,5,7.147656545114421,"[8, 4, 4]",rainbow,7.147656545114421
59,"[8, 4, 3]",rainbow,3,2,2,8.533255870549354,"[8, 4, 3]",rainbow,8.533255870549354
60,"[8, 4, 2]",rainbow,8,6,4,8.524577424455945,"[8, 4, 2]",rainbow,8.524577424455945
61,"[8, 3, 3]",rainbow,10,7,5,7.167109436428259,"[8, 3, 3]",rainbow,7.167109436428259
62,"[8, 3, 2]",rainbow,10,7,5,8.099899141921808,"[8, 3, 2]",rainbow,8.099899141921808
63,"[8, 2, 2]",rainbow,10,7,5,7.1670572875849565,"[8, 2, 2]",rainbow,7.1670572875849565
64,"[7, 7, 7]",rainbow,8,6,4,8.571971146646725,"[7, 7, 7]",rainbow,8.571971146646725
65,"[7, 7, 6]",rainbow,2,2,2,7.8423276782214115,"[7, 7, 6]",rainbow,7.8423276782214115
66,"[7, 7, 5]",rainbow,10,7,5,8.076884846282937,"[7, 7, 5]",rainbow,8.076884846282937
67,"[7, 7, 4]",rainbow,10,7,5,8.201545833340989,"[7, 7, 4]",rainbow,8.201545833340989
68,"[7, 7, 3]",rainbow,10,7,5,8.272263532817199,"[7, 7, 3]",rainbow,8.272263532817199
69,"[7, 7, 2]",rainbow,10,7,5,8.276179422406898,"[7, 7, 2]",rainbow,8.276179422406898
70,"[7, 6, 6]",rainbow,8,6,4,7.747382790744102,"[7, 6, 6]",rainbow,7.747382790744102
71,"[7, 6, 5]",rainbow,1,1,1,7.178635974591651,"[7, 6, 5]",rainbow,7.178635974591651
72,"[7, 6, 4]",rainbow,3,2,2,8.016252973865699,"[7, 6, 4]",rainbow,8.016252973865699
73,"[7, 6, 3]",rainbow,2,2,2,8.496616372413792,"[7, 6, 3]",rainbow,8.496616372413792
74,"[7, 6, 2]",rainbow,8,6,4,8.668921692558982,"[7, 6, 2]",rainbow,8.668921692558982
75,"[7, 5, 5]",rainbow,10,7,5,7.248921736446966,"[7, 5, 5]",rainbow,7.248921736446966
76,"[7, 5, 4]",rainbow,3,2,2,7.859114631601919,"[7, 5, 4]",rainbow,7.859114631601919
77,"[7, 5, 3]",rainbow,1,1,1,8.618975233522479,"[7, 5, 3]",rainbow,8.618975233522479
78,"[7, 5, 2]",rainbow,8,6,4,8.875665034919248,"[7, 5, 2]",rainbow,8.875665034919248
79,"[7, 4, 4]",rainbow,10,7,5,7.365989538607592,"[7, 4, 4]",rainbow,7.365989538607592
80,"[7, 4, 3]",rainbow,8,6,4,8.76894684417285,"[7, 4, 3]",rainbow,8.76894684417285
81,"[7, 4, 2]",rainbow,1,1,1,9.022770187254473,"[7, 4, 2]",rainbow,9.022770187254473
82,"[7, 3, 3]",rainbow,10,7,5,7.422036453841115,"[7, 3, 3]",rainbow,7.422036453841115
83,"[7, 3, 2]",rainbow,1,1,1,9.099821484068093,"[7, 3, 2]",rainbow,9.099821484068093
