,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 9]",rainbow,2,2,2,4.746710372972974,"[9, 9, 9]",rainbow,4.746710372972974
1,"[9, 9, 8]",rainbow,1,1,1,3.711355446823448,"[9, 9, 8]",rainbow,3.711355446823448
2,"[9, 9, 7]",rainbow,16,11,8,4.033205666830467,"[9, 9, 7]",rainbow,4.033205666830467
3,"[9, 9, 6]",rainbow,2,2,2,4.158608673359074,"[9, 9, 6]",rainbow,4.158608673359074
4,"[9, 9, 5]",rainbow,16,11,8,4.864883257808218,"[9, 9, 5]",rainbow,4.864883257808218
5,"[9, 9, 4]",rainbow,3,2,2,4.865788521267124,"[9, 9, 4]",rainbow,4.865788521267124
6,"[9, 9, 3]",rainbow,15,10,7,4.540177317567569,"[9, 9, 3]",rainbow,4.540177317567569
7,"[9, 9, 2]",rainbow,10,7,5,4.539688605405405,"[9, 9, 2]",rainbow,4.539688605405405
8,"[9, 8, 8]",rainbow,16,11,8,4.296272776800001,"[9, 8, 8]",rainbow,4.296272776800001
9,"[9, 8, 7]",rainbow,2,2,2,2.6306689265,"[9, 8, 7]",rainbow,2.6306689265
10,"[9, 8, 6]",rainbow,16,11,8,3.749217162049861,"[9, 8, 6]",rainbow,3.749217162049861
11,"[9, 8, 5]",rainbow,2,2,2,4.525013168918919,"[9, 8, 5]",rainbow,4.525013168918919
12,"[9, 8, 4]",rainbow,16,11,8,4.5740883445945935,"[9, 8, 4]",rainbow,4.5740883445945935
13,"[9, 8, 3]",rainbow,4,3,2,4.191475284000002,"[9, 8, 3]",rainbow,4.191475284000002
14,"[9, 8, 2]",rainbow,1,1,1,4.1904510816,"[9, 8, 2]",rainbow,4.1904510816
15,"[9, 7, 7]",rainbow,2,2,2,4.6243652220000016,"[9, 7, 7]",rainbow,4.6243652220000016
16,"[9, 7, 6]",rainbow,2,2,2,4.128362630193904,"[9, 7, 6]",rainbow,4.128362630193904
17,"[9, 7, 5]",rainbow,8,6,4,4.9242761959459465,"[9, 7, 5]",rainbow,4.9242761959459465
18,"[9, 7, 4]",rainbow,3,2,2,4.967053398648648,"[9, 7, 4]",rainbow,4.967053398648648
19,"[9, 7, 3]",rainbow,16,11,8,4.6100921580000005,"[9, 7, 3]",rainbow,4.6100921580000005
