,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[14, 9, 9]",rainbow,8,6,4,3.0950033371922965,"[14, 9, 9]",rainbow,3.0950033371922965
1,"[14, 9, 8]",rainbow,1,1,1,4.091090725048668,"[14, 9, 8]",rainbow,4.091090725048668
2,"[14, 9, 7]",rainbow,2,2,2,3.3159618463120064,"[14, 9, 7]",rainbow,3.3159618463120064
3,"[14, 9, 6]",rainbow,1,1,1,1.5513711590359234,"[14, 9, 6]",rainbow,1.5513711590359234
4,"[14, 9, 5]",rainbow,1,1,1,3.2743218358511914,"[14, 9, 5]",rainbow,3.2743218358511914
5,"[14, 9, 4]",rainbow,1,1,1,3.3363784601671127,"[14, 9, 4]",rainbow,3.3363784601671127
6,"[14, 9, 3]",rainbow,2,2,2,3.3325656907019376,"[14, 9, 3]",rainbow,3.3325656907019376
7,"[14, 9, 2]",rainbow,1,1,1,3.3337996804407437,"[14, 9, 2]",rainbow,3.3337996804407437
8,"[14, 8, 8]",rainbow,8,6,4,4.712484839763771,"[14, 8, 8]",rainbow,4.712484839763771
9,"[14, 8, 7]",rainbow,2,2,2,4.1756273070362475,"[14, 8, 7]",rainbow,4.1756273070362475
10,"[14, 8, 6]",rainbow,10,7,5,4.855809939741948,"[14, 8, 6]",rainbow,4.855809939741948
11,"[14, 8, 5]",rainbow,10,7,5,4.903249922397498,"[14, 8, 5]",rainbow,4.903249922397498
12,"[14, 8, 4]",rainbow,10,7,5,4.956533951655315,"[14, 8, 4]",rainbow,4.956533951655315
13,"[14, 8, 3]",rainbow,10,7,5,5.0013567079219285,"[14, 8, 3]",rainbow,5.0013567079219285
14,"[14, 8, 2]",rainbow,10,7,5,4.990431482221663,"[14, 8, 2]",rainbow,4.990431482221663
15,"[14, 7, 7]",rainbow,8,6,4,4.601238890346473,"[14, 7, 7]",rainbow,4.601238890346473
16,"[14, 7, 6]",rainbow,10,7,5,4.924660790791462,"[14, 7, 6]",rainbow,4.924660790791462
17,"[14, 7, 5]",rainbow,10,7,5,4.86243558342796,"[14, 7, 5]",rainbow,4.86243558342796
18,"[14, 7, 4]",rainbow,10,7,5,4.923109825648363,"[14, 7, 4]",rainbow,4.923109825648363
19,"[14, 7, 3]",rainbow,10,7,5,4.967537308494408,"[14, 7, 3]",rainbow,4.967537308494408
20,"[14, 7, 2]",rainbow,10,7,5,4.985255204343927,"[14, 7, 2]",rainbow,4.985255204343927
21,"[14, 6, 6]",rainbow,10,7,5,4.5114200862368845,"[14, 6, 6]",rainbow,4.5114200862368845
22,"[14, 6, 5]",rainbow,10,7,5,4.853417855171979,"[14, 6, 5]",rainbow,4.853417855171979
23,"[14, 6, 4]",rainbow,10,7,5,4.912506387149081,"[14, 6, 4]",rainbow,4.912506387149081
24,"[14, 6, 3]",rainbow,10,7,5,4.958697037363759,"[14, 6, 3]",rainbow,4.958697037363759
25,"[14, 6, 2]",rainbow,10,7,5,5.003258542270731,"[14, 6, 2]",rainbow,5.003258542270731
26,"[14, 5, 5]",rainbow,10,7,5,6.004143488059701,"[14, 5, 5]",rainbow,6.004143488059701
27,"[14, 5, 4]",rainbow,10,7,5,6.428267197014924,"[14, 5, 4]",rainbow,6.428267197014924
28,"[14, 5, 3]",rainbow,10,7,5,6.497631920149252,"[14, 5, 3]",rainbow,6.497631920149252
29,"[14, 5, 2]",rainbow,10,7,5,6.529828491044775,"[14, 5, 2]",rainbow,6.529828491044775
30,"[14, 4, 4]",rainbow,10,7,5,6.0056210925373135,"[14, 4, 4]",rainbow,6.0056210925373135
31,"[14, 4, 3]",rainbow,10,7,5,6.486633442537313,"[14, 4, 3]",rainbow,6.486633442537313
32,"[14, 4, 2]",rainbow,10,7,5,6.525465191791046,"[14, 4, 2]",rainbow,6.525465191791046
33,"[14, 3, 3]",rainbow,10,7,5,5.9971946947761205,"[14, 3, 3]",rainbow,5.9971946947761205
34,"[14, 3, 2]",rainbow,10,7,5,6.528857005223879,"[14, 3, 2]",rainbow,6.528857005223879
35,"[14, 2, 2]",rainbow,10,7,5,6.011069451492538,"[14, 2, 2]",rainbow,6.011069451492538
36,"[14, 14, 9]",rainbow,3,2,2,4.4639333782540795,"[14, 14, 9]",rainbow,4.4639333782540795
37,"[14, 14, 8]",rainbow,8,6,4,5.6376084196815945,"[14, 14, 8]",rainbow,5.6376084196815945
38,"[14, 14, 7]",rainbow,8,6,4,5.589060845201058,"[14, 14, 7]",rainbow,5.589060845201058
39,"[14, 14, 6]",rainbow,10,7,5,5.520864054883735,"[14, 14, 6]",rainbow,5.520864054883735
40,"[14, 14, 5]",rainbow,10,7,5,6.7611629353702245,"[14, 14, 5]",rainbow,6.7611629353702245
41,"[14, 14, 4]",rainbow,10,7,5,6.758014910676348,"[14, 14, 4]",rainbow,6.758014910676348
42,"[14, 14, 3]",rainbow,10,7,5,6.753350806832811,"[14, 14, 3]",rainbow,6.753350806832811
43,"[14, 14, 2]",rainbow,10,7,5,6.75699188508111,"[14, 14, 2]",rainbow,6.75699188508111
