,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 8]",two-tone,4,3,2,-8.327185008060255,"[9, 9, 8]",two-tone,-8.327185008060255
1,"[9, 9, 7]",two-tone,3,2,2,-8.698029053030304,"[9, 9, 7]",two-tone,-8.698029053030304
2,"[9, 9, 6]",two-tone,8,6,4,-9.056128005902043,"[9, 9, 6]",two-tone,-9.056128005902043
3,"[9, 9, 5]",two-tone,2,2,2,-9.290650105796336,"[9, 9, 5]",two-tone,-9.290650105796336
4,"[9, 9, 4]",two-tone,10,7,5,-9.291532105796335,"[9, 9, 4]",two-tone,-9.291532105796335
5,"[9, 9, 3]",two-tone,10,7,5,-9.291841855796337,"[9, 9, 3]",two-tone,-9.291841855796337
6,"[9, 9, 2]",two-tone,4,3,2,-9.291462543296335,"[9, 9, 2]",two-tone,-9.291462543296335
7,"[9, 8, 8]",two-tone,3,2,2,-8.327833502378436,"[9, 8, 8]",two-tone,-8.327833502378436
8,"[9, 8, 7]",two-tone,8,6,4,-4.5220321690451035,"[9, 8, 7]",two-tone,-4.5220321690451035
9,"[9, 8, 6]",two-tone,3,2,2,-8.820411058535942,"[9, 8, 6]",two-tone,-8.820411058535942
10,"[9, 8, 5]",two-tone,10,7,5,-11.74532273722692,"[9, 8, 5]",two-tone,-11.74532273722692
11,"[9, 8, 4]",two-tone,1,1,1,-11.830113337033124,"[9, 8, 4]",two-tone,-11.830113337033124
12,"[9, 8, 3]",two-tone,2,2,2,-11.828548837033123,"[9, 8, 3]",two-tone,-11.828548837033123
13,"[9, 8, 2]",two-tone,2,2,2,-11.829605399533124,"[9, 8, 2]",two-tone,-11.829605399533124
14,"[9, 7, 7]",two-tone,8,6,4,-8.698010797348484,"[9, 7, 7]",two-tone,-8.698010797348484
15,"[9, 7, 6]",two-tone,2,2,2,-9.284291486301976,"[9, 7, 6]",two-tone,-9.284291486301976
16,"[9, 7, 5]",two-tone,2,2,2,-12.207978602492952,"[9, 7, 5]",two-tone,-12.207978602492952
17,"[9, 7, 4]",two-tone,4,3,2,-12.291745452299152,"[9, 7, 4]",two-tone,-12.291745452299152
18,"[9, 7, 3]",two-tone,10,7,5,-12.291887202299154,"[9, 7, 3]",two-tone,-12.291887202299154
19,"[9, 7, 2]",two-tone,15,10,7,-12.292236327299154,"[9, 7, 2]",two-tone,-12.292236327299154
20,"[9, 6, 6]",two-tone,15,10,7,-9.055369500220227,"[9, 6, 6]",two-tone,-9.055369500220227
21,"[9, 6, 5]",two-tone,1,1,1,-12.695120045278365,"[9, 6, 5]",two-tone,-12.695120045278365
22,"[9, 6, 4]",two-tone,10,7,5,-12.77938958258457,"[9, 6, 4]",two-tone,-12.77938958258457
23,"[9, 6, 3]",two-tone,1,1,1,-12.780803145084569,"[9, 6, 3]",two-tone,-12.780803145084569
24,"[9, 6, 2]",two-tone,8,6,4,-12.78085695758457,"[9, 6, 2]",two-tone,-12.78085695758457
25,"[9, 5, 5]",two-tone,1,1,1,-9.290085850114515,"[9, 5, 5]",two-tone,-9.290085850114515
26,"[9, 5, 4]",two-tone,8,6,4,-13.26893135125969,"[9, 5, 4]",two-tone,-13.26893135125969
27,"[9, 5, 3]",two-tone,1,1,1,-13.269335601259689,"[9, 5, 3]",two-tone,-13.269335601259689
28,"[9, 5, 2]",two-tone,10,7,5,-13.26956266375969,"[9, 5, 2]",two-tone,-13.26956266375969
29,"[9, 4, 4]",two-tone,8,6,4,-9.291232975114516,"[9, 4, 4]",two-tone,-9.291232975114516
30,"[9, 4, 3]",two-tone,15,10,7,-12.309248442829453,"[9, 4, 3]",two-tone,-12.309248442829453
31,"[9, 4, 2]",two-tone,1,1,1,-12.308912442829454,"[9, 4, 2]",two-tone,-12.308912442829454
32,"[9, 3, 3]",two-tone,3,2,2,-9.290140975114516,"[9, 3, 3]",two-tone,-9.290140975114516
33,"[9, 3, 2]",two-tone,1,1,1,-12.310013630329454,"[9, 3, 2]",two-tone,-12.310013630329454
34,"[9, 2, 2]",two-tone,16,11,8,-9.290176412614516,"[9, 2, 2]",two-tone,-9.290176412614516
35,"[8, 8, 7]",two-tone,16,11,8,-8.688222291666667,"[8, 8, 7]",two-tone,-8.688222291666667
36,"[8, 8, 6]",two-tone,1,1,1,-9.04450736953841,"[8, 8, 6]",two-tone,-9.04450736953841
37,"[8, 8, 5]",two-tone,10,7,5,-9.281533719432698,"[8, 8, 5]",two-tone,-9.281533719432698
38,"[8, 8, 4]",two-tone,16,11,8,-9.2816846569327,"[8, 8, 4]",two-tone,-9.2816846569327
39,"[8, 8, 3]",two-tone,15,10,7,-9.281856594432698,"[8, 8, 3]",two-tone,-9.281856594432698
40,"[8, 8, 2]",two-tone,1,1,1,-9.281168844432699,"[8, 8, 2]",two-tone,-9.281168844432699
41,"[8, 7, 7]",two-tone,3,2,2,-8.688761729166666,"[8, 7, 7]",two-tone,-8.688761729166666
42,"[8, 7, 6]",two-tone,1,1,1,-9.061905589279425,"[8, 7, 6]",two-tone,-9.061905589279425
