,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 8]",two-tone,1,1,1,-2.7411286453785837,"[9, 9, 8]",two-tone,-2.7411286453785837
1,"[9, 9, 7]",two-tone,2,2,2,-3.1952689022217964,"[9, 9, 7]",two-tone,-3.1952689022217964
2,"[9, 9, 6]",two-tone,3,2,2,-5.36386924414456,"[9, 9, 6]",two-tone,-5.36386924414456
3,"[9, 9, 5]",two-tone,1,1,1,-5.454298534061712,"[9, 9, 5]",two-tone,-5.454298534061712
4,"[9, 9, 4]",two-tone,2,2,2,-5.451057228742564,"[9, 9, 4]",two-tone,-5.451057228742564
5,"[9, 9, 3]",two-tone,1,1,1,-5.44390478512554,"[9, 9, 3]",two-tone,-5.44390478512554
6,"[9, 9, 2]",two-tone,2,2,2,-5.448876021295755,"[9, 9, 2]",two-tone,-5.448876021295755
7,"[9, 8, 8]",two-tone,1,1,1,-2.48938756705244,"[9, 8, 8]",two-tone,-2.48938756705244
8,"[9, 8, 7]",two-tone,2,2,2,10.943218221501477,"[9, 8, 7]",two-tone,10.943218221501477
9,"[9, 8, 6]",two-tone,1,1,1,-0.2799583774744372,"[9, 8, 6]",two-tone,-0.2799583774744372
10,"[9, 8, 5]",two-tone,1,1,1,-1.2744447943674388,"[9, 8, 5]",two-tone,-1.2744447943674388
11,"[9, 8, 4]",two-tone,1,1,1,-1.2702550180410903,"[9, 8, 4]",two-tone,-1.2702550180410903
12,"[9, 8, 3]",two-tone,1,1,1,-1.2884189680410905,"[9, 8, 3]",two-tone,-1.2884189680410905
13,"[9, 8, 2]",two-tone,1,1,1,-1.2760679612229098,"[9, 8, 2]",two-tone,-1.2760679612229098
14,"[9, 7, 7]",two-tone,1,1,1,-3.34570108828959,"[9, 7, 7]",two-tone,-3.34570108828959
15,"[9, 7, 6]",two-tone,1,1,1,-0.9320329292792467,"[9, 7, 6]",two-tone,-0.9320329292792467
16,"[9, 7, 5]",two-tone,2,2,2,-2.0929680855661887,"[9, 7, 5]",two-tone,-2.0929680855661887
17,"[9, 7, 4]",two-tone,2,2,2,-2.2673928842398454,"[9, 7, 4]",two-tone,-2.2673928842398454
18,"[9, 7, 3]",two-tone,2,2,2,-2.2656128478762088,"[9, 7, 3]",two-tone,-2.2656128478762088
19,"[9, 7, 2]",two-tone,1,1,1,-2.26146310469439,"[9, 7, 2]",two-tone,-2.26146310469439
20,"[9, 6, 6]",two-tone,1,1,1,-4.835245449533842,"[9, 6, 6]",two-tone,-4.835245449533842
21,"[9, 6, 5]",two-tone,1,1,1,-5.1363187973293565,"[9, 6, 5]",two-tone,-5.1363187973293565
22,"[9, 6, 4]",two-tone,2,2,2,-5.5250618922107355,"[9, 6, 4]",two-tone,-5.5250618922107355
23,"[9, 6, 3]",two-tone,2,2,2,-5.524262532636268,"[9, 6, 3]",two-tone,-5.524262532636268
24,"[9, 6, 2]",two-tone,3,2,2,-5.5373836549766935,"[9, 6, 2]",two-tone,-5.5373836549766935
25,"[9, 5, 5]",two-tone,3,2,2,-4.952260905397277,"[9, 5, 5]",two-tone,-4.952260905397277
26,"[9, 5, 4]",two-tone,3,2,2,-5.723693649904945,"[9, 5, 4]",two-tone,-5.723693649904945
27,"[9, 5, 3]",two-tone,1,1,1,-5.7287384179900505,"[9, 5, 3]",two-tone,-5.7287384179900505
28,"[9, 5, 2]",two-tone,1,1,1,-5.734697844585796,"[9, 5, 2]",two-tone,-5.734697844585796
29,"[9, 4, 4]",two-tone,3,2,2,-4.994906074546213,"[9, 4, 4]",two-tone,-4.994906074546213
30,"[9, 4, 3]",two-tone,2,2,2,-5.5615826002395865,"[9, 4, 3]",two-tone,-5.5615826002395865
31,"[9, 4, 2]",two-tone,3,2,2,-5.575585014069375,"[9, 4, 2]",two-tone,-5.575585014069375
32,"[9, 3, 3]",two-tone,1,1,1,-4.990885110716425,"[9, 3, 3]",two-tone,-4.990885110716425
33,"[9, 3, 2]",two-tone,2,2,2,-5.569890586409802,"[9, 3, 2]",two-tone,-5.569890586409802
34,"[9, 2, 2]",two-tone,1,1,1,-4.995068323482382,"[9, 2, 2]",two-tone,-4.995068323482382
35,"[8, 8, 7]",two-tone,1,1,1,-4.279439652294817,"[8, 8, 7]",two-tone,-4.279439652294817
