,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 8]",two-tone,1,1,1,-3.7313402981366472,"[9, 9, 8]",two-tone,-3.7313402981366472
1,"[9, 9, 7]",two-tone,1,1,1,-3.928479382194614,"[9, 9, 7]",two-tone,-3.928479382194614
2,"[9, 9, 6]",two-tone,3,2,2,-4.181489091097306,"[9, 9, 6]",two-tone,-4.181489091097306
3,"[9, 9, 5]",two-tone,1,1,1,-5.065855809670619,"[9, 9, 5]",two-tone,-5.065855809670619
4,"[9, 9, 4]",two-tone,8,6,4,-5.06889914461133,"[9, 9, 4]",two-tone,-5.06889914461133
5,"[9, 9, 3]",two-tone,8,6,4,-5.061673243109354,"[9, 9, 3]",two-tone,-5.061673243109354
6,"[9, 9, 2]",two-tone,8,6,4,-5.062155982951252,"[9, 9, 2]",two-tone,-5.062155982951252
7,"[9, 8, 8]",two-tone,1,1,1,-1.3514374126365372,"[9, 8, 8]",two-tone,-1.3514374126365372
8,"[9, 8, 7]",two-tone,2,2,2,2.1496536250874554,"[9, 8, 7]",two-tone,2.1496536250874554
9,"[9, 8, 6]",two-tone,1,1,1,-0.3827337112586564,"[9, 8, 6]",two-tone,-0.3827337112586564
10,"[9, 8, 5]",two-tone,1,1,1,-2.716335586994685,"[9, 8, 5]",two-tone,-2.716335586994685
11,"[9, 8, 4]",two-tone,8,6,4,-2.7423556447349084,"[9, 8, 4]",two-tone,-2.7423556447349084
12,"[9, 8, 3]",two-tone,1,1,1,-2.7316948452092165,"[9, 8, 3]",two-tone,-2.7316948452092165
13,"[9, 8, 2]",two-tone,2,2,2,-2.736111948213169,"[9, 8, 2]",two-tone,-2.736111948213169
14,"[9, 7, 7]",two-tone,2,2,2,-1.5094862562575841,"[9, 7, 7]",two-tone,-1.5094862562575841
15,"[9, 7, 6]",two-tone,2,2,2,-0.7675667555936316,"[9, 7, 6]",two-tone,-0.7675667555936316
16,"[9, 7, 5]",two-tone,2,2,2,-3.0182775741515617,"[9, 7, 5]",two-tone,-3.0182775741515617
17,"[9, 7, 4]",two-tone,2,2,2,-3.0564243797573964,"[9, 7, 4]",two-tone,-3.0564243797573964
18,"[9, 7, 3]",two-tone,3,2,2,-3.0546341518127305,"[9, 7, 3]",two-tone,-3.0546341518127305
19,"[9, 7, 2]",two-tone,2,2,2,-2.9291859224846686,"[9, 7, 2]",two-tone,-2.9291859224846686
20,"[9, 6, 6]",two-tone,2,2,2,-1.7389565975869203,"[9, 6, 6]",two-tone,-1.7389565975869203
21,"[9, 6, 5]",two-tone,1,1,1,-3.3321818280073607,"[9, 6, 5]",two-tone,-3.3321818280073607
22,"[9, 6, 4]",two-tone,2,2,2,-3.3582046095815734,"[9, 6, 4]",two-tone,-3.3582046095815734
23,"[9, 6, 3]",two-tone,8,6,4,-3.3584447848384897,"[9, 6, 3]",two-tone,-3.3584447848384897
24,"[9, 6, 2]",two-tone,2,2,2,-3.227956889186314,"[9, 6, 2]",two-tone,-3.227956889186314
25,"[9, 5, 5]",two-tone,1,1,1,-3.7156315644365967,"[9, 5, 5]",two-tone,-3.7156315644365967
26,"[9, 5, 4]",two-tone,2,2,2,-5.589973270272274,"[9, 5, 4]",two-tone,-5.589973270272274
27,"[9, 5, 3]",two-tone,1,1,1,-5.6079799188229975,"[9, 5, 3]",two-tone,-5.6079799188229975
28,"[9, 5, 2]",two-tone,8,6,4,-5.532984096359226,"[9, 5, 2]",two-tone,-5.532984096359226
29,"[9, 4, 4]",two-tone,1,1,1,-3.729847522890703,"[9, 4, 4]",two-tone,-3.729847522890703
30,"[9, 4, 3]",two-tone,8,6,4,-5.270223631165897,"[9, 4, 3]",two-tone,-5.270223631165897
31,"[9, 4, 2]",two-tone,8,6,4,-5.204964714499231,"[9, 4, 2]",two-tone,-5.204964714499231
32,"[9, 3, 3]",two-tone,1,1,1,-3.741288904533214,"[9, 3, 3]",two-tone,-3.741288904533214
33,"[9, 3, 2]",two-tone,3,2,2,-5.204711591310826,"[9, 3, 2]",two-tone,-5.204711591310826
34,"[9, 2, 2]",two-tone,2,2,2,-3.747214103567031,"[9, 2, 2]",two-tone,-3.747214103567031
35,"[8, 8, 7]",two-tone,1,1,1,-5.8705050258503375,"[8, 8, 7]",two-tone,-5.8705050258503375
36,"[8, 8, 6]",two-tone,2,2,2,-6.148349463945578,"[8, 8, 6]",two-tone,-6.148349463945578
37,"[8, 8, 5]",two-tone,2,2,2,-7.1209305458225085,"[8, 8, 5]",two-tone,-7.1209305458225085
38,"[8, 8, 4]",two-tone,3,2,2,-7.262211163679654,"[8, 8, 4]",two-tone,-7.262211163679654
39,"[8, 8, 3]",two-tone,1,1,1,-7.2154856809523835,"[8, 8, 3]",two-tone,-7.2154856809523835
40,"[8, 8, 2]",two-tone,2,2,2,-7.223904548225107,"[8, 8, 2]",two-tone,-7.223904548225107
41,"[8, 7, 7]",two-tone,3,2,2,-5.860902454421767,"[8, 7, 7]",two-tone,-5.860902454421767
42,"[8, 7, 6]",two-tone,2,2,2,-4.399400786394557,"[8, 7, 6]",two-tone,-4.399400786394557
43,"[8, 7, 5]",two-tone,8,6,4,-7.704272794502161,"[8, 7, 5]",two-tone,-7.704272794502161
44,"[8, 7, 4]",two-tone,8,6,4,-9.54465203573593,"[8, 7, 4]",two-tone,-9.54465203573593
45,"[8, 7, 3]",two-tone,3,2,2,-9.20641368372294,"[8, 7, 3]",two-tone,-9.20641368372294
46,"[8, 7, 2]",two-tone,8,6,4,-9.19504743508658,"[8, 7, 2]",two-tone,-9.19504743508658
47,"[8, 6, 6]",two-tone,3,2,2,-6.149349192517007,"[8, 6, 6]",two-tone,-6.149349192517007
48,"[8, 6, 5]",two-tone,3,2,2,-8.131491454891776,"[8, 6, 5]",two-tone,-8.131491454891776
49,"[8, 6, 4]",two-tone,8,6,4,-9.972300102489175,"[8, 6, 4]",two-tone,-9.972300102489175
50,"[8, 6, 3]",two-tone,8,6,4,-9.631759873658007,"[8, 6, 3]",two-tone,-9.631759873658007
51,"[8, 6, 2]",two-tone,1,1,1,-9.622119070930736,"[8, 6, 2]",two-tone,-9.622119070930736
52,"[8, 5, 5]",two-tone,2,2,2,-8.6363841513468,"[8, 5, 5]",two-tone,-8.6363841513468
53,"[8, 5, 4]",two-tone,2,2,2,-12.066116402116402,"[8, 5, 4]",two-tone,-12.066116402116402
54,"[8, 5, 3]",two-tone,1,1,1,-12.222694225529098,"[8, 5, 3]",two-tone,-12.222694225529098
55,"[8, 5, 2]",two-tone,3,2,2,-12.228532433862432,"[8, 5, 2]",two-tone,-12.228532433862432
56,"[8, 4, 4]",two-tone,1,1,1,-8.798933224579123,"[8, 4, 4]",two-tone,-8.798933224579123
57,"[8, 4, 3]",two-tone,1,1,1,-12.441205542989414,"[8, 4, 3]",two-tone,-12.441205542989414
58,"[8, 4, 2]",two-tone,8,6,4,-12.436227292989413,"[8, 4, 2]",two-tone,-12.436227292989413
59,"[8, 3, 3]",two-tone,8,6,4,-8.750228080134677,"[8, 3, 3]",two-tone,-8.750228080134677
60,"[8, 3, 2]",two-tone,8,6,4,-11.496213161596112,"[8, 3, 2]",two-tone,-11.496213161596112
61,"[8, 2, 2]",two-tone,1,1,1,-8.752504480134679,"[8, 2, 2]",two-tone,-8.752504480134679
62,"[7, 7, 6]",two-tone,3,2,2,-6.297385821088433,"[7, 7, 6]",two-tone,-6.297385821088433
63,"[7, 7, 5]",two-tone,8,6,4,-7.215270084004327,"[7, 7, 5]",two-tone,-7.215270084004327
64,"[7, 7, 4]",two-tone,1,1,1,-7.366846985497835,"[7, 7, 4]",two-tone,-7.366846985497835
65,"[7, 7, 3]",two-tone,1,1,1,-7.321055434134197,"[7, 7, 3]",two-tone,-7.321055434134197
66,"[7, 7, 2]",two-tone,3,2,2,-7.2154068845887425,"[7, 7, 2]",two-tone,-7.2154068845887425
67,"[7, 6, 6]",two-tone,1,1,1,-6.312063106802722,"[7, 6, 6]",two-tone,-6.312063106802722
68,"[7, 6, 5]",two-tone,8,6,4,-8.914990778787882,"[7, 6, 5]",two-tone,-8.914990778787882
69,"[7, 6, 4]",two-tone,1,1,1,-10.749954080476193,"[7, 6, 4]",two-tone,-10.749954080476193
70,"[7, 6, 3]",two-tone,3,2,2,-10.412645136645024,"[7, 6, 3]",two-tone,-10.412645136645024
71,"[7, 6, 2]",two-tone,1,1,1,-9.634778188658007,"[7, 6, 2]",two-tone,-9.634778188658007
72,"[7, 5, 5]",two-tone,8,6,4,-8.748906506902355,"[7, 5, 5]",two-tone,-8.748906506902355
73,"[7, 5, 4]",two-tone,2,2,2,-12.340459378306875,"[7, 5, 4]",two-tone,-12.340459378306875
74,"[7, 5, 3]",two-tone,2,2,2,-12.514489701719574,"[7, 5, 3]",two-tone,-12.514489701719574
75,"[7, 5, 2]",two-tone,2,2,2,-12.225991058862435,"[7, 5, 2]",two-tone,-12.225991058862435
76,"[7, 4, 4]",two-tone,1,1,1,-8.913456374579123,"[7, 4, 4]",two-tone,-8.913456374579123
77,"[7, 4, 3]",two-tone,3,2,2,-12.72115593584656,"[7, 4, 3]",two-tone,-12.72115593584656
78,"[7, 4, 2]",two-tone,2,2,2,-12.444758417989414,"[7, 4, 2]",two-tone,-12.444758417989414
79,"[7, 3, 3]",two-tone,8,6,4,-8.859383280134677,"[7, 3, 3]",two-tone,-8.859383280134677
80,"[7, 3, 2]",two-tone,3,2,2,-12.35670600132275,"[7, 3, 2]",two-tone,-12.35670600132275
81,"[7, 2, 2]",two-tone,2,2,2,-8.757101380134678,"[7, 2, 2]",two-tone,-8.757101380134678
82,"[6, 6, 5]",two-tone,1,1,1,-7.219699251277057,"[6, 6, 5]",two-tone,-7.219699251277057
83,"[6, 6, 4]",two-tone,8,6,4,-7.376707437316017,"[6, 6, 4]",two-tone,-7.376707437316017
84,"[6, 6, 3]",two-tone,8,6,4,-7.3173030954978335,"[6, 6, 3]",two-tone,-7.3173030954978335
85,"[6, 6, 2]",two-tone,1,1,1,-7.225896861861472,"[6, 6, 2]",two-tone,-7.225896861861472
86,"[6, 5, 5]",two-tone,8,6,4,-8.747354256902355,"[6, 5, 5]",two-tone,-8.747354256902355
87,"[6, 5, 4]",two-tone,2,2,2,-11.955939226410932,"[6, 5, 4]",two-tone,-11.955939226410932
88,"[6, 5, 3]",two-tone,8,6,4,-12.119964174823632,"[6, 5, 3]",two-tone,-12.119964174823632
89,"[6, 5, 2]",two-tone,3,2,2,-11.831605990299824,"[6, 5, 2]",two-tone,-11.831605990299824
90,"[6, 4, 4]",two-tone,8,6,4,-8.914673713468009,"[6, 4, 4]",two-tone,-8.914673713468009
91,"[6, 4, 3]",two-tone,1,1,1,-12.337633533950616,"[6, 4, 3]",two-tone,-12.337633533950616
92,"[6, 4, 2]",two-tone,3,2,2,-12.045185099426806,"[6, 4, 2]",two-tone,-12.045185099426806
93,"[6, 3, 3]",two-tone,4,3,2,-8.865902691245788,"[6, 3, 3]",two-tone,-8.865902691245788
94,"[6, 3, 2]",two-tone,2,2,2,-11.958141099426804,"[6, 3, 2]",two-tone,-11.958141099426804
95,"[6, 2, 2]",two-tone,1,1,1,-8.757552996801346,"[6, 2, 2]",two-tone,-8.757552996801346
96,"[5, 5, 4]",two-tone,1,1,1,-10.559944028494812,"[5, 5, 4]",two-tone,-10.559944028494812
97,"[5, 5, 3]",two-tone,8,6,4,-10.561283752256603,"[5, 5, 3]",two-tone,-10.561283752256603
98,"[5, 5, 2]",two-tone,8,6,4,-10.51445239871887,"[5, 5, 2]",two-tone,-10.51445239871887
99,"[5, 4, 4]",two-tone,8,6,4,-10.469055444863024,"[5, 4, 4]",two-tone,-10.469055444863024
100,"[5, 4, 3]",two-tone,1,1,1,-10.689349373785165,"[5, 4, 3]",two-tone,-10.689349373785165
101,"[5, 4, 2]",two-tone,1,1,1,-10.707983949294269,"[5, 4, 2]",two-tone,-10.707983949294269
102,"[5, 3, 3]",two-tone,1,1,1,-10.480152868562763,"[5, 3, 3]",two-tone,-10.480152868562763
103,"[5, 3, 2]",two-tone,1,1,1,-10.71734461503277,"[5, 3, 2]",two-tone,-10.71734461503277
104,"[5, 2, 2]",two-tone,2,2,2,-10.432711318378882,"[5, 2, 2]",two-tone,-10.432711318378882
105,"[4, 4, 3]",two-tone,1,1,1,-10.562463319532547,"[4, 4, 3]",two-tone,-10.562463319532547
106,"[4, 4, 2]",two-tone,8,6,4,-10.513236214284909,"[4, 4, 2]",two-tone,-10.513236214284909
107,"[4, 3, 3]",two-tone,8,6,4,-10.479486452525027,"[4, 3, 3]",two-tone,-10.479486452525027
108,"[4, 3, 2]",two-tone,1,1,1,-18.256124230990054,"[4, 3, 2]",two-tone,-18.256124230990054
109,"[4, 2, 2]",two-tone,1,1,1,-10.420768097624164,"[4, 2, 2]",two-tone,-10.420768097624164
110,"[3, 3, 2]",two-tone,3,2,2,-10.515152986631604,"[3, 3, 2]",two-tone,-10.515152986631604
111,"[3, 2, 2]",two-tone,1,1,1,-10.416050917435488,"[3, 2, 2]",two-tone,-10.416050917435488
112,"[14, 9, 9]",two-tone,8,6,4,-6.289907501686997,"[14, 9, 9]",two-tone,-6.289907501686997
113,"[14, 9, 8]",two-tone,8,6,4,-4.728073863539288,"[14, 9, 8]",two-tone,-4.728073863539288
114,"[14, 9, 7]",two-tone,8,6,4,-4.986407593902663,"[14, 9, 7]",two-tone,-4.986407593902663
115,"[14, 9, 6]",two-tone,10,7,5,-5.2372419367912855,"[14, 9, 6]",two-tone,-5.2372419367912855
116,"[14, 9, 5]",two-tone,10,7,5,-5.3685247457418885,"[14, 9, 5]",two-tone,-5.3685247457418885
117,"[14, 9, 4]",two-tone,10,7,5,-5.353744384509736,"[14, 9, 4]",two-tone,-5.353744384509736
118,"[14, 9, 3]",two-tone,10,7,5,-5.3818637654263375,"[14, 9, 3]",two-tone,-5.3818637654263375
119,"[14, 9, 2]",two-tone,10,7,5,-5.380236911632198,"[14, 9, 2]",two-tone,-5.380236911632198
120,"[14, 8, 8]",two-tone,8,6,4,-9.685371469786775,"[14, 8, 8]",two-tone,-9.685371469786775
121,"[14, 8, 7]",two-tone,8,6,4,-8.634557125747435,"[14, 8, 7]",two-tone,-8.634557125747435
122,"[14, 8, 6]",two-tone,10,7,5,-8.977563759278821,"[14, 8, 6]",two-tone,-8.977563759278821
123,"[14, 8, 5]",two-tone,10,7,5,-9.437136289566,"[14, 8, 5]",two-tone,-9.437136289566
124,"[14, 8, 4]",two-tone,10,7,5,-9.564408365008793,"[14, 8, 4]",two-tone,-9.564408365008793
125,"[14, 8, 3]",two-tone,10,7,5,-9.551995908106576,"[14, 8, 3]",two-tone,-9.551995908106576
126,"[14, 8, 2]",two-tone,10,7,5,-9.563290813129909,"[14, 8, 2]",two-tone,-9.563290813129909
127,"[14, 7, 7]",two-tone,8,6,4,-9.682490929786775,"[14, 7, 7]",two-tone,-9.682490929786775
128,"[14, 7, 6]",two-tone,10,7,5,-9.041872388078824,"[14, 7, 6]",two-tone,-9.041872388078824
129,"[14, 7, 5]",two-tone,10,7,5,-9.477651757417094,"[14, 7, 5]",two-tone,-9.477651757417094
130,"[14, 7, 4]",two-tone,10,7,5,-9.617754988859888,"[14, 7, 4]",two-tone,-9.617754988859888
131,"[14, 7, 3]",two-tone,10,7,5,-9.59214633595767,"[14, 7, 3]",two-tone,-9.59214633595767
132,"[14, 7, 2]",two-tone,10,7,5,-9.554237821129906,"[14, 7, 2]",two-tone,-9.554237821129906
133,"[14, 6, 6]",two-tone,10,7,5,-9.684330637786775,"[14, 6, 6]",two-tone,-9.684330637786775
134,"[14, 6, 5]",two-tone,10,7,5,-9.475406761417092,"[14, 6, 5]",two-tone,-9.475406761417092
135,"[14, 6, 4]",two-tone,10,7,5,-9.615637756859886,"[14, 6, 4]",two-tone,-9.615637756859886
136,"[14, 6, 3]",two-tone,10,7,5,-9.58400594395767,"[14, 6, 3]",two-tone,-9.58400594395767
137,"[14, 6, 2]",two-tone,10,7,5,-9.567799057129903,"[14, 6, 2]",two-tone,-9.567799057129903
138,"[14, 5, 5]",two-tone,10,7,5,-10.219087401415985,"[14, 5, 5]",two-tone,-10.219087401415985
139,"[14, 5, 4]",two-tone,1,1,1,-11.170034748888268,"[14, 5, 4]",two-tone,-11.170034748888268
140,"[14, 5, 3]",two-tone,1,1,1,-11.188057893192614,"[14, 5, 3]",two-tone,-11.188057893192614
141,"[14, 5, 2]",two-tone,4,3,2,-11.156879616074042,"[14, 5, 2]",two-tone,-11.156879616074042
142,"[14, 4, 4]",two-tone,10,7,5,-10.306821687596338,"[14, 4, 4]",two-tone,-10.306821687596338
143,"[14, 4, 3]",two-tone,10,7,5,-10.464422736416793,"[14, 4, 3]",two-tone,-10.464422736416793
144,"[14, 4, 2]",two-tone,10,7,5,-10.437531208619443,"[14, 4, 2]",two-tone,-10.437531208619443
145,"[14, 3, 3]",two-tone,10,7,5,-10.402084923776696,"[14, 3, 3]",two-tone,-10.402084923776696
146,"[14, 3, 2]",two-tone,10,7,5,-10.45559445367311,"[14, 3, 2]",two-tone,-10.45559445367311
147,"[14, 2, 2]",two-tone,10,7,5,-10.49472899795705,"[14, 2, 2]",two-tone,-10.49472899795705
148,"[14, 14, 9]",two-tone,1,1,1,-1.1102953319919129,"[14, 14, 9]",two-tone,-1.1102953319919129
149,"[14, 14, 8]",two-tone,1,1,1,-4.664949501088723,"[14, 14, 8]",two-tone,-4.664949501088723
150,"[14, 14, 7]",two-tone,1,1,1,-4.664949501088723,"[14, 14, 7]",two-tone,-4.664949501088723
151,"[14, 14, 6]",two-tone,1,1,1,-4.664949501088723,"[14, 14, 6]",two-tone,-4.664949501088723
152,"[14, 14, 5]",two-tone,1,1,1,-5.580780225310737,"[14, 14, 5]",two-tone,-5.580780225310737
153,"[14, 14, 4]",two-tone,1,1,1,-5.5841710447015585,"[14, 14, 4]",two-tone,-5.5841710447015585
