,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 8]",two-tone,16,11,8,8.189559123809522,"[9, 9, 8]",two-tone,8.189559123809522
1,"[9, 9, 7]",two-tone,16,11,8,6.8789736947619025,"[9, 9, 7]",two-tone,6.8789736947619025
2,"[9, 9, 6]",two-tone,15,10,7,5.118148758095238,"[9, 9, 6]",two-tone,5.118148758095238
3,"[9, 9, 5]",two-tone,15,10,7,3.689501211337869,"[9, 9, 5]",two-tone,3.689501211337869
4,"[9, 9, 4]",two-tone,15,10,7,3.65378356371882,"[9, 9, 4]",two-tone,3.65378356371882
5,"[9, 9, 3]",two-tone,16,11,8,3.64981234829932,"[9, 9, 3]",two-tone,3.64981234829932
6,"[9, 9, 2]",two-tone,16,11,8,3.654157540589568,"[9, 9, 2]",two-tone,3.654157540589568
7,"[9, 8, 8]",two-tone,16,11,8,7.455691440515222,"[9, 8, 8]",two-tone,7.455691440515222
8,"[9, 8, 7]",two-tone,15,10,7,9.21362822463054,"[9, 8, 7]",two-tone,9.21362822463054
9,"[9, 8, 6]",two-tone,15,10,7,7.876499503631961,"[9, 8, 6]",two-tone,7.876499503631961
10,"[9, 8, 5]",two-tone,16,11,8,5.366227867915691,"[9, 8, 5]",two-tone,5.366227867915691
11,"[9, 8, 4]",two-tone,16,11,8,5.140771496252927,"[9, 8, 4]",two-tone,5.140771496252927
12,"[9, 8, 3]",two-tone,15,10,7,5.146070151288055,"[9, 8, 3]",two-tone,5.146070151288055
13,"[9, 8, 2]",two-tone,16,11,8,5.153454445667446,"[9, 8, 2]",two-tone,5.153454445667446
14,"[9, 7, 7]",two-tone,15,10,7,5.765386569086651,"[9, 7, 7]",two-tone,5.765386569086651
15,"[9, 7, 6]",two-tone,15,10,7,7.395843999515739,"[9, 7, 6]",two-tone,7.395843999515739
16,"[9, 7, 5]",two-tone,15,10,7,4.9098836074941445,"[9, 7, 5]",two-tone,4.9098836074941445
17,"[9, 7, 4]",two-tone,15,10,7,4.680445899297424,"[9, 7, 4]",two-tone,4.680445899297424
18,"[9, 7, 3]",two-tone,16,11,8,4.682728239812644,"[9, 7, 3]",two-tone,4.682728239812644
19,"[9, 7, 2]",two-tone,15,10,7,4.665856907259952,"[9, 7, 2]",two-tone,4.665856907259952
20,"[9, 6, 6]",two-tone,16,11,8,4.486847806557377,"[9, 6, 6]",two-tone,4.486847806557377
21,"[9, 6, 5]",two-tone,16,11,8,4.843912021077284,"[9, 6, 5]",two-tone,4.843912021077284
22,"[9, 6, 4]",two-tone,15,10,7,4.623084472131146,"[9, 6, 4]",two-tone,4.623084472131146
23,"[9, 6, 3]",two-tone,15,10,7,4.617183437002342,"[9, 6, 3]",two-tone,4.617183437002342
24,"[9, 6, 2]",two-tone,15,10,7,4.609267939110071,"[9, 6, 2]",two-tone,4.609267939110071
25,"[9, 5, 5]",two-tone,15,10,7,3.118538021875,"[9, 5, 5]",two-tone,3.118538021875
26,"[9, 5, 4]",two-tone,15,10,7,3.3432191756696428,"[9, 5, 4]",two-tone,3.3432191756696428
27,"[9, 5, 3]",two-tone,16,11,8,3.3404338520089283,"[9, 5, 3]",two-tone,3.3404338520089283
28,"[9, 5, 2]",two-tone,15,10,7,3.329936241741072,"[9, 5, 2]",two-tone,3.329936241741072
29,"[9, 4, 4]",two-tone,16,11,8,3.0853016569196434,"[9, 4, 4]",two-tone,3.0853016569196434
30,"[9, 4, 3]",two-tone,15,10,7,3.307793154017855,"[9, 4, 3]",two-tone,3.307793154017855
31,"[9, 4, 2]",two-tone,16,11,8,3.289813615178569,"[9, 4, 2]",two-tone,3.289813615178569
32,"[9, 3, 3]",two-tone,16,11,8,3.089999987946429,"[9, 3, 3]",two-tone,3.089999987946429
33,"[9, 3, 2]",two-tone,16,11,8,3.289600989062498,"[9, 3, 2]",two-tone,3.289600989062498
34,"[9, 2, 2]",two-tone,15,10,7,3.093903677901785,"[9, 2, 2]",two-tone,3.093903677901785
35,"[8, 8, 7]",two-tone,16,11,8,8.150107465437786,"[8, 8, 7]",two-tone,8.150107465437786
36,"[8, 8, 6]",two-tone,16,11,8,6.8704494101382485,"[8, 8, 6]",two-tone,6.8704494101382485
37,"[8, 8, 5]",two-tone,16,11,8,5.412486997802197,"[8, 8, 5]",two-tone,5.412486997802197
38,"[8, 8, 4]",two-tone,16,11,8,5.392422179340659,"[8, 8, 4]",two-tone,5.392422179340659
39,"[8, 8, 3]",two-tone,16,11,8,5.364962794725273,"[8, 8, 3]",two-tone,5.364962794725273
40,"[8, 8, 2]",two-tone,16,11,8,5.37003854241758,"[8, 8, 2]",two-tone,5.37003854241758
41,"[8, 7, 7]",two-tone,16,11,8,8.148920044239631,"[8, 7, 7]",two-tone,8.148920044239631
42,"[8, 7, 6]",two-tone,16,11,8,8.713604346731234,"[8, 7, 6]",two-tone,8.713604346731234
43,"[8, 7, 5]",two-tone,16,11,8,7.148522561751151,"[8, 7, 5]",two-tone,7.148522561751151
44,"[8, 7, 4]",two-tone,16,11,8,7.025368396774192,"[8, 7, 4]",two-tone,7.025368396774192
45,"[8, 7, 3]",two-tone,16,11,8,6.896628345622119,"[8, 7, 3]",two-tone,6.896628345622119
46,"[8, 7, 2]",two-tone,16,11,8,6.897817237788018,"[8, 7, 2]",two-tone,6.897817237788018
47,"[8, 6, 6]",two-tone,16,11,8,6.8791702963133625,"[8, 6, 6]",two-tone,6.8791702963133625
48,"[8, 6, 5]",two-tone,16,11,8,7.10797627281106,"[8, 6, 5]",two-tone,7.10797627281106
49,"[8, 6, 4]",two-tone,16,11,8,6.991733458525347,"[8, 6, 4]",two-tone,6.991733458525347
50,"[8, 6, 3]",two-tone,16,11,8,6.860185102304148,"[8, 6, 3]",two-tone,6.860185102304148
51,"[8, 6, 2]",two-tone,16,11,8,6.863348803686637,"[8, 6, 2]",two-tone,6.863348803686637
52,"[8, 5, 5]",two-tone,16,11,8,5.441048967032965,"[8, 5, 5]",two-tone,5.441048967032965
53,"[8, 5, 4]",two-tone,16,11,8,5.737447330109888,"[8, 5, 4]",two-tone,5.737447330109888
54,"[8, 5, 3]",two-tone,16,11,8,5.497637865494504,"[8, 5, 3]",two-tone,5.497637865494504
55,"[8, 5, 2]",two-tone,16,11,8,5.4951938224175825,"[8, 5, 2]",two-tone,5.4951938224175825
56,"[8, 4, 4]",two-tone,16,11,8,5.421496622417581,"[8, 4, 4]",two-tone,5.421496622417581
57,"[8, 4, 3]",two-tone,16,11,8,5.4762256254945045,"[8, 4, 3]",two-tone,5.4762256254945045
58,"[8, 4, 2]",two-tone,16,11,8,5.4795571147252735,"[8, 4, 2]",two-tone,5.4795571147252735
59,"[8, 3, 3]",two-tone,16,11,8,5.3956377978021965,"[8, 3, 3]",two-tone,5.3956377978021965
60,"[8, 3, 2]",two-tone,16,11,8,5.456393250109887,"[8, 3, 2]",two-tone,5.456393250109887
61,"[8, 2, 2]",two-tone,16,11,8,5.395672056263735,"[8, 2, 2]",two-tone,5.395672056263735
62,"[7, 7, 6]",two-tone,16,11,8,8.329759837788018,"[7, 7, 6]",two-tone,8.329759837788018
63,"[7, 7, 5]",two-tone,16,11,8,6.8107527951648335,"[7, 7, 5]",two-tone,6.8107527951648335
64,"[7, 7, 4]",two-tone,16,11,8,6.8036638826373625,"[7, 7, 4]",two-tone,6.8036638826373625
65,"[7, 7, 3]",two-tone,16,11,8,6.787996415824175,"[7, 7, 3]",two-tone,6.787996415824175
66,"[7, 7, 2]",two-tone,16,11,8,6.774532130549448,"[7, 7, 2]",two-tone,6.774532130549448
67,"[7, 6, 6]",two-tone,16,11,8,8.330769832258062,"[7, 6, 6]",two-tone,8.330769832258062
68,"[7, 6, 5]",two-tone,16,11,8,8.421607974193549,"[7, 6, 5]",two-tone,8.421607974193549
69,"[7, 6, 4]",two-tone,16,11,8,8.396006551152071,"[7, 6, 4]",two-tone,8.396006551152071
70,"[7, 6, 3]",two-tone,16,11,8,8.357003491244239,"[7, 6, 3]",two-tone,8.357003491244239
71,"[7, 6, 2]",two-tone,16,11,8,8.314103557603687,"[7, 6, 2]",two-tone,8.314103557603687
72,"[7, 5, 5]",two-tone,16,11,8,6.818185018901098,"[7, 5, 5]",two-tone,6.818185018901098
73,"[7, 5, 4]",two-tone,16,11,8,7.1120795327472495,"[7, 5, 4]",two-tone,7.1120795327472495
74,"[7, 5, 3]",two-tone,16,11,8,6.990017836923076,"[7, 5, 3]",two-tone,6.990017836923076
75,"[7, 5, 2]",two-tone,16,11,8,6.864600657582416,"[7, 5, 2]",two-tone,6.864600657582416
76,"[7, 4, 4]",two-tone,16,11,8,6.809675549450548,"[7, 4, 4]",two-tone,6.809675549450548
77,"[7, 4, 3]",two-tone,16,11,8,6.981583791208791,"[7, 4, 3]",two-tone,6.981583791208791
78,"[7, 4, 2]",two-tone,16,11,8,6.85911475208791,"[7, 4, 2]",two-tone,6.85911475208791
79,"[7, 3, 3]",two-tone,16,11,8,6.803990290109888,"[7, 3, 3]",two-tone,6.803990290109888
80,"[7, 3, 2]",two-tone,16,11,8,6.850568535384613,"[7, 3, 2]",two-tone,6.850568535384613
81,"[7, 2, 2]",two-tone,16,11,8,6.7954042026373624,"[7, 2, 2]",two-tone,6.7954042026373624
82,"[6, 6, 5]",two-tone,16,11,8,8.21334877186813,"[6, 6, 5]",two-tone,8.21334877186813
83,"[6, 6, 4]",two-tone,16,11,8,8.210573752967033,"[6, 6, 4]",two-tone,8.210573752967033
84,"[6, 6, 3]",two-tone,16,11,8,8.210938753406591,"[6, 6, 3]",two-tone,8.210938753406591
85,"[6, 6, 2]",two-tone,16,11,8,8.215240453626372,"[6, 6, 2]",two-tone,8.215240453626372
86,"[6, 5, 5]",two-tone,16,11,8,8.210155903296702,"[6, 5, 5]",two-tone,8.210155903296702
87,"[6, 5, 4]",two-tone,16,11,8,8.308381510329669,"[6, 5, 4]",two-tone,8.308381510329669
88,"[6, 5, 3]",two-tone,16,11,8,8.272976200439558,"[6, 5, 3]",two-tone,8.272976200439558
89,"[6, 5, 2]",two-tone,16,11,8,8.236582723516483,"[6, 5, 2]",two-tone,8.236582723516483
90,"[6, 4, 4]",two-tone,16,11,8,8.210943497142857,"[6, 4, 4]",two-tone,8.210943497142857
91,"[6, 4, 3]",two-tone,16,11,8,8.27663215120879,"[6, 4, 3]",two-tone,8.27663215120879
92,"[6, 4, 2]",two-tone,16,11,8,8.239255317802197,"[6, 4, 2]",two-tone,8.239255317802197
93,"[6, 3, 3]",two-tone,16,11,8,8.210130647912088,"[6, 3, 3]",two-tone,8.210130647912088
94,"[6, 3, 2]",two-tone,16,11,8,8.239422618021976,"[6, 3, 2]",two-tone,8.239422618021976
95,"[6, 2, 2]",two-tone,16,11,8,8.213675822417581,"[6, 2, 2]",two-tone,8.213675822417581
96,"[5, 5, 4]",two-tone,16,11,8,8.550733966386554,"[5, 5, 4]",two-tone,8.550733966386554
97,"[5, 5, 3]",two-tone,16,11,8,8.552336097478992,"[5, 5, 3]",two-tone,8.552336097478992
98,"[5, 5, 2]",two-tone,16,11,8,8.555685717647059,"[5, 5, 2]",two-tone,8.555685717647059
99,"[5, 4, 4]",two-tone,16,11,8,8.550825677310925,"[5, 4, 4]",two-tone,8.550825677310925
100,"[5, 4, 3]",two-tone,16,11,8,8.966258282352939,"[5, 4, 3]",two-tone,8.966258282352939
101,"[5, 4, 2]",two-tone,16,11,8,8.934098339495797,"[5, 4, 2]",two-tone,8.934098339495797
102,"[5, 3, 3]",two-tone,16,11,8,8.54900225210084,"[5, 3, 3]",two-tone,8.54900225210084
103,"[5, 3, 2]",two-tone,16,11,8,8.93242359327731,"[5, 3, 2]",two-tone,8.93242359327731
104,"[5, 2, 2]",two-tone,16,11,8,8.551971936134454,"[5, 2, 2]",two-tone,8.551971936134454
105,"[4, 4, 3]",two-tone,16,11,8,8.547479952941178,"[4, 4, 3]",two-tone,8.547479952941178
106,"[4, 4, 2]",two-tone,16,11,8,8.549215690756304,"[4, 4, 2]",two-tone,8.549215690756304
107,"[4, 3, 3]",two-tone,16,11,8,8.551608094117647,"[4, 3, 3]",two-tone,8.551608094117647
108,"[4, 3, 2]",two-tone,16,11,8,8.932184161344537,"[4, 3, 2]",two-tone,8.932184161344537
109,"[4, 2, 2]",two-tone,16,11,8,8.551817062184874,"[4, 2, 2]",two-tone,8.551817062184874
110,"[3, 3, 2]",two-tone,16,11,8,8.554038944537815,"[3, 3, 2]",two-tone,8.554038944537815
111,"[3, 2, 2]",two-tone,16,11,8,8.55112603697479,"[3, 2, 2]",two-tone,8.55112603697479
112,"[14, 9, 9]",two-tone,16,11,8,4.682677155072463,"[14, 9, 9]",two-tone,4.682677155072463
113,"[14, 9, 8]",two-tone,15,10,7,6.145860440029982,"[14, 9, 8]",two-tone,6.145860440029982
114,"[14, 9, 7]",two-tone,16,11,8,5.527512869115441,"[14, 9, 7]",two-tone,5.527512869115441
115,"[14, 9, 6]",two-tone,16,11,8,5.460432799400297,"[14, 9, 6]",two-tone,5.460432799400297
116,"[14, 9, 5]",two-tone,16,11,8,5.143300536707057,"[14, 9, 5]",two-tone,5.143300536707057
117,"[14, 9, 4]",two-tone,16,11,8,5.148494670848182,"[14, 9, 4]",two-tone,5.148494670848182
118,"[14, 9, 3]",two-tone,16,11,8,5.146397550249465,"[14, 9, 3]",two-tone,5.146397550249465
119,"[14, 9, 2]",two-tone,16,11,8,5.142174618104063,"[14, 9, 2]",two-tone,5.142174618104063
120,"[14, 8, 8]",two-tone,16,11,8,3.15895153309958,"[14, 8, 8]",two-tone,3.15895153309958
121,"[14, 8, 7]",two-tone,16,11,8,5.6220524050110505,"[14, 8, 7]",two-tone,5.6220524050110505
122,"[14, 8, 6]",two-tone,16,11,8,5.017025652984523,"[14, 8, 6]",two-tone,5.017025652984523
123,"[14, 8, 5]",two-tone,16,11,8,4.726490168653574,"[14, 8, 5]",two-tone,4.726490168653574
124,"[14, 8, 4]",two-tone,16,11,8,4.693311667812059,"[14, 8, 4]",two-tone,4.693311667812059
125,"[14, 8, 3]",two-tone,16,11,8,4.696510818793827,"[14, 8, 3]",two-tone,4.696510818793827
126,"[14, 8, 2]",two-tone,16,11,8,4.700141966619913,"[14, 8, 2]",two-tone,4.700141966619913
127,"[14, 7, 7]",two-tone,16,11,8,1.2224490395511922,"[14, 7, 7]",two-tone,1.2224490395511922
128,"[14, 7, 6]",two-tone,16,11,8,3.623269915254237,"[14, 7, 6]",two-tone,3.623269915254237
129,"[14, 7, 5]",two-tone,16,11,8,2.8601195744039267,"[14, 7, 5]",two-tone,2.8601195744039267
130,"[14, 7, 4]",two-tone,16,11,8,2.8094047277699854,"[14, 7, 4]",two-tone,2.8094047277699854
131,"[14, 7, 3]",two-tone,16,11,8,2.7924481591164083,"[14, 7, 3]",two-tone,2.7924481591164083
132,"[14, 7, 2]",two-tone,16,11,8,2.786224502594669,"[14, 7, 2]",two-tone,2.786224502594669
133,"[14, 6, 6]",two-tone,16,11,8,-0.22290974291725152,"[14, 6, 6]",two-tone,-0.22290974291725152
134,"[14, 6, 5]",two-tone,16,11,8,1.5085106438990181,"[14, 6, 5]",two-tone,1.5085106438990181
135,"[14, 6, 4]",two-tone,16,11,8,1.4352521573632528,"[14, 6, 4]",two-tone,1.4352521573632528
136,"[14, 6, 3]",two-tone,16,11,8,1.35665678401122,"[14, 6, 3]",two-tone,1.35665678401122
137,"[14, 6, 2]",two-tone,16,11,8,1.342596550841514,"[14, 6, 2]",two-tone,1.342596550841514
138,"[14, 5, 5]",two-tone,16,11,8,-1.6176521348494977,"[14, 5, 5]",two-tone,-1.6176521348494977
139,"[14, 5, 4]",two-tone,16,11,8,0.10491745050167167,"[14, 5, 4]",two-tone,0.10491745050167167
140,"[14, 5, 3]",two-tone,16,11,8,0.02891414615384646,"[14, 5, 3]",two-tone,0.02891414615384646
141,"[14, 5, 2]",two-tone,16,11,8,-0.039333231103679145,"[14, 5, 2]",two-tone,-0.039333231103679145
142,"[14, 4, 4]",two-tone,16,11,8,-1.6159783593979926,"[14, 4, 4]",two-tone,-1.6159783593979926
143,"[14, 4, 3]",two-tone,16,11,8,0.013077048829431392,"[14, 4, 3]",two-tone,0.013077048829431392
144,"[14, 4, 2]",two-tone,16,11,8,-0.043996936789297836,"[14, 4, 2]",two-tone,-0.043996936789297836
145,"[14, 3, 3]",two-tone,16,11,8,-1.6126453056856176,"[14, 3, 3]",two-tone,-1.6126453056856176
146,"[14, 3, 2]",two-tone,16,11,8,-0.03285416120401341,"[14, 3, 2]",two-tone,-0.03285416120401341
147,"[14, 2, 2]",two-tone,16,11,8,-1.6197330339130425,"[14, 2, 2]",two-tone,-1.6197330339130425
148,"[14, 14, 9]",two-tone,16,11,8,3.620151920163433,"[14, 14, 9]",two-tone,3.620151920163433
