,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 8]",two-tone,1,1,1,1.8222795044266755,"[9, 9, 8]",two-tone,1.8222795044266755
1,"[9, 9, 7]",two-tone,1,1,1,2.1575797376104093,"[9, 9, 7]",two-tone,2.1575797376104093
2,"[9, 9, 6]",two-tone,1,1,1,1.6558833931151635,"[9, 9, 6]",two-tone,1.6558833931151635
3,"[9, 9, 5]",two-tone,1,1,1,1.6746526890236897,"[9, 9, 5]",two-tone,1.6746526890236897
4,"[9, 9, 4]",two-tone,1,1,1,1.549359733175336,"[9, 9, 4]",two-tone,1.549359733175336
5,"[9, 9, 3]",two-tone,1,1,1,1.5480941933193937,"[9, 9, 3]",two-tone,1.5480941933193937
6,"[9, 9, 2]",two-tone,2,2,2,1.5464179252014751,"[9, 9, 2]",two-tone,1.5464179252014751
7,"[9, 8, 8]",two-tone,1,1,1,1.2016924723105438,"[9, 8, 8]",two-tone,1.2016924723105438
8,"[9, 8, 7]",two-tone,1,1,1,0.04579533582829959,"[9, 8, 7]",two-tone,0.04579533582829959
9,"[9, 8, 6]",two-tone,1,1,1,1.1014118926452856,"[9, 8, 6]",two-tone,1.1014118926452856
10,"[9, 8, 5]",two-tone,1,1,1,1.5830213841566194,"[9, 8, 5]",two-tone,1.5830213841566194
11,"[9, 8, 4]",two-tone,1,1,1,1.2396047444431069,"[9, 8, 4]",two-tone,1.2396047444431069
12,"[9, 8, 3]",two-tone,1,1,1,1.2361548037807435,"[9, 8, 3]",two-tone,1.2361548037807435
13,"[9, 8, 2]",two-tone,1,1,1,1.244996873491357,"[9, 8, 2]",two-tone,1.244996873491357
14,"[9, 7, 7]",two-tone,2,2,2,1.211793776106983,"[9, 7, 7]",two-tone,1.211793776106983
15,"[9, 7, 6]",two-tone,1,1,1,1.0980344801854465,"[9, 7, 6]",two-tone,1.0980344801854465
16,"[9, 7, 5]",two-tone,1,1,1,1.16451110874391,"[9, 7, 5]",two-tone,1.16451110874391
17,"[9, 7, 4]",two-tone,2,2,2,1.1421635072915202,"[9, 7, 4]",two-tone,1.1421635072915202
18,"[9, 7, 3]",two-tone,2,2,2,1.2061837499273895,"[9, 7, 3]",two-tone,1.2061837499273895
19,"[9, 7, 2]",two-tone,2,2,2,1.1383372905323803,"[9, 7, 2]",two-tone,1.1383372905323803
20,"[9, 6, 6]",two-tone,1,1,1,0.7414628760935857,"[9, 6, 6]",two-tone,0.7414628760935857
21,"[9, 6, 5]",two-tone,2,2,2,1.0971548367718955,"[9, 6, 5]",two-tone,1.0971548367718955
22,"[9, 6, 4]",two-tone,1,1,1,0.8574812159581962,"[9, 6, 4]",two-tone,0.8574812159581962
23,"[9, 6, 3]",two-tone,1,1,1,0.8590426265069957,"[9, 6, 3]",two-tone,0.8590426265069957
24,"[9, 6, 2]",two-tone,1,1,1,0.8646924270293607,"[9, 6, 2]",two-tone,0.8646924270293607
25,"[9, 5, 5]",two-tone,2,2,2,0.6579127271829291,"[9, 5, 5]",two-tone,0.6579127271829291
26,"[9, 5, 4]",two-tone,1,1,1,0.8801326414643376,"[9, 5, 4]",two-tone,0.8801326414643376
27,"[9, 5, 3]",two-tone,1,1,1,0.8831418311382279,"[9, 5, 3]",two-tone,0.8831418311382279
28,"[9, 5, 2]",two-tone,1,1,1,0.8652695124258358,"[9, 5, 2]",two-tone,0.8652695124258358
29,"[9, 4, 4]",two-tone,1,1,1,0.5656641420482857,"[9, 4, 4]",two-tone,0.5656641420482857
30,"[9, 4, 3]",two-tone,1,1,1,0.7367878435015018,"[9, 4, 3]",two-tone,0.7367878435015018
31,"[9, 4, 2]",two-tone,2,2,2,0.7165991136827928,"[9, 4, 2]",two-tone,0.7165991136827928
32,"[9, 3, 3]",two-tone,2,2,2,0.5637459278361239,"[9, 3, 3]",two-tone,0.5637459278361239
33,"[9, 3, 2]",two-tone,1,1,1,0.7167335371842947,"[9, 3, 2]",two-tone,0.7167335371842947
34,"[9, 2, 2]",two-tone,1,1,1,0.5643153879074407,"[9, 2, 2]",two-tone,0.5643153879074407
35,"[8, 8, 7]",two-tone,1,1,1,1.4262317842031016,"[8, 8, 7]",two-tone,1.4262317842031016
36,"[8, 8, 6]",two-tone,1,1,1,1.1726317585293464,"[8, 8, 6]",two-tone,1.1726317585293464
37,"[8, 8, 5]",two-tone,1,1,1,1.2019453603243115,"[8, 8, 5]",two-tone,1.2019453603243115
38,"[8, 8, 4]",two-tone,2,2,2,1.0869682041684618,"[8, 8, 4]",two-tone,1.0869682041684618
39,"[8, 8, 3]",two-tone,3,2,2,1.0699261642376934,"[8, 8, 3]",two-tone,1.0699261642376934
40,"[8, 8, 2]",two-tone,1,1,1,1.0686116922242914,"[8, 8, 2]",two-tone,1.0686116922242914
41,"[8, 7, 7]",two-tone,1,1,1,1.1844260730222544,"[8, 7, 7]",two-tone,1.1844260730222544
42,"[8, 7, 6]",two-tone,1,1,1,1.5814810763333464,"[8, 7, 6]",two-tone,1.5814810763333464
43,"[8, 7, 5]",two-tone,1,1,1,1.3191926909969105,"[8, 7, 5]",two-tone,1.3191926909969105
44,"[8, 7, 4]",two-tone,1,1,1,1.210830066760204,"[8, 7, 4]",two-tone,1.210830066760204
45,"[8, 7, 3]",two-tone,1,1,1,1.251284582225876,"[8, 7, 3]",two-tone,1.251284582225876
46,"[8, 7, 2]",two-tone,1,1,1,1.2422938817041371,"[8, 7, 2]",two-tone,1.2422938817041371
47,"[8, 6, 6]",two-tone,1,1,1,0.6001614188417164,"[8, 6, 6]",two-tone,0.6001614188417164
48,"[8, 6, 5]",two-tone,1,1,1,0.7645091087803172,"[8, 6, 5]",two-tone,0.7645091087803172
49,"[8, 6, 4]",two-tone,2,2,2,0.5671154348875116,"[8, 6, 4]",two-tone,0.5671154348875116
50,"[8, 6, 3]",two-tone,1,1,1,0.7712760451404248,"[8, 6, 3]",two-tone,0.7712760451404248
51,"[8, 6, 2]",two-tone,2,2,2,0.7750544511889459,"[8, 6, 2]",two-tone,0.7750544511889459
52,"[8, 5, 5]",two-tone,1,1,1,0.4928476905801908,"[8, 5, 5]",two-tone,0.4928476905801908
53,"[8, 5, 4]",two-tone,2,2,2,1.1045689282177524,"[8, 5, 4]",two-tone,1.1045689282177524
54,"[8, 5, 3]",two-tone,1,1,1,0.8038868166769657,"[8, 5, 3]",two-tone,0.8038868166769657
55,"[8, 5, 2]",two-tone,1,1,1,0.8021442103245364,"[8, 5, 2]",two-tone,0.8021442103245364
56,"[8, 4, 4]",two-tone,1,1,1,0.3853273217034812,"[8, 4, 4]",two-tone,0.3853273217034812
57,"[8, 4, 3]",two-tone,1,1,1,0.6556800481627503,"[8, 4, 3]",two-tone,0.6556800481627503
58,"[8, 4, 2]",two-tone,2,2,2,0.6568261770586687,"[8, 4, 2]",two-tone,0.6568261770586687
59,"[8, 3, 3]",two-tone,2,2,2,0.3624240831406964,"[8, 3, 3]",two-tone,0.3624240831406964
60,"[8, 3, 2]",two-tone,2,2,2,0.5859275241918365,"[8, 3, 2]",two-tone,0.5859275241918365
61,"[8, 2, 2]",two-tone,2,2,2,0.3682473207039614,"[8, 2, 2]",two-tone,0.3682473207039614
62,"[7, 7, 6]",two-tone,1,1,1,1.1818130015356894,"[7, 7, 6]",two-tone,1.1818130015356894
63,"[7, 7, 5]",two-tone,1,1,1,1.2095183796049895,"[7, 7, 5]",two-tone,1.2095183796049895
64,"[7, 7, 4]",two-tone,1,1,1,1.083267296296162,"[7, 7, 4]",two-tone,1.083267296296162
65,"[7, 7, 3]",two-tone,3,2,2,1.090050826676774,"[7, 7, 3]",two-tone,1.090050826676774
66,"[7, 7, 2]",two-tone,2,2,2,1.0850755925591804,"[7, 7, 2]",two-tone,1.0850755925591804
67,"[7, 6, 6]",two-tone,1,1,1,0.4842365480699875,"[7, 6, 6]",two-tone,0.4842365480699875
68,"[7, 6, 5]",two-tone,1,1,1,1.088740931833187,"[7, 6, 5]",two-tone,1.088740931833187
69,"[7, 6, 4]",two-tone,1,1,1,0.5265561875915421,"[7, 6, 4]",two-tone,0.5265561875915421
70,"[7, 6, 3]",two-tone,1,1,1,0.7988730665430854,"[7, 6, 3]",two-tone,0.7988730665430854
71,"[7, 6, 2]",two-tone,1,1,1,0.7214416671090447,"[7, 6, 2]",two-tone,0.7214416671090447
72,"[7, 5, 5]",two-tone,1,1,1,0.3198798308970967,"[7, 5, 5]",two-tone,0.3198798308970967
73,"[7, 5, 4]",two-tone,1,1,1,0.5309015993300754,"[7, 5, 4]",two-tone,0.5309015993300754
74,"[7, 5, 3]",two-tone,1,1,1,0.5323697822093831,"[7, 5, 3]",two-tone,0.5323697822093831
75,"[7, 5, 2]",two-tone,1,1,1,0.6352895306441998,"[7, 5, 2]",two-tone,0.6352895306441998
76,"[7, 4, 4]",two-tone,1,1,1,0.2054730978317032,"[7, 4, 4]",two-tone,0.2054730978317032
77,"[7, 4, 3]",two-tone,1,1,1,0.384712335287029,"[7, 4, 3]",two-tone,0.384712335287029
78,"[7, 4, 2]",two-tone,2,2,2,0.4709758318633022,"[7, 4, 2]",two-tone,0.4709758318633022
79,"[7, 3, 3]",two-tone,2,2,2,0.20104019664643508,"[7, 3, 3]",two-tone,0.20104019664643508
80,"[7, 3, 2]",two-tone,2,2,2,0.4665567753698604,"[7, 3, 2]",two-tone,0.4665567753698604
81,"[7, 2, 2]",two-tone,2,2,2,0.1903982118868221,"[7, 2, 2]",two-tone,0.1903982118868221
82,"[6, 6, 5]",two-tone,1,1,1,1.2537815937538666,"[6, 6, 5]",two-tone,1.2537815937538666
83,"[6, 6, 4]",two-tone,2,2,2,1.1121385644502328,"[6, 6, 4]",two-tone,1.1121385644502328
84,"[6, 6, 3]",two-tone,1,1,1,1.1077200733754684,"[6, 6, 3]",two-tone,1.1077200733754684
85,"[6, 6, 2]",two-tone,1,1,1,1.1147983651842284,"[6, 6, 2]",two-tone,1.1147983651842284
86,"[6, 5, 5]",two-tone,1,1,1,0.7841919597495548,"[6, 5, 5]",two-tone,0.7841919597495548
87,"[6, 5, 4]",two-tone,1,1,1,1.4146035177239151,"[6, 5, 4]",two-tone,1.4146035177239151
88,"[6, 5, 3]",two-tone,1,1,1,0.8652158439983437,"[6, 5, 3]",two-tone,0.8652158439983437
89,"[6, 5, 2]",two-tone,1,1,1,1.10955467935606,"[6, 5, 2]",two-tone,1.10955467935606
90,"[6, 4, 4]",two-tone,2,2,2,0.6578205894763356,"[6, 4, 4]",two-tone,0.6578205894763356
91,"[6, 4, 3]",two-tone,1,1,1,0.7003702039748088,"[6, 4, 3]",two-tone,0.7003702039748088
92,"[6, 4, 2]",two-tone,1,1,1,0.9283551313805952,"[6, 4, 2]",two-tone,0.9283551313805952
93,"[6, 3, 3]",two-tone,1,1,1,0.6487380773461008,"[6, 3, 3]",two-tone,0.6487380773461008
94,"[6, 3, 2]",two-tone,2,2,2,0.9136657204104459,"[6, 3, 2]",two-tone,0.9136657204104459
95,"[6, 2, 2]",two-tone,1,1,1,0.6455974285758435,"[6, 2, 2]",two-tone,0.6455974285758435
96,"[5, 5, 4]",two-tone,1,1,1,0.890977857785449,"[5, 5, 4]",two-tone,0.890977857785449
97,"[5, 5, 3]",two-tone,2,2,2,0.8747421157958686,"[5, 5, 3]",two-tone,0.8747421157958686
98,"[5, 5, 2]",two-tone,1,1,1,0.8623844762786594,"[5, 5, 2]",two-tone,0.8623844762786594
99,"[5, 4, 4]",two-tone,1,1,1,0.7015877048870971,"[5, 4, 4]",two-tone,0.7015877048870971
100,"[5, 4, 3]",two-tone,1,1,1,1.7053102966518248,"[5, 4, 3]",two-tone,1.7053102966518248
101,"[5, 4, 2]",two-tone,1,1,1,1.3153182823869292,"[5, 4, 2]",two-tone,1.3153182823869292
102,"[5, 3, 3]",two-tone,1,1,1,0.6781728252318293,"[5, 3, 3]",two-tone,0.6781728252318293
103,"[5, 3, 2]",two-tone,1,1,1,1.2909034008648237,"[5, 3, 2]",two-tone,1.2909034008648237
104,"[5, 2, 2]",two-tone,2,2,2,0.6574810809445628,"[5, 2, 2]",two-tone,0.6574810809445628
105,"[4, 4, 3]",two-tone,2,2,2,0.6998112638086034,"[4, 4, 3]",two-tone,0.6998112638086034
106,"[4, 4, 2]",two-tone,2,2,2,0.6836412314238539,"[4, 4, 2]",two-tone,0.6836412314238539
107,"[4, 3, 3]",two-tone,1,1,1,0.4919355054740951,"[4, 3, 3]",two-tone,0.4919355054740951
108,"[4, 3, 2]",two-tone,1,1,1,1.4511541258461276,"[4, 3, 2]",two-tone,1.4511541258461276
109,"[4, 2, 2]",two-tone,2,2,2,0.4693819570056664,"[4, 2, 2]",two-tone,0.4693819570056664
110,"[3, 3, 2]",two-tone,2,2,2,0.6808051172581477,"[3, 3, 2]",two-tone,0.6808051172581477
111,"[3, 2, 2]",two-tone,2,2,2,0.4644951390350969,"[3, 2, 2]",two-tone,0.4644951390350969
