,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 8]",two-tone,1,1,1,1.8189158541735984,"[9, 9, 8]",two-tone,1.8189158541735984
1,"[9, 9, 7]",two-tone,1,1,1,2.126189841930391,"[9, 9, 7]",two-tone,2.126189841930391
2,"[9, 9, 6]",two-tone,1,1,1,1.0746589415346148,"[9, 9, 6]",two-tone,1.0746589415346148
3,"[9, 9, 5]",two-tone,1,1,1,1.6701318703025159,"[9, 9, 5]",two-tone,1.6701318703025159
4,"[9, 9, 4]",two-tone,2,2,2,1.5412080755989892,"[9, 9, 4]",two-tone,1.5412080755989892
5,"[9, 9, 3]",two-tone,1,1,1,1.5429182311604863,"[9, 9, 3]",two-tone,1.5429182311604863
6,"[9, 9, 2]",two-tone,1,1,1,1.540750019511047,"[9, 9, 2]",two-tone,1.540750019511047
7,"[9, 8, 8]",two-tone,1,1,1,1.2530419384585625,"[9, 8, 8]",two-tone,1.2530419384585625
8,"[9, 8, 7]",two-tone,1,1,1,-0.008329965126522745,"[9, 8, 7]",two-tone,-0.008329965126522745
9,"[9, 8, 6]",two-tone,1,1,1,0.8204607751242086,"[9, 8, 6]",two-tone,0.8204607751242086
10,"[9, 8, 5]",two-tone,1,1,1,1.6392811699607122,"[9, 8, 5]",two-tone,1.6392811699607122
11,"[9, 8, 4]",two-tone,1,1,1,1.3516774072056814,"[9, 8, 4]",two-tone,1.3516774072056814
12,"[9, 8, 3]",two-tone,1,1,1,1.352525199666619,"[9, 8, 3]",two-tone,1.352525199666619
13,"[9, 8, 2]",two-tone,1,1,1,1.348910860876969,"[9, 8, 2]",two-tone,1.348910860876969
14,"[9, 7, 7]",two-tone,1,1,1,1.2820098880743962,"[9, 7, 7]",two-tone,1.2820098880743962
15,"[9, 7, 6]",two-tone,1,1,1,0.7522529051927309,"[9, 7, 6]",two-tone,0.7522529051927309
16,"[9, 7, 5]",two-tone,1,1,1,1.2366103859200943,"[9, 7, 5]",two-tone,1.2366103859200943
17,"[9, 7, 4]",two-tone,1,1,1,1.2637409546473062,"[9, 7, 4]",two-tone,1.2637409546473062
18,"[9, 7, 3]",two-tone,2,2,2,1.3229841012098065,"[9, 7, 3]",two-tone,1.3229841012098065
19,"[9, 7, 2]",two-tone,2,2,2,1.2735374509997979,"[9, 7, 2]",two-tone,1.2735374509997979
20,"[9, 6, 6]",two-tone,1,1,1,0.4210048686434654,"[9, 6, 6]",two-tone,0.4210048686434654
21,"[9, 6, 5]",two-tone,1,1,1,0.5800171193804817,"[9, 6, 5]",two-tone,0.5800171193804817
22,"[9, 6, 4]",two-tone,1,1,1,0.3444255524280453,"[9, 6, 4]",two-tone,0.3444255524280453
23,"[9, 6, 3]",two-tone,1,1,1,0.3434169967285634,"[9, 6, 3]",two-tone,0.3434169967285634
24,"[9, 6, 2]",two-tone,1,1,1,0.33741993684289395,"[9, 6, 2]",two-tone,0.33741993684289395
25,"[9, 5, 5]",two-tone,2,2,2,0.7650440844377625,"[9, 5, 5]",two-tone,0.7650440844377625
26,"[9, 5, 4]",two-tone,1,1,1,0.9924963840974688,"[9, 5, 4]",two-tone,0.9924963840974688
27,"[9, 5, 3]",two-tone,1,1,1,0.9928172866241796,"[9, 5, 3]",two-tone,0.9928172866241796
28,"[9, 5, 2]",two-tone,1,1,1,0.9849253490646662,"[9, 5, 2]",two-tone,0.9849253490646662
29,"[9, 4, 4]",two-tone,1,1,1,0.674606961845141,"[9, 4, 4]",two-tone,0.674606961845141
30,"[9, 4, 3]",two-tone,1,1,1,0.8369286107595753,"[9, 4, 3]",two-tone,0.8369286107595753
31,"[9, 4, 2]",two-tone,2,2,2,0.83058604345916,"[9, 4, 2]",two-tone,0.83058604345916
32,"[9, 3, 3]",two-tone,3,2,2,0.6728332825548781,"[9, 3, 3]",two-tone,0.6728332825548781
33,"[9, 3, 2]",two-tone,1,1,1,0.8274333088712503,"[9, 3, 2]",two-tone,0.8274333088712503
34,"[9, 2, 2]",two-tone,1,1,1,0.6706523685344274,"[9, 2, 2]",two-tone,0.6706523685344274
35,"[8, 8, 7]",two-tone,1,1,1,1.4496026791613152,"[8, 8, 7]",two-tone,1.4496026791613152
36,"[8, 8, 6]",two-tone,1,1,1,0.6754169013100537,"[8, 8, 6]",two-tone,0.6754169013100537
37,"[8, 8, 5]",two-tone,1,1,1,1.2107219959032576,"[8, 8, 5]",two-tone,1.2107219959032576
38,"[8, 8, 4]",two-tone,2,2,2,1.0936755246472338,"[8, 8, 4]",two-tone,1.0936755246472338
39,"[8, 8, 3]",two-tone,3,2,2,1.0814246392028075,"[8, 8, 3]",two-tone,1.0814246392028075
40,"[8, 8, 2]",two-tone,1,1,1,1.0825954745542328,"[8, 8, 2]",two-tone,1.0825954745542328
41,"[8, 7, 7]",two-tone,1,1,1,1.230299732982811,"[8, 7, 7]",two-tone,1.230299732982811
42,"[8, 7, 6]",two-tone,1,1,1,1.2739010972128302,"[8, 7, 6]",two-tone,1.2739010972128302
43,"[8, 7, 5]",two-tone,1,1,1,1.322136619038518,"[8, 7, 5]",two-tone,1.322136619038518
44,"[8, 7, 4]",two-tone,1,1,1,1.2522239356994112,"[8, 7, 4]",two-tone,1.2522239356994112
45,"[8, 7, 3]",two-tone,1,1,1,1.3382054692767364,"[8, 7, 3]",two-tone,1.3382054692767364
46,"[8, 7, 2]",two-tone,1,1,1,1.332785025507505,"[8, 7, 2]",two-tone,1.332785025507505
47,"[8, 6, 6]",two-tone,1,1,1,0.34973813544393945,"[8, 6, 6]",two-tone,0.34973813544393945
48,"[8, 6, 5]",two-tone,1,1,1,0.2948489949061032,"[8, 6, 5]",two-tone,0.2948489949061032
49,"[8, 6, 4]",two-tone,1,1,1,0.11396271213235545,"[8, 6, 4]",two-tone,0.11396271213235545
50,"[8, 6, 3]",two-tone,2,2,2,0.30562853361867565,"[8, 6, 3]",two-tone,0.30562853361867565
51,"[8, 6, 2]",two-tone,1,1,1,0.3062974815140842,"[8, 6, 2]",two-tone,0.3062974815140842
52,"[8, 5, 5]",two-tone,1,1,1,0.5883272241135751,"[8, 5, 5]",two-tone,0.5883272241135751
53,"[8, 5, 4]",two-tone,2,2,2,1.1504374123791217,"[8, 5, 4]",two-tone,1.1504374123791217
54,"[8, 5, 3]",two-tone,1,1,1,0.9065232796624596,"[8, 5, 3]",two-tone,0.9065232796624596
55,"[8, 5, 2]",two-tone,1,1,1,0.9017656021128516,"[8, 5, 2]",two-tone,0.9017656021128516
56,"[8, 4, 4]",two-tone,2,2,2,0.4861202655503737,"[8, 4, 4]",two-tone,0.4861202655503737
57,"[8, 4, 3]",two-tone,1,1,1,0.7538008505440864,"[8, 4, 3]",two-tone,0.7538008505440864
58,"[8, 4, 2]",two-tone,1,1,1,0.7568273748949953,"[8, 4, 2]",two-tone,0.7568273748949953
59,"[8, 3, 3]",two-tone,2,2,2,0.4698852349780748,"[8, 3, 3]",two-tone,0.4698852349780748
60,"[8, 3, 2]",two-tone,2,2,2,0.6868432212381816,"[8, 3, 2]",two-tone,0.6868432212381816
61,"[8, 2, 2]",two-tone,1,1,1,0.4709068799708014,"[8, 2, 2]",two-tone,0.4709068799708014
62,"[7, 7, 6]",two-tone,1,1,1,0.7038165667152032,"[7, 7, 6]",two-tone,0.7038165667152032
63,"[7, 7, 5]",two-tone,1,1,1,1.225115423289955,"[7, 7, 5]",two-tone,1.225115423289955
64,"[7, 7, 4]",two-tone,1,1,1,1.1007235587490634,"[7, 7, 4]",two-tone,1.1007235587490634
65,"[7, 7, 3]",two-tone,1,1,1,1.1108270006539622,"[7, 7, 3]",two-tone,1.1108270006539622
66,"[7, 7, 2]",two-tone,1,1,1,1.1079246986544886,"[7, 7, 2]",two-tone,1.1079246986544886
67,"[7, 6, 6]",two-tone,1,1,1,0.2535162654995644,"[7, 6, 6]",two-tone,0.2535162654995644
68,"[7, 6, 5]",two-tone,1,1,1,0.6784948356887606,"[7, 6, 5]",two-tone,0.6784948356887606
69,"[7, 6, 4]",two-tone,1,1,1,0.07711865826128309,"[7, 6, 4]",two-tone,0.07711865826128309
70,"[7, 6, 3]",two-tone,1,1,1,0.3212814719254383,"[7, 6, 3]",two-tone,0.3212814719254383
71,"[7, 6, 2]",two-tone,1,1,1,0.2496906987363465,"[7, 6, 2]",two-tone,0.2496906987363465
72,"[7, 5, 5]",two-tone,2,2,2,0.4407286346072607,"[7, 5, 5]",two-tone,0.4407286346072607
73,"[7, 5, 4]",two-tone,1,1,1,0.5824711924610095,"[7, 5, 4]",two-tone,0.5824711924610095
74,"[7, 5, 3]",two-tone,1,1,1,0.6199226041171201,"[7, 5, 3]",two-tone,0.6199226041171201
75,"[7, 5, 2]",two-tone,2,2,2,0.7625433960173936,"[7, 5, 2]",two-tone,0.7625433960173936
76,"[7, 4, 4]",two-tone,1,1,1,0.32643956430097226,"[7, 4, 4]",two-tone,0.32643956430097226
77,"[7, 4, 3]",two-tone,1,1,1,0.4897621224171817,"[7, 4, 3]",two-tone,0.4897621224171817
78,"[7, 4, 2]",two-tone,2,2,2,0.5994951041600323,"[7, 4, 2]",two-tone,0.5994951041600323
79,"[7, 3, 3]",two-tone,1,1,1,0.3298744126377332,"[7, 3, 3]",two-tone,0.3298744126377332
80,"[7, 3, 2]",two-tone,1,1,1,0.6014597526295119,"[7, 3, 2]",two-tone,0.6014597526295119
81,"[7, 2, 2]",two-tone,1,1,1,0.3217511270300781,"[7, 2, 2]",two-tone,0.3217511270300781
82,"[6, 6, 5]",two-tone,1,1,1,1.0562176174830866,"[6, 6, 5]",two-tone,1.0562176174830866
83,"[6, 6, 4]",two-tone,1,1,1,0.9196602736798084,"[6, 6, 4]",two-tone,0.9196602736798084
84,"[6, 6, 3]",two-tone,2,2,2,0.9148098033213706,"[6, 6, 3]",two-tone,0.9148098033213706
85,"[6, 6, 2]",two-tone,2,2,2,0.925881487361594,"[6, 6, 2]",two-tone,0.925881487361594
86,"[6, 5, 5]",two-tone,1,1,1,0.3226784833608813,"[6, 5, 5]",two-tone,0.3226784833608813
87,"[6, 5, 4]",two-tone,1,1,1,0.985593490350288,"[6, 5, 4]",two-tone,0.985593490350288
88,"[6, 5, 3]",two-tone,1,1,1,0.38557817434904745,"[6, 5, 3]",two-tone,0.38557817434904745
89,"[6, 5, 2]",two-tone,1,1,1,0.6099508609020559,"[6, 5, 2]",two-tone,0.6099508609020559
90,"[6, 4, 4]",two-tone,2,2,2,0.191516239891451,"[6, 4, 4]",two-tone,0.191516239891451
91,"[6, 4, 3]",two-tone,1,1,1,0.2509592682471112,"[6, 4, 3]",two-tone,0.2509592682471112
92,"[6, 4, 2]",two-tone,2,2,2,0.4437370557117689,"[6, 4, 2]",two-tone,0.4437370557117689
93,"[6, 3, 3]",two-tone,1,1,1,0.18977685576662112,"[6, 3, 3]",two-tone,0.18977685576662112
94,"[6, 3, 2]",two-tone,1,1,1,0.43313965730015175,"[6, 3, 2]",two-tone,0.43313965730015175
95,"[6, 2, 2]",two-tone,3,2,2,0.18310719959294405,"[6, 2, 2]",two-tone,0.18310719959294405
96,"[5, 5, 4]",two-tone,1,1,1,0.9427825015468794,"[5, 5, 4]",two-tone,0.9427825015468794
97,"[5, 5, 3]",two-tone,1,1,1,0.9368765779353998,"[5, 5, 3]",two-tone,0.9368765779353998
98,"[5, 5, 2]",two-tone,2,2,2,0.9310588526312108,"[5, 5, 2]",two-tone,0.9310588526312108
99,"[5, 4, 4]",two-tone,1,1,1,0.7098554348428026,"[5, 4, 4]",two-tone,0.7098554348428026
100,"[5, 4, 3]",two-tone,1,1,1,1.4316905265828133,"[5, 4, 3]",two-tone,1.4316905265828133
101,"[5, 4, 2]",two-tone,1,1,1,1.15205848922301,"[5, 4, 2]",two-tone,1.15205848922301
102,"[5, 3, 3]",two-tone,1,1,1,0.6943582796942462,"[5, 3, 3]",two-tone,0.6943582796942462
103,"[5, 3, 2]",two-tone,2,2,2,1.1452863093370451,"[5, 3, 2]",two-tone,1.1452863093370451
104,"[5, 2, 2]",two-tone,2,2,2,0.692251160772531,"[5, 2, 2]",two-tone,0.692251160772531
105,"[4, 4, 3]",two-tone,2,2,2,0.7381068007792558,"[4, 4, 3]",two-tone,0.7381068007792558
106,"[4, 4, 2]",two-tone,2,2,2,0.733075750427232,"[4, 4, 2]",two-tone,0.733075750427232
107,"[4, 3, 3]",two-tone,2,2,2,0.4939148275694656,"[4, 3, 3]",two-tone,0.4939148275694656
108,"[4, 3, 2]",two-tone,1,1,1,1.3560286919483198,"[4, 3, 2]",two-tone,1.3560286919483198
109,"[4, 2, 2]",two-tone,1,1,1,0.4772092619473612,"[4, 2, 2]",two-tone,0.4772092619473612
110,"[3, 3, 2]",two-tone,1,1,1,0.7225740424974216,"[3, 3, 2]",two-tone,0.7225740424974216
111,"[3, 2, 2]",two-tone,2,2,2,0.4763243546710592,"[3, 2, 2]",two-tone,0.4763243546710592
