,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 8]",two-tone,15,10,7,1.6872378079059351,"[9, 9, 8]",two-tone,1.6872378079059351
1,"[9, 9, 7]",two-tone,16,11,8,1.5788268352409391,"[9, 9, 7]",two-tone,1.5788268352409391
2,"[9, 9, 6]",two-tone,16,11,8,1.7615172622210695,"[9, 9, 6]",two-tone,1.7615172622210695
3,"[9, 9, 5]",two-tone,16,11,8,1.7478853116022677,"[9, 9, 5]",two-tone,1.7478853116022677
4,"[9, 9, 4]",two-tone,16,11,8,1.620709908689025,"[9, 9, 4]",two-tone,1.620709908689025
5,"[9, 9, 3]",two-tone,16,11,8,1.6193105510670731,"[9, 9, 3]",two-tone,1.6193105510670731
6,"[9, 9, 2]",two-tone,16,11,8,1.6181245782012197,"[9, 9, 2]",two-tone,1.6181245782012197
7,"[9, 8, 8]",two-tone,16,11,8,1.5289468405621385,"[9, 8, 8]",two-tone,1.5289468405621385
8,"[9, 8, 7]",two-tone,16,11,8,1.2564540895926095,"[9, 8, 7]",two-tone,1.2564540895926095
9,"[9, 8, 6]",two-tone,16,11,8,1.4875800287385128,"[9, 8, 6]",two-tone,1.4875800287385128
10,"[9, 8, 5]",two-tone,16,11,8,1.4237578783505154,"[9, 8, 5]",two-tone,1.4237578783505154
11,"[9, 8, 4]",two-tone,16,11,8,1.096584241776316,"[9, 8, 4]",two-tone,1.096584241776316
12,"[9, 8, 3]",two-tone,16,11,8,1.1002003157894735,"[9, 8, 3]",two-tone,1.1002003157894735
13,"[9, 8, 2]",two-tone,15,10,7,1.096947493421052,"[9, 8, 2]",two-tone,1.096947493421052
14,"[9, 7, 7]",two-tone,15,10,7,1.4086292166204992,"[9, 7, 7]",two-tone,1.4086292166204992
15,"[9, 7, 6]",two-tone,16,11,8,1.6103675208020047,"[9, 7, 6]",two-tone,1.6103675208020047
16,"[9, 7, 5]",two-tone,15,10,7,1.5107968912828946,"[9, 7, 5]",two-tone,1.5107968912828946
17,"[9, 7, 4]",two-tone,16,11,8,1.102593079605263,"[9, 7, 4]",two-tone,1.102593079605263
18,"[9, 7, 3]",two-tone,15,10,7,1.1039231690789475,"[9, 7, 3]",two-tone,1.1039231690789475
19,"[9, 7, 2]",two-tone,15,10,7,1.0880887203947371,"[9, 7, 2]",two-tone,1.0880887203947371
20,"[9, 6, 6]",two-tone,16,11,8,1.5876154900914636,"[9, 6, 6]",two-tone,1.5876154900914636
21,"[9, 6, 5]",two-tone,16,11,8,1.7362400451219515,"[9, 6, 5]",two-tone,1.7362400451219515
22,"[9, 6, 4]",two-tone,16,11,8,1.4903666257803616,"[9, 6, 4]",two-tone,1.4903666257803616
23,"[9, 6, 3]",two-tone,16,11,8,1.489398793706559,"[9, 6, 3]",two-tone,1.489398793706559
24,"[9, 6, 2]",two-tone,16,11,8,1.476057025072665,"[9, 6, 2]",two-tone,1.476057025072665
25,"[9, 5, 5]",two-tone,16,11,8,1.5185964206185574,"[9, 5, 5]",two-tone,1.5185964206185574
