,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 8]",two-tone,1,1,1,-0.19806228395658704,"[9, 9, 8]",two-tone,-0.19806228395658704
1,"[9, 9, 7]",two-tone,1,1,1,-0.4762447105375954,"[9, 9, 7]",two-tone,-0.4762447105375954
2,"[9, 9, 6]",two-tone,1,1,1,-0.5781007456488593,"[9, 9, 6]",two-tone,-0.5781007456488593
3,"[9, 9, 5]",two-tone,2,2,2,-1.821174740089324,"[9, 9, 5]",two-tone,-1.821174740089324
4,"[9, 9, 4]",two-tone,2,2,2,-1.8196539371908893,"[9, 9, 4]",two-tone,-1.8196539371908893
5,"[9, 9, 3]",two-tone,1,1,1,-1.4022412081483269,"[9, 9, 3]",two-tone,-1.4022412081483269
6,"[9, 9, 2]",two-tone,1,1,1,-1.3999839274802408,"[9, 9, 2]",two-tone,-1.3999839274802408
7,"[9, 8, 8]",two-tone,1,1,1,-0.6615719967225389,"[9, 8, 8]",two-tone,-0.6615719967225389
8,"[9, 8, 7]",two-tone,1,1,1,6.333540323906178,"[9, 8, 7]",two-tone,6.333540323906178
9,"[9, 8, 6]",two-tone,1,1,1,1.882113416736975,"[9, 8, 6]",two-tone,1.882113416736975
10,"[9, 8, 5]",two-tone,1,1,1,0.2530336660340061,"[9, 8, 5]",two-tone,0.2530336660340061
11,"[9, 8, 4]",two-tone,1,1,1,0.2285289835863459,"[9, 8, 4]",two-tone,0.2285289835863459
12,"[9, 8, 3]",two-tone,1,1,1,0.689555843405196,"[9, 8, 3]",two-tone,0.689555843405196
13,"[9, 8, 2]",two-tone,1,1,1,0.6978156066051961,"[9, 8, 2]",two-tone,0.6978156066051961
14,"[9, 7, 7]",two-tone,2,2,2,-1.1134820009206354,"[9, 7, 7]",two-tone,-1.1134820009206354
15,"[9, 7, 6]",two-tone,2,2,2,1.434591961283129,"[9, 7, 6]",two-tone,1.434591961283129
16,"[9, 7, 5]",two-tone,2,2,2,-0.2651901949564781,"[9, 7, 5]",two-tone,-0.2651901949564781
17,"[9, 7, 4]",two-tone,1,1,1,-0.4066309841608937,"[9, 7, 4]",two-tone,-0.4066309841608937
18,"[9, 7, 3]",two-tone,2,2,2,0.05796200221458647,"[9, 7, 3]",two-tone,0.05796200221458647
19,"[9, 7, 2]",two-tone,1,1,1,0.1135564377345858,"[9, 7, 2]",two-tone,0.1135564377345858
20,"[9, 6, 6]",two-tone,3,2,2,-1.4323571366793644,"[9, 6, 6]",two-tone,-1.4323571366793644
21,"[9, 6, 5]",two-tone,3,2,2,-0.5526956938478609,"[9, 6, 5]",two-tone,-0.5526956938478609
22,"[9, 6, 4]",two-tone,1,1,1,-0.8116182261603864,"[9, 6, 4]",two-tone,-0.8116182261603864
23,"[9, 6, 3]",two-tone,3,2,2,-0.3463106532249133,"[9, 6, 3]",two-tone,-0.3463106532249133
24,"[9, 6, 2]",two-tone,3,2,2,-0.3020183709049121,"[9, 6, 2]",two-tone,-0.3020183709049121
25,"[9, 5, 5]",two-tone,2,2,2,-3.162771713968452,"[9, 5, 5]",two-tone,-3.162771713968452
26,"[9, 5, 4]",two-tone,1,1,1,-2.8485264722273813,"[9, 5, 4]",two-tone,-2.8485264722273813
27,"[9, 5, 3]",two-tone,2,2,2,-2.5964228982783624,"[9, 5, 3]",two-tone,-2.5964228982783624
28,"[9, 5, 2]",two-tone,2,2,2,-2.5968479246297136,"[9, 5, 2]",two-tone,-2.5968479246297136
29,"[9, 4, 4]",two-tone,2,2,2,-3.2145885769821505,"[9, 4, 4]",two-tone,-3.2145885769821505
30,"[9, 4, 3]",two-tone,2,2,2,-2.6335397021530005,"[9, 4, 3]",two-tone,-2.6335397021530005
31,"[9, 4, 2]",two-tone,1,1,1,-2.6349292008016483,"[9, 4, 2]",two-tone,-2.6349292008016483
32,"[9, 3, 3]",two-tone,2,2,2,-2.1833602860847465,"[9, 3, 3]",two-tone,-2.1833602860847465
33,"[9, 3, 2]",two-tone,3,2,2,-2.336162432124293,"[9, 3, 2]",two-tone,-2.336162432124293
34,"[9, 2, 2]",two-tone,1,1,1,-2.1917446520847457,"[9, 2, 2]",two-tone,-2.1917446520847457
35,"[8, 8, 7]",two-tone,1,1,1,-0.04736443491350073,"[8, 8, 7]",two-tone,-0.04736443491350073
36,"[8, 8, 6]",two-tone,1,1,1,0.19867002172179604,"[8, 8, 6]",two-tone,0.19867002172179604
37,"[8, 8, 5]",two-tone,1,1,1,-2.5506345627889244,"[8, 8, 5]",two-tone,-2.5506345627889244
38,"[8, 8, 4]",two-tone,2,2,2,-2.5847537330960697,"[8, 8, 4]",two-tone,-2.5847537330960697
39,"[8, 8, 3]",two-tone,1,1,1,-2.1401492116412744,"[8, 8, 3]",two-tone,-2.1401492116412744
40,"[8, 8, 2]",two-tone,2,2,2,-2.1379698677372123,"[8, 8, 2]",two-tone,-2.1379698677372123
41,"[8, 7, 7]",two-tone,1,1,1,0.035656317221104294,"[8, 7, 7]",two-tone,0.035656317221104294
42,"[8, 7, 6]",two-tone,1,1,1,2.8568489657133735,"[8, 7, 6]",two-tone,2.8568489657133735
43,"[8, 7, 5]",two-tone,1,1,1,0.8804478536353971,"[8, 7, 5]",two-tone,0.8804478536353971
44,"[8, 7, 4]",two-tone,1,1,1,0.46518084713587704,"[8, 7, 4]",two-tone,0.46518084713587704
45,"[8, 7, 3]",two-tone,1,1,1,1.1371566538121134,"[8, 7, 3]",two-tone,1.1371566538121134
46,"[8, 7, 2]",two-tone,1,1,1,1.1357271525655763,"[8, 7, 2]",two-tone,1.1357271525655763
47,"[8, 6, 6]",two-tone,1,1,1,0.3771320522931312,"[8, 6, 6]",two-tone,0.3771320522931312
48,"[8, 6, 5]",two-tone,2,2,2,1.5821742061857398,"[8, 6, 5]",two-tone,1.5821742061857398
49,"[8, 6, 4]",two-tone,2,2,2,1.0699854752651672,"[8, 6, 4]",two-tone,1.0699854752651672
50,"[8, 6, 3]",two-tone,1,1,1,1.6355247151620025,"[8, 6, 3]",two-tone,1.6355247151620025
51,"[8, 6, 2]",two-tone,1,1,1,1.6528486750511986,"[8, 6, 2]",two-tone,1.6528486750511986
52,"[8, 5, 5]",two-tone,3,2,2,-2.460463950595369,"[8, 5, 5]",two-tone,-2.460463950595369
53,"[8, 5, 4]",two-tone,1,1,1,-2.2414280184110926,"[8, 5, 4]",two-tone,-2.2414280184110926
54,"[8, 5, 3]",two-tone,3,2,2,-2.227331218871205,"[8, 5, 3]",two-tone,-2.227331218871205
55,"[8, 5, 2]",two-tone,2,2,2,-2.229056302415508,"[8, 5, 2]",two-tone,-2.229056302415508
56,"[8, 4, 4]",two-tone,3,2,2,-2.542844478692315,"[8, 4, 4]",two-tone,-2.542844478692315
57,"[8, 4, 3]",two-tone,1,1,1,-2.29824417008649,"[8, 4, 3]",two-tone,-2.29824417008649
58,"[8, 4, 2]",two-tone,3,2,2,-2.308369585732059,"[8, 4, 2]",two-tone,-2.308369585732059
59,"[8, 3, 3]",two-tone,1,1,1,-1.3888777224741575,"[8, 3, 3]",two-tone,-1.3888777224741575
60,"[8, 3, 2]",two-tone,2,2,2,-1.893537415217412,"[8, 3, 2]",two-tone,-1.893537415217412
61,"[8, 2, 2]",two-tone,2,2,2,-1.371773824272958,"[8, 2, 2]",two-tone,-1.371773824272958
62,"[7, 7, 6]",two-tone,2,2,2,0.3742717689517251,"[7, 7, 6]",two-tone,0.3742717689517251
63,"[7, 7, 5]",two-tone,1,1,1,-2.8439082739760027,"[7, 7, 5]",two-tone,-2.8439082739760027
64,"[7, 7, 4]",two-tone,2,2,2,-2.933914876505572,"[7, 7, 4]",two-tone,-2.933914876505572
65,"[7, 7, 3]",two-tone,1,1,1,-2.5287911552436797,"[7, 7, 3]",two-tone,-2.5287911552436797
66,"[7, 7, 2]",two-tone,2,2,2,-2.4695302784948456,"[7, 7, 2]",two-tone,-2.4695302784948456
67,"[7, 6, 6]",two-tone,2,2,2,0.4685030557938309,"[7, 6, 6]",two-tone,0.4685030557938309
68,"[7, 6, 5]",two-tone,1,1,1,1.8009517880497636,"[7, 6, 5]",two-tone,1.8009517880497636
69,"[7, 6, 4]",two-tone,1,1,1,0.9876945084870846,"[7, 6, 4]",two-tone,0.9876945084870846
70,"[7, 6, 3]",two-tone,2,2,2,1.1136696573062044,"[7, 6, 3]",two-tone,1.1136696573062044
71,"[7, 6, 2]",two-tone,1,1,1,1.6834506133396283,"[7, 6, 2]",two-tone,1.6834506133396283
72,"[7, 5, 5]",two-tone,1,1,1,-2.874604165012648,"[7, 5, 5]",two-tone,-2.874604165012648
73,"[7, 5, 4]",two-tone,1,1,1,-2.4090188519702376,"[7, 5, 4]",two-tone,-2.4090188519702376
74,"[7, 5, 3]",two-tone,1,1,1,-2.975969811810983,"[7, 5, 3]",two-tone,-2.975969811810983
75,"[7, 5, 2]",two-tone,4,3,2,-2.86621323728332,"[7, 5, 2]",two-tone,-2.86621323728332
76,"[7, 4, 4]",two-tone,1,1,1,-2.9651982778043515,"[7, 4, 4]",two-tone,-2.9651982778043515
77,"[7, 4, 3]",two-tone,2,2,2,-3.0954323316365806,"[7, 4, 3]",two-tone,-3.0954323316365806
78,"[7, 4, 2]",two-tone,3,2,2,-2.9694825562481606,"[7, 4, 2]",two-tone,-2.9694825562481606
79,"[7, 3, 3]",two-tone,2,2,2,-1.8113337346788485,"[7, 3, 3]",two-tone,-1.8113337346788485
80,"[7, 3, 2]",two-tone,1,1,1,-2.682480420127985,"[7, 3, 2]",two-tone,-2.682480420127985
81,"[7, 2, 2]",two-tone,1,1,1,-1.7739433641925058,"[7, 2, 2]",two-tone,-1.7739433641925058
82,"[6, 6, 5]",two-tone,1,1,1,-3.068461455949366,"[6, 6, 5]",two-tone,-3.068461455949366
83,"[6, 6, 4]",two-tone,2,2,2,-3.1685396406329107,"[6, 6, 4]",two-tone,-3.1685396406329107
84,"[6, 6, 3]",two-tone,1,1,1,-2.7910478523960225,"[6, 6, 3]",two-tone,-2.7910478523960225
85,"[6, 6, 2]",two-tone,1,1,1,-2.772008546623681,"[6, 6, 2]",two-tone,-2.772008546623681
86,"[6, 5, 5]",two-tone,1,1,1,-3.1920523295417764,"[6, 5, 5]",two-tone,-3.1920523295417764
87,"[6, 5, 4]",two-tone,1,1,1,-2.223913312489275,"[6, 5, 4]",two-tone,-2.223913312489275
88,"[6, 5, 3]",two-tone,4,3,2,-3.1202505019401183,"[6, 5, 3]",two-tone,-3.1202505019401183
89,"[6, 5, 2]",two-tone,1,1,1,-3.306916886988325,"[6, 5, 2]",two-tone,-3.306916886988325
90,"[6, 4, 4]",two-tone,1,1,1,-3.3175154342800592,"[6, 4, 4]",two-tone,-3.3175154342800592
91,"[6, 4, 3]",two-tone,1,1,1,-3.2867973889649815,"[6, 4, 3]",two-tone,-3.2867973889649815
92,"[6, 4, 2]",two-tone,1,1,1,-3.442693298949895,"[6, 4, 2]",two-tone,-3.442693298949895
93,"[6, 3, 3]",two-tone,1,1,1,-2.17188546234405,"[6, 3, 3]",two-tone,-2.17188546234405
94,"[6, 3, 2]",two-tone,1,1,1,-3.1952662842120967,"[6, 3, 2]",two-tone,-3.1952662842120967
95,"[6, 2, 2]",two-tone,3,2,2,-2.157898208489305,"[6, 2, 2]",two-tone,-2.157898208489305
96,"[5, 5, 4]",two-tone,3,2,2,-4.932338470859557,"[5, 5, 4]",two-tone,-4.932338470859557
97,"[5, 5, 3]",two-tone,1,1,1,-4.8056032252584275,"[5, 5, 3]",two-tone,-4.8056032252584275
98,"[5, 5, 2]",two-tone,1,1,1,-4.851845671558928,"[5, 5, 2]",two-tone,-4.851845671558928
99,"[5, 4, 4]",two-tone,2,2,2,-4.9047654619746055,"[5, 4, 4]",two-tone,-4.9047654619746055
100,"[5, 4, 3]",two-tone,2,2,2,-1.750577169485067,"[5, 4, 3]",two-tone,-1.750577169485067
101,"[5, 4, 2]",two-tone,1,1,1,-2.370738546230581,"[5, 4, 2]",two-tone,-2.370738546230581
102,"[5, 3, 3]",two-tone,2,2,2,-3.981183563835601,"[5, 3, 3]",two-tone,-3.981183563835601
103,"[5, 3, 2]",two-tone,1,1,1,-5.889775656832137,"[5, 3, 2]",two-tone,-5.889775656832137
104,"[5, 2, 2]",two-tone,1,1,1,-4.017486574472001,"[5, 2, 2]",two-tone,-4.017486574472001
105,"[4, 4, 3]",two-tone,1,1,1,-4.8156654249043465,"[4, 4, 3]",two-tone,-4.8156654249043465
106,"[4, 4, 2]",two-tone,2,2,2,-4.8470121226202325,"[4, 4, 2]",two-tone,-4.8470121226202325
107,"[4, 3, 3]",two-tone,1,1,1,-3.9819120660795027,"[4, 3, 3]",two-tone,-3.9819120660795027
108,"[4, 3, 2]",two-tone,2,2,2,-7.194828502733236,"[4, 3, 2]",two-tone,-7.194828502733236
109,"[4, 2, 2]",two-tone,2,2,2,-4.013326907398831,"[4, 2, 2]",two-tone,-4.013326907398831
110,"[3, 3, 2]",two-tone,2,2,2,-3.6772398396990535,"[3, 3, 2]",two-tone,-3.6772398396990535
111,"[3, 2, 2]",two-tone,1,1,1,-3.6866354803922494,"[3, 2, 2]",two-tone,-3.6866354803922494
112,"[14, 9, 9]",two-tone,3,2,2,-2.3342997030546533,"[14, 9, 9]",two-tone,-2.3342997030546533
113,"[14, 9, 8]",two-tone,1,1,1,-1.0182376106524988,"[14, 9, 8]",two-tone,-1.0182376106524988
114,"[14, 9, 7]",two-tone,1,1,1,-1.4436927727078348,"[14, 9, 7]",two-tone,-1.4436927727078348
115,"[14, 9, 6]",two-tone,1,1,1,-1.650475076109636,"[14, 9, 6]",two-tone,-1.650475076109636
116,"[14, 9, 5]",two-tone,1,1,1,-3.4650959362794005,"[14, 9, 5]",two-tone,-3.4650959362794005
117,"[14, 9, 4]",two-tone,3,2,2,-3.482754700714618,"[14, 9, 4]",two-tone,-3.482754700714618
118,"[14, 9, 3]",two-tone,2,2,2,-2.989067058338563,"[14, 9, 3]",two-tone,-2.989067058338563
119,"[14, 9, 2]",two-tone,1,1,1,-2.9950173288303663,"[14, 9, 2]",two-tone,-2.9950173288303663
120,"[14, 8, 8]",two-tone,2,2,2,-2.3448542645416293,"[14, 8, 8]",two-tone,-2.3448542645416293
121,"[14, 8, 7]",two-tone,1,1,1,0.8457496190720346,"[14, 8, 7]",two-tone,0.8457496190720346
122,"[14, 8, 6]",two-tone,2,2,2,1.1587960442861172,"[14, 8, 6]",two-tone,1.1587960442861172
123,"[14, 8, 5]",two-tone,2,2,2,-2.1109889413286043,"[14, 8, 5]",two-tone,-2.1109889413286043
124,"[14, 8, 4]",two-tone,2,2,2,-2.1516337599541657,"[14, 8, 4]",two-tone,-2.1516337599541657
125,"[14, 8, 3]",two-tone,1,1,1,-1.646080947494868,"[14, 8, 3]",two-tone,-1.646080947494868
126,"[14, 8, 2]",two-tone,2,2,2,-1.647022169324296,"[14, 8, 2]",two-tone,-1.647022169324296
127,"[14, 7, 7]",two-tone,3,2,2,-2.4612918279839406,"[14, 7, 7]",two-tone,-2.4612918279839406
128,"[14, 7, 6]",two-tone,1,1,1,1.0242056800864592,"[14, 7, 6]",two-tone,1.0242056800864592
129,"[14, 7, 5]",two-tone,1,1,1,-2.278338478137776,"[14, 7, 5]",two-tone,-2.278338478137776
130,"[14, 7, 4]",two-tone,2,2,2,-2.3341361682881523,"[14, 7, 4]",two-tone,-2.3341361682881523
131,"[14, 7, 3]",two-tone,3,2,2,-1.8480498338448617,"[14, 7, 3]",two-tone,-1.8480498338448617
132,"[14, 7, 2]",two-tone,1,1,1,-1.804617138307964,"[14, 7, 2]",two-tone,-1.804617138307964
133,"[14, 6, 6]",two-tone,1,1,1,-2.5711185253597457,"[14, 6, 6]",two-tone,-2.5711185253597457
134,"[14, 6, 5]",two-tone,1,1,1,-2.344044024374995,"[14, 6, 5]",two-tone,-2.344044024374995
135,"[14, 6, 4]",two-tone,1,1,1,-2.4423425359940447,"[14, 6, 4]",two-tone,-2.4423425359940447
136,"[14, 6, 3]",two-tone,1,1,1,-1.9687679546159929,"[14, 6, 3]",two-tone,-1.9687679546159929
137,"[14, 6, 2]",two-tone,1,1,1,-1.9427268205019856,"[14, 6, 2]",two-tone,-1.9427268205019856
138,"[14, 5, 5]",two-tone,1,1,1,-4.390597352819549,"[14, 5, 5]",two-tone,-4.390597352819549
139,"[14, 5, 4]",two-tone,1,1,1,-5.4716456338342,"[14, 5, 4]",two-tone,-5.4716456338342
140,"[14, 5, 3]",two-tone,2,2,2,-4.3064137555402455,"[14, 5, 3]",two-tone,-4.3064137555402455
141,"[14, 5, 2]",two-tone,2,2,2,-4.318058638909487,"[14, 5, 2]",two-tone,-4.318058638909487
142,"[14, 4, 4]",two-tone,1,1,1,-4.506946580699188,"[14, 4, 4]",two-tone,-4.506946580699188
143,"[14, 4, 3]",two-tone,1,1,1,-3.9756918739833145,"[14, 4, 3]",two-tone,-3.9756918739833145
144,"[14, 4, 2]",two-tone,4,3,2,-3.995622174814009,"[14, 4, 2]",two-tone,-3.995622174814009
145,"[14, 3, 3]",two-tone,1,1,1,-3.718483738735328,"[14, 3, 3]",two-tone,-3.718483738735328
146,"[14, 3, 2]",two-tone,4,3,2,-3.2320628858214913,"[14, 3, 2]",two-tone,-3.2320628858214913
147,"[14, 2, 2]",two-tone,3,2,2,-3.7175783047370263,"[14, 2, 2]",two-tone,-3.7175783047370263
148,"[14, 14, 9]",two-tone,1,1,1,-2.448907681165272,"[14, 14, 9]",two-tone,-2.448907681165272
149,"[14, 14, 8]",two-tone,2,2,2,-2.4848821105221357,"[14, 14, 8]",two-tone,-2.4848821105221357
150,"[14, 14, 7]",two-tone,2,2,2,-2.523721307503076,"[14, 14, 7]",two-tone,-2.523721307503076
151,"[14, 14, 6]",two-tone,2,2,2,-2.5265858450333054,"[14, 14, 6]",two-tone,-2.5265858450333054
152,"[14, 14, 5]",two-tone,1,1,1,-5.227213505061262,"[14, 14, 5]",two-tone,-5.227213505061262
153,"[14, 14, 4]",two-tone,2,2,2,-5.233235850054724,"[14, 14, 4]",two-tone,-5.233235850054724
154,"[14, 14, 3]",two-tone,1,1,1,-3.81171677843608,"[14, 14, 3]",two-tone,-3.81171677843608
155,"[14, 14, 2]",two-tone,2,2,2,-3.8171551357301983,"[14, 14, 2]",two-tone,-3.8171551357301983
156,"[14, 14, 13]",two-tone,1,1,1,-5.3186344772611225,"[14, 14, 13]",two-tone,-5.3186344772611225
157,"[14, 14, 12]",two-tone,1,1,1,-5.5564153916020524,"[14, 14, 12]",two-tone,-5.5564153916020524
158,"[14, 14, 11]",two-tone,1,1,1,-4.176271416088944,"[14, 14, 11]",two-tone,-4.176271416088944
159,"[14, 14, 10]",two-tone,2,2,2,-0.7845878210599149,"[14, 14, 10]",two-tone,-0.7845878210599149
160,"[14, 13, 9]",two-tone,1,1,1,-6.297095634454593,"[14, 13, 9]",two-tone,-6.297095634454593
161,"[14, 13, 8]",two-tone,1,1,1,-5.675241414716159,"[14, 13, 8]",two-tone,-5.675241414716159
162,"[14, 13, 7]",two-tone,1,1,1,-5.666777476433103,"[14, 13, 7]",two-tone,-5.666777476433103
163,"[14, 13, 6]",two-tone,1,1,1,-5.6864026841522195,"[14, 13, 6]",two-tone,-5.6864026841522195
164,"[14, 13, 5]",two-tone,1,1,1,-6.799954330332756,"[14, 13, 5]",two-tone,-6.799954330332756
165,"[14, 13, 4]",two-tone,1,1,1,-6.790177192605013,"[14, 13, 4]",two-tone,-6.790177192605013
166,"[14, 13, 3]",two-tone,1,1,1,-6.609085975241729,"[14, 13, 3]",two-tone,-6.609085975241729
