,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 8]",two-tone,1,1,1,3.3107011652987812,"[9, 9, 8]",two-tone,3.3107011652987812
1,"[9, 9, 7]",two-tone,1,1,1,2.8854721868009885,"[9, 9, 7]",two-tone,2.8854721868009885
2,"[9, 9, 6]",two-tone,1,1,1,1.5775497297295962,"[9, 9, 6]",two-tone,1.5775497297295962
3,"[9, 9, 5]",two-tone,1,1,1,1.1738552133095659,"[9, 9, 5]",two-tone,1.1738552133095659
4,"[9, 9, 4]",two-tone,1,1,1,0.8418635245173394,"[9, 9, 4]",two-tone,0.8418635245173394
5,"[9, 9, 3]",two-tone,2,2,2,1.0201277615702649,"[9, 9, 3]",two-tone,1.0201277615702649
6,"[9, 9, 2]",two-tone,1,1,1,1.0819543121348,"[9, 9, 2]",two-tone,1.0819543121348
7,"[9, 8, 8]",two-tone,1,1,1,2.053615552252212,"[9, 8, 8]",two-tone,2.053615552252212
8,"[9, 8, 7]",two-tone,1,1,1,7.332180162950578,"[9, 8, 7]",two-tone,7.332180162950578
9,"[9, 8, 6]",two-tone,1,1,1,5.090234497287878,"[9, 8, 6]",two-tone,5.090234497287878
10,"[9, 8, 5]",two-tone,1,1,1,-0.4399096274839164,"[9, 8, 5]",two-tone,-0.4399096274839164
11,"[9, 8, 4]",two-tone,1,1,1,3.2987729504523067,"[9, 8, 4]",two-tone,3.2987729504523067
12,"[9, 8, 3]",two-tone,1,1,1,3.611081497780536,"[9, 8, 3]",two-tone,3.611081497780536
13,"[9, 8, 2]",two-tone,1,1,1,3.61393947757916,"[9, 8, 2]",two-tone,3.61393947757916
14,"[9, 7, 7]",two-tone,1,1,1,1.5704589616536395,"[9, 7, 7]",two-tone,1.5704589616536395
15,"[9, 7, 6]",two-tone,1,1,1,3.564527073109136,"[9, 7, 6]",two-tone,3.564527073109136
16,"[9, 7, 5]",two-tone,1,1,1,1.2077589890670968,"[9, 7, 5]",two-tone,1.2077589890670968
17,"[9, 7, 4]",two-tone,1,1,1,1.9559103947646044,"[9, 7, 4]",two-tone,1.9559103947646044
18,"[9, 7, 3]",two-tone,1,1,1,3.2479815892950064,"[9, 7, 3]",two-tone,3.2479815892950064
19,"[9, 7, 2]",two-tone,2,2,2,3.4546141017261363,"[9, 7, 2]",two-tone,3.4546141017261363
20,"[9, 6, 6]",two-tone,2,2,2,-0.8326763968968516,"[9, 6, 6]",two-tone,-0.8326763968968516
21,"[9, 6, 5]",two-tone,1,1,1,-0.3152372815289378,"[9, 6, 5]",two-tone,-0.3152372815289378
22,"[9, 6, 4]",two-tone,1,1,1,-0.18439669978893747,"[9, 6, 4]",two-tone,-0.18439669978893747
23,"[9, 6, 3]",two-tone,1,1,1,1.7200261523702194,"[9, 6, 3]",two-tone,1.7200261523702194
