,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 8]",two-tone,16,11,8,1.3380195409583675,"[9, 9, 8]",two-tone,1.3380195409583675
1,"[9, 9, 7]",two-tone,2,2,2,1.5486033449315424,"[9, 9, 7]",two-tone,1.5486033449315424
2,"[9, 9, 6]",two-tone,1,1,1,0.5039472078689959,"[9, 9, 6]",two-tone,0.5039472078689959
3,"[9, 9, 5]",two-tone,1,1,1,0.487058739266247,"[9, 9, 5]",two-tone,0.487058739266247
4,"[9, 9, 4]",two-tone,1,1,1,1.0303092459487777,"[9, 9, 4]",two-tone,1.0303092459487777
5,"[9, 9, 3]",two-tone,1,1,1,1.0361657163963391,"[9, 9, 3]",two-tone,1.0361657163963391
6,"[9, 9, 2]",two-tone,1,1,1,1.0373279664398642,"[9, 9, 2]",two-tone,1.0373279664398642
7,"[9, 8, 8]",two-tone,16,11,8,1.1331114842494532,"[9, 8, 8]",two-tone,1.1331114842494532
8,"[9, 8, 7]",two-tone,1,1,1,-0.8273726374141939,"[9, 8, 7]",two-tone,-0.8273726374141939
9,"[9, 8, 6]",two-tone,1,1,1,-0.1104902534259592,"[9, 8, 6]",two-tone,-0.1104902534259592
10,"[9, 8, 5]",two-tone,1,1,1,0.4200868665411635,"[9, 8, 5]",two-tone,0.4200868665411635
11,"[9, 8, 4]",two-tone,1,1,1,0.7784278838754932,"[9, 8, 4]",two-tone,0.7784278838754932
12,"[9, 8, 3]",two-tone,1,1,1,0.7788508520791545,"[9, 8, 3]",two-tone,0.7788508520791545
13,"[9, 8, 2]",two-tone,1,1,1,0.7792812266575748,"[9, 8, 2]",two-tone,0.7792812266575748
14,"[9, 7, 7]",two-tone,16,11,8,0.9288909406100272,"[9, 7, 7]",two-tone,0.9288909406100272
15,"[9, 7, 6]",two-tone,1,1,1,-0.11113608933196008,"[9, 7, 6]",two-tone,-0.11113608933196008
16,"[9, 7, 5]",two-tone,2,2,2,0.037542881981880084,"[9, 7, 5]",two-tone,0.037542881981880084
17,"[9, 7, 4]",two-tone,1,1,1,0.7372091578700412,"[9, 7, 4]",two-tone,0.7372091578700412
