,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 8]",two-tone,1,1,1,0.9648289445649136,"[9, 9, 8]",two-tone,0.9648289445649136
1,"[9, 9, 7]",two-tone,2,2,2,1.0337052812142185,"[9, 9, 7]",two-tone,1.0337052812142185
2,"[9, 9, 6]",two-tone,1,1,1,0.7422837596276364,"[9, 9, 6]",two-tone,0.7422837596276364
3,"[9, 9, 5]",two-tone,2,2,2,0.7980655309784571,"[9, 9, 5]",two-tone,0.7980655309784571
4,"[9, 9, 4]",two-tone,2,2,2,0.5197263177246395,"[9, 9, 4]",two-tone,0.5197263177246395
5,"[9, 9, 3]",two-tone,2,2,2,0.5182115108912305,"[9, 9, 3]",two-tone,0.5182115108912305
6,"[9, 9, 2]",two-tone,1,1,1,0.700197772830985,"[9, 9, 2]",two-tone,0.700197772830985
7,"[9, 8, 8]",two-tone,16,11,8,0.7579101205221097,"[9, 8, 8]",two-tone,0.7579101205221097
8,"[9, 8, 7]",two-tone,1,1,1,0.5112552347242177,"[9, 8, 7]",two-tone,0.5112552347242177
9,"[9, 8, 6]",two-tone,1,1,1,0.5822298472930543,"[9, 8, 6]",two-tone,0.5822298472930543
10,"[9, 8, 5]",two-tone,1,1,1,0.9753176541721376,"[9, 8, 5]",two-tone,0.9753176541721376
11,"[9, 8, 4]",two-tone,1,1,1,0.8720686096650709,"[9, 8, 4]",two-tone,0.8720686096650709
12,"[9, 8, 3]",two-tone,1,1,1,0.8972648316650715,"[9, 8, 3]",two-tone,0.8972648316650715
13,"[9, 8, 2]",two-tone,1,1,1,1.0596523872566366,"[9, 8, 2]",two-tone,1.0596523872566366
14,"[9, 7, 7]",two-tone,8,6,4,0.8243211335606023,"[9, 7, 7]",two-tone,0.8243211335606023
15,"[9, 7, 6]",two-tone,1,1,1,0.7776412547803581,"[9, 7, 6]",two-tone,0.7776412547803581
16,"[9, 7, 5]",two-tone,2,2,2,0.6914587035555047,"[9, 7, 5]",two-tone,0.6914587035555047
17,"[9, 7, 4]",two-tone,1,1,1,0.8391347121561431,"[9, 7, 4]",two-tone,0.8391347121561431
18,"[9, 7, 3]",two-tone,1,1,1,0.8588419044178788,"[9, 7, 3]",two-tone,0.8588419044178788
19,"[9, 7, 2]",two-tone,2,2,2,1.0520263334377464,"[9, 7, 2]",two-tone,1.0520263334377464
20,"[9, 6, 6]",two-tone,8,6,4,0.9701188103669988,"[9, 6, 6]",two-tone,0.9701188103669988
21,"[9, 6, 5]",two-tone,2,2,2,0.30588354306565324,"[9, 6, 5]",two-tone,0.30588354306565324
22,"[9, 6, 4]",two-tone,1,1,1,0.8396999991682326,"[9, 6, 4]",two-tone,0.8396999991682326
23,"[9, 6, 3]",two-tone,1,1,1,0.8558941256484962,"[9, 6, 3]",two-tone,0.8558941256484962
24,"[9, 6, 2]",two-tone,1,1,1,1.0511312119645178,"[9, 6, 2]",two-tone,1.0511312119645178
25,"[9, 5, 5]",two-tone,2,2,2,0.937101620160444,"[9, 5, 5]",two-tone,0.937101620160444
