,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 8]",two-tone,16,11,8,5.783870526344089,"[9, 9, 8]",two-tone,5.783870526344089
1,"[9, 9, 7]",two-tone,15,10,7,4.972227529621229,"[9, 9, 7]",two-tone,4.972227529621229
2,"[9, 9, 6]",two-tone,16,11,8,4.5933476618764315,"[9, 9, 6]",two-tone,4.5933476618764315
3,"[9, 9, 5]",two-tone,16,11,8,3.792478659610985,"[9, 9, 5]",two-tone,3.792478659610985
4,"[9, 9, 4]",two-tone,16,11,8,2.9490834645413537,"[9, 9, 4]",two-tone,2.9490834645413537
5,"[9, 9, 3]",two-tone,16,11,8,2.9446036269473685,"[9, 9, 3]",two-tone,2.9446036269473685
6,"[9, 9, 2]",two-tone,16,11,8,2.9438216839699254,"[9, 9, 2]",two-tone,2.9438216839699254
7,"[9, 8, 8]",two-tone,16,11,8,6.35517199851852,"[9, 8, 8]",two-tone,6.35517199851852
8,"[9, 8, 7]",two-tone,8,6,4,7.1217857485034495,"[9, 8, 7]",two-tone,7.1217857485034495
9,"[9, 8, 6]",two-tone,15,10,7,6.3733415795737525,"[9, 8, 6]",two-tone,6.3733415795737525
10,"[9, 8, 5]",two-tone,16,11,8,5.379330630112801,"[9, 8, 5]",two-tone,5.379330630112801
11,"[9, 8, 4]",two-tone,16,11,8,3.564806302081714,"[9, 8, 4]",two-tone,3.564806302081714
12,"[9, 8, 3]",two-tone,15,10,7,3.5632015552746488,"[9, 8, 3]",two-tone,3.5632015552746488
13,"[9, 8, 2]",two-tone,15,10,7,3.5704001999029487,"[9, 8, 2]",two-tone,3.5704001999029487
14,"[9, 7, 7]",two-tone,15,10,7,4.95251464402943,"[9, 7, 7]",two-tone,4.95251464402943
15,"[9, 7, 6]",two-tone,15,10,7,6.212453658216653,"[9, 7, 6]",two-tone,6.212453658216653
16,"[9, 7, 5]",two-tone,15,10,7,5.275068970111171,"[9, 7, 5]",two-tone,5.275068970111171
17,"[9, 7, 4]",two-tone,16,11,8,3.4417938088465845,"[9, 7, 4]",two-tone,3.4417938088465845
18,"[9, 7, 3]",two-tone,16,11,8,3.434276291377378,"[9, 7, 3]",two-tone,3.434276291377378
19,"[9, 7, 2]",two-tone,16,11,8,3.4157861421612536,"[9, 7, 2]",two-tone,3.4157861421612536
20,"[9, 6, 6]",two-tone,16,11,8,4.517555883379502,"[9, 6, 6]",two-tone,4.517555883379502
21,"[9, 6, 5]",two-tone,16,11,8,5.304215256515398,"[9, 6, 5]",two-tone,5.304215256515398
22,"[9, 6, 4]",two-tone,16,11,8,3.970023430415512,"[9, 6, 4]",two-tone,3.970023430415512
23,"[9, 6, 3]",two-tone,16,11,8,3.974508700581717,"[9, 6, 3]",two-tone,3.974508700581717
24,"[9, 6, 2]",two-tone,16,11,8,3.9643241318282554,"[9, 6, 2]",two-tone,3.9643241318282554
25,"[9, 5, 5]",two-tone,16,11,8,3.8257286688365664,"[9, 5, 5]",two-tone,3.8257286688365664
26,"[9, 5, 4]",two-tone,16,11,8,3.978181248836565,"[9, 5, 4]",two-tone,3.978181248836565
27,"[9, 5, 3]",two-tone,16,11,8,3.9789400829639887,"[9, 5, 3]",two-tone,3.9789400829639887
28,"[9, 5, 2]",two-tone,16,11,8,3.9639912127977834,"[9, 5, 2]",two-tone,3.9639912127977834
29,"[9, 4, 4]",two-tone,16,11,8,3.116460805719657,"[9, 4, 4]",two-tone,3.116460805719657
30,"[9, 4, 3]",two-tone,16,11,8,3.298727698979591,"[9, 4, 3]",two-tone,3.298727698979591
31,"[9, 4, 2]",two-tone,16,11,8,3.2733560369226637,"[9, 4, 2]",two-tone,3.2733560369226637
