,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 8]",two-tone,16,11,8,6.5814796631911205,"[9, 9, 8]",two-tone,6.5814796631911205
1,"[9, 9, 7]",two-tone,16,11,8,5.712351239994733,"[9, 9, 7]",two-tone,5.712351239994733
2,"[9, 9, 6]",two-tone,16,11,8,5.353156323005821,"[9, 9, 6]",two-tone,5.353156323005821
3,"[9, 9, 5]",two-tone,16,11,8,4.432493831521739,"[9, 9, 5]",two-tone,4.432493831521739
4,"[9, 9, 4]",two-tone,16,11,8,3.6921674029931975,"[9, 9, 4]",two-tone,3.6921674029931975
5,"[9, 9, 3]",two-tone,16,11,8,3.890211951226097,"[9, 9, 3]",two-tone,3.890211951226097
6,"[9, 9, 2]",two-tone,16,11,8,3.886854872980877,"[9, 9, 2]",two-tone,3.886854872980877
7,"[9, 8, 8]",two-tone,16,11,8,7.1213399242962945,"[9, 8, 8]",two-tone,7.1213399242962945
8,"[9, 8, 7]",two-tone,10,7,5,7.677533806022726,"[9, 8, 7]",two-tone,7.677533806022726
9,"[9, 8, 6]",two-tone,15,10,7,7.076431664946238,"[9, 8, 6]",two-tone,7.076431664946238
10,"[9, 8, 5]",two-tone,16,11,8,6.119392838194084,"[9, 8, 5]",two-tone,6.119392838194084
11,"[9, 8, 4]",two-tone,16,11,8,4.666615008841799,"[9, 8, 4]",two-tone,4.666615008841799
12,"[9, 8, 3]",two-tone,15,10,7,4.86202031115942,"[9, 8, 3]",two-tone,4.86202031115942
13,"[9, 8, 2]",two-tone,15,10,7,4.8570371302173925,"[9, 8, 2]",two-tone,4.8570371302173925
14,"[9, 7, 7]",two-tone,16,11,8,5.833315430303031,"[9, 7, 7]",two-tone,5.833315430303031
15,"[9, 7, 6]",two-tone,16,11,8,6.883372263295652,"[9, 7, 6]",two-tone,6.883372263295652
16,"[9, 7, 5]",two-tone,16,11,8,5.85630310739681,"[9, 7, 5]",two-tone,5.85630310739681
17,"[9, 7, 4]",two-tone,15,10,7,4.297668021356383,"[9, 7, 4]",two-tone,4.297668021356383
18,"[9, 7, 3]",two-tone,16,11,8,4.516335517794971,"[9, 7, 3]",two-tone,4.516335517794971
19,"[9, 7, 2]",two-tone,16,11,8,4.524584457833656,"[9, 7, 2]",two-tone,4.524584457833656
20,"[9, 6, 6]",two-tone,16,11,8,5.449038836363635,"[9, 6, 6]",two-tone,5.449038836363635
21,"[9, 6, 5]",two-tone,16,11,8,5.891032156564344,"[9, 6, 5]",two-tone,5.891032156564344
22,"[9, 6, 4]",two-tone,16,11,8,4.7447633704999985,"[9, 6, 4]",two-tone,4.7447633704999985
23,"[9, 6, 3]",two-tone,16,11,8,4.966936963636362,"[9, 6, 3]",two-tone,4.966936963636362
24,"[9, 6, 2]",two-tone,16,11,8,4.976799072727271,"[9, 6, 2]",two-tone,4.976799072727271
25,"[9, 5, 5]",two-tone,16,11,8,4.5404572352941175,"[9, 5, 5]",two-tone,4.5404572352941175
26,"[9, 5, 4]",two-tone,16,11,8,4.5095730142857136,"[9, 5, 4]",two-tone,4.5095730142857136
27,"[9, 5, 3]",two-tone,16,11,8,4.6561203635,"[9, 5, 3]",two-tone,4.6561203635
28,"[9, 5, 2]",two-tone,16,11,8,4.6509387654999985,"[9, 5, 2]",two-tone,4.6509387654999985
29,"[9, 4, 4]",two-tone,16,11,8,3.909416589435776,"[9, 4, 4]",two-tone,3.909416589435776
30,"[9, 4, 3]",two-tone,16,11,8,4.072795375382653,"[9, 4, 3]",two-tone,4.072795375382653
31,"[9, 4, 2]",two-tone,16,11,8,4.064382337755102,"[9, 4, 2]",two-tone,4.064382337755102
32,"[9, 3, 3]",two-tone,16,11,8,4.21671290955473,"[9, 3, 3]",two-tone,4.21671290955473
33,"[9, 3, 2]",two-tone,16,11,8,4.208626497217066,"[9, 3, 2]",two-tone,4.208626497217066
34,"[9, 2, 2]",two-tone,16,11,8,4.211050248608534,"[9, 2, 2]",two-tone,4.211050248608534
35,"[8, 8, 7]",two-tone,16,11,8,7.016203113182608,"[8, 8, 7]",two-tone,7.016203113182608
36,"[8, 8, 6]",two-tone,16,11,8,6.486029788434782,"[8, 8, 6]",two-tone,6.486029788434782
37,"[8, 8, 5]",two-tone,16,11,8,5.611770284782609,"[8, 8, 5]",two-tone,5.611770284782609
38,"[8, 8, 4]",two-tone,16,11,8,4.995816746872944,"[8, 8, 4]",two-tone,4.995816746872944
39,"[8, 8, 3]",two-tone,16,11,8,5.142650882285714,"[8, 8, 3]",two-tone,5.142650882285714
40,"[8, 8, 2]",two-tone,16,11,8,5.142033959510204,"[8, 8, 2]",two-tone,5.142033959510204
41,"[8, 7, 7]",two-tone,16,11,8,6.86746008884276,"[8, 7, 7]",two-tone,6.86746008884276
42,"[8, 7, 6]",two-tone,16,11,8,7.138279749932993,"[8, 7, 6]",two-tone,7.138279749932993
43,"[8, 7, 5]",two-tone,16,11,8,6.633739123688753,"[8, 7, 5]",two-tone,6.633739123688753
44,"[8, 7, 4]",two-tone,16,11,8,5.958703666987286,"[8, 7, 4]",two-tone,5.958703666987286
45,"[8, 7, 3]",two-tone,16,11,8,5.829778310067463,"[8, 7, 3]",two-tone,5.829778310067463
46,"[8, 7, 2]",two-tone,16,11,8,5.834992666320707,"[8, 7, 2]",two-tone,5.834992666320707
47,"[8, 6, 6]",two-tone,16,11,8,6.061404720487807,"[8, 6, 6]",two-tone,6.061404720487807
48,"[8, 6, 5]",two-tone,16,11,8,6.4951685665130565,"[8, 6, 5]",two-tone,6.4951685665130565
49,"[8, 6, 4]",two-tone,16,11,8,5.8077506252134565,"[8, 6, 4]",two-tone,5.8077506252134565
50,"[8, 6, 3]",two-tone,16,11,8,5.621169987804879,"[8, 6, 3]",two-tone,5.621169987804879
51,"[8, 6, 2]",two-tone,16,11,8,5.621728610731707,"[8, 6, 2]",two-tone,5.621728610731707
52,"[8, 5, 5]",two-tone,16,11,8,5.293909072231405,"[8, 5, 5]",two-tone,5.293909072231405
53,"[8, 5, 4]",two-tone,16,11,8,5.748131678891183,"[8, 5, 4]",two-tone,5.748131678891183
54,"[8, 5, 3]",two-tone,16,11,8,5.437064249180327,"[8, 5, 3]",two-tone,5.437064249180327
55,"[8, 5, 2]",two-tone,16,11,8,5.426965183934425,"[8, 5, 2]",two-tone,5.426965183934425
56,"[8, 4, 4]",two-tone,16,11,8,4.724784943582391,"[8, 4, 4]",two-tone,4.724784943582391
57,"[8, 4, 3]",two-tone,16,11,8,4.904434788733688,"[8, 4, 3]",two-tone,4.904434788733688
58,"[8, 4, 2]",two-tone,16,11,8,4.9065626509534965,"[8, 4, 2]",two-tone,4.9065626509534965
59,"[8, 3, 3]",two-tone,16,11,8,5.014267517794922,"[8, 3, 3]",two-tone,5.014267517794922
60,"[8, 3, 2]",two-tone,16,11,8,5.027369094997511,"[8, 3, 2]",two-tone,5.027369094997511
61,"[8, 2, 2]",two-tone,16,11,8,5.007425946913886,"[8, 2, 2]",two-tone,5.007425946913886
62,"[7, 7, 6]",two-tone,16,11,8,6.762866381048387,"[7, 7, 6]",two-tone,6.762866381048387
63,"[7, 7, 5]",two-tone,16,11,8,6.139562666361789,"[7, 7, 5]",two-tone,6.139562666361789
64,"[7, 7, 4]",two-tone,16,11,8,5.631436476767679,"[7, 7, 4]",two-tone,5.631436476767679
65,"[7, 7, 3]",two-tone,16,11,8,5.755258163049853,"[7, 7, 3]",two-tone,5.755258163049853
66,"[7, 7, 2]",two-tone,16,11,8,5.761157843206256,"[7, 7, 2]",two-tone,5.761157843206256
67,"[7, 6, 6]",two-tone,16,11,8,6.545766289058862,"[7, 6, 6]",two-tone,6.545766289058862
68,"[7, 6, 5]",two-tone,16,11,8,6.5413178661477245,"[7, 6, 5]",two-tone,6.5413178661477245
