,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 8]",two-tone,16,11,8,5.0445129474369885,"[9, 9, 8]",two-tone,5.0445129474369885
1,"[9, 9, 7]",two-tone,16,11,8,4.812642473995687,"[9, 9, 7]",two-tone,4.812642473995687
2,"[9, 9, 6]",two-tone,16,11,8,4.322035621955154,"[9, 9, 6]",two-tone,4.322035621955154
3,"[9, 9, 5]",two-tone,16,11,8,4.128839022659001,"[9, 9, 5]",two-tone,4.128839022659001
4,"[9, 9, 4]",two-tone,16,11,8,4.058097095704748,"[9, 9, 4]",two-tone,4.058097095704748
5,"[9, 9, 3]",two-tone,16,11,8,3.935911207608133,"[9, 9, 3]",two-tone,3.935911207608133
6,"[9, 9, 2]",two-tone,16,11,8,3.5658227314198108,"[9, 9, 2]",two-tone,3.5658227314198108
7,"[9, 8, 8]",two-tone,16,11,8,5.0669252620192315,"[9, 8, 8]",two-tone,5.0669252620192315
8,"[9, 8, 7]",two-tone,15,10,7,5.5680080139021815,"[9, 8, 7]",two-tone,5.5680080139021815
9,"[9, 8, 6]",two-tone,15,10,7,5.357030861943319,"[9, 8, 6]",two-tone,5.357030861943319
10,"[9, 8, 5]",two-tone,15,10,7,4.7660567797364815,"[9, 8, 5]",two-tone,4.7660567797364815
11,"[9, 8, 4]",two-tone,15,10,7,3.9305911598840564,"[9, 8, 4]",two-tone,3.9305911598840564
12,"[9, 8, 3]",two-tone,16,11,8,3.8692625348076923,"[9, 8, 3]",two-tone,3.8692625348076923
13,"[9, 8, 2]",two-tone,16,11,8,3.480225554619273,"[9, 8, 2]",two-tone,3.480225554619273
14,"[9, 7, 7]",two-tone,16,11,8,4.741362842153847,"[9, 7, 7]",two-tone,4.741362842153847
15,"[9, 7, 6]",two-tone,16,11,8,5.393293500467506,"[9, 7, 6]",two-tone,5.393293500467506
16,"[9, 7, 5]",two-tone,16,11,8,5.354343469026626,"[9, 7, 5]",two-tone,5.354343469026626
17,"[9, 7, 4]",two-tone,15,10,7,4.06005024010609,"[9, 7, 4]",two-tone,4.06005024010609
18,"[9, 7, 3]",two-tone,16,11,8,4.014955698270172,"[9, 7, 3]",two-tone,4.014955698270172
19,"[9, 7, 2]",two-tone,16,11,8,3.6074906056221536,"[9, 7, 2]",two-tone,3.6074906056221536
20,"[9, 6, 6]",two-tone,16,11,8,4.631726277785822,"[9, 6, 6]",two-tone,4.631726277785822
21,"[9, 6, 5]",two-tone,16,11,8,5.030165109861575,"[9, 6, 5]",two-tone,5.030165109861575
22,"[9, 6, 4]",two-tone,16,11,8,4.115451091236887,"[9, 6, 4]",two-tone,4.115451091236887
23,"[9, 6, 3]",two-tone,16,11,8,4.075430342801217,"[9, 6, 3]",two-tone,4.075430342801217
24,"[9, 6, 2]",two-tone,16,11,8,3.76633479245283,"[9, 6, 2]",two-tone,3.76633479245283
25,"[9, 5, 5]",two-tone,16,11,8,4.552089131808238,"[9, 5, 5]",two-tone,4.552089131808238
26,"[9, 5, 4]",two-tone,16,11,8,4.584729505152741,"[9, 5, 4]",two-tone,4.584729505152741
27,"[9, 5, 3]",two-tone,16,11,8,4.223664152738094,"[9, 5, 3]",two-tone,4.223664152738094
