,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 8]",two-tone,16,11,8,5.4703637701224315,"[9, 9, 8]",two-tone,5.4703637701224315
1,"[9, 9, 7]",two-tone,16,11,8,5.195454394220127,"[9, 9, 7]",two-tone,5.195454394220127
2,"[9, 9, 6]",two-tone,16,11,8,4.6914811668509575,"[9, 9, 6]",two-tone,4.6914811668509575
3,"[9, 9, 5]",two-tone,16,11,8,4.307304975641282,"[9, 9, 5]",two-tone,4.307304975641282
4,"[9, 9, 4]",two-tone,16,11,8,4.300350383320508,"[9, 9, 4]",two-tone,4.300350383320508
5,"[9, 9, 3]",two-tone,16,11,8,4.185775146290766,"[9, 9, 3]",two-tone,4.185775146290766
6,"[9, 9, 2]",two-tone,16,11,8,3.83165006284414,"[9, 9, 2]",two-tone,3.83165006284414
7,"[9, 8, 8]",two-tone,16,11,8,5.865901111322701,"[9, 8, 8]",two-tone,5.865901111322701
8,"[9, 8, 7]",two-tone,15,10,7,6.390171612458332,"[9, 8, 7]",two-tone,6.390171612458332
9,"[9, 8, 6]",two-tone,16,11,8,6.280730526405325,"[9, 8, 6]",two-tone,6.280730526405325
10,"[9, 8, 5]",two-tone,16,11,8,5.390278811779768,"[9, 8, 5]",two-tone,5.390278811779768
11,"[9, 8, 4]",two-tone,16,11,8,4.66410570863264,"[9, 8, 4]",two-tone,4.66410570863264
12,"[9, 8, 3]",two-tone,15,10,7,4.609180294662764,"[9, 8, 3]",two-tone,4.609180294662764
13,"[9, 8, 2]",two-tone,16,11,8,4.245123253023332,"[9, 8, 2]",two-tone,4.245123253023332
14,"[9, 7, 7]",two-tone,16,11,8,5.494218919342793,"[9, 7, 7]",two-tone,5.494218919342793
15,"[9, 7, 6]",two-tone,15,10,7,5.8818129352935715,"[9, 7, 6]",two-tone,5.8818129352935715
16,"[9, 7, 5]",two-tone,15,10,7,5.768783009432165,"[9, 7, 5]",two-tone,5.768783009432165
17,"[9, 7, 4]",two-tone,15,10,7,4.629704417948719,"[9, 7, 4]",two-tone,4.629704417948719
18,"[9, 7, 3]",two-tone,16,11,8,4.578364423469858,"[9, 7, 3]",two-tone,4.578364423469858
19,"[9, 7, 2]",two-tone,16,11,8,4.207267968109735,"[9, 7, 2]",two-tone,4.207267968109735
20,"[9, 6, 6]",two-tone,16,11,8,5.390955748426572,"[9, 6, 6]",two-tone,5.390955748426572
21,"[9, 6, 5]",two-tone,16,11,8,5.586564618319528,"[9, 6, 5]",two-tone,5.586564618319528
22,"[9, 6, 4]",two-tone,16,11,8,4.684857869536712,"[9, 6, 4]",two-tone,4.684857869536712
23,"[9, 6, 3]",two-tone,16,11,8,4.6521464180948255,"[9, 6, 3]",two-tone,4.6521464180948255
24,"[9, 6, 2]",two-tone,16,11,8,4.354152813207548,"[9, 6, 2]",two-tone,4.354152813207548
25,"[9, 5, 5]",two-tone,16,11,8,5.017754793680884,"[9, 5, 5]",two-tone,5.017754793680884
26,"[9, 5, 4]",two-tone,16,11,8,4.887035750649352,"[9, 5, 4]",two-tone,4.887035750649352
27,"[9, 5, 3]",two-tone,16,11,8,4.5033718654965975,"[9, 5, 3]",two-tone,4.5033718654965975
28,"[9, 5, 2]",two-tone,16,11,8,4.268418245875251,"[9, 5, 2]",two-tone,4.268418245875251
29,"[9, 4, 4]",two-tone,16,11,8,4.8921528912583465,"[9, 4, 4]",two-tone,4.8921528912583465
30,"[9, 4, 3]",two-tone,16,11,8,4.8624566025231974,"[9, 4, 3]",two-tone,4.8624566025231974
31,"[9, 4, 2]",two-tone,16,11,8,4.572529620731867,"[9, 4, 2]",two-tone,4.572529620731867
32,"[9, 3, 3]",two-tone,16,11,8,4.652664826625177,"[9, 3, 3]",two-tone,4.652664826625177
33,"[9, 3, 2]",two-tone,16,11,8,4.755349658440878,"[9, 3, 2]",two-tone,4.755349658440878
34,"[9, 2, 2]",two-tone,16,11,8,4.345948281571693,"[9, 2, 2]",two-tone,4.345948281571693
35,"[8, 8, 7]",two-tone,16,11,8,5.5806825279849885,"[8, 8, 7]",two-tone,5.5806825279849885
36,"[8, 8, 6]",two-tone,16,11,8,5.305988806575899,"[8, 8, 6]",two-tone,5.305988806575899
37,"[8, 8, 5]",two-tone,16,11,8,4.741663910103265,"[8, 8, 5]",two-tone,4.741663910103265
38,"[8, 8, 4]",two-tone,16,11,8,4.8206337427043175,"[8, 8, 4]",two-tone,4.8206337427043175
