,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 8]",two-tone,2,2,2,5.40306366818182,"[9, 9, 8]",two-tone,5.40306366818182
1,"[9, 9, 7]",two-tone,2,2,2,5.663260206818182,"[9, 9, 7]",two-tone,5.663260206818182
2,"[9, 9, 6]",two-tone,15,10,7,6.182841386018237,"[9, 9, 6]",two-tone,6.182841386018237
3,"[9, 9, 5]",two-tone,8,6,4,6.1827527902735575,"[9, 9, 5]",two-tone,6.1827527902735575
4,"[9, 9, 4]",two-tone,1,1,1,6.18617713069909,"[9, 9, 4]",two-tone,6.18617713069909
5,"[9, 9, 3]",two-tone,16,11,8,6.184461386018239,"[9, 9, 3]",two-tone,6.184461386018239
6,"[9, 9, 2]",two-tone,15,10,7,6.183031598784195,"[9, 9, 2]",two-tone,6.183031598784195
7,"[9, 8, 8]",two-tone,2,2,2,5.3846586000000025,"[9, 8, 8]",two-tone,5.3846586000000025
8,"[9, 8, 7]",two-tone,8,6,4,4.181291012195123,"[9, 8, 7]",two-tone,4.181291012195123
9,"[9, 8, 6]",two-tone,10,7,5,5.356391263636365,"[9, 8, 6]",two-tone,5.356391263636365
10,"[9, 8, 5]",two-tone,10,7,5,5.399001600000003,"[9, 8, 5]",two-tone,5.399001600000003
11,"[9, 8, 4]",two-tone,10,7,5,5.37969243409091,"[9, 8, 4]",two-tone,5.37969243409091
12,"[9, 8, 3]",two-tone,1,1,1,5.380014306818183,"[9, 8, 3]",two-tone,5.380014306818183
13,"[9, 8, 2]",two-tone,1,1,1,5.388546463636365,"[9, 8, 2]",two-tone,5.388546463636365
14,"[9, 7, 7]",two-tone,3,2,2,5.6322102272727275,"[9, 7, 7]",two-tone,5.6322102272727275
15,"[9, 7, 6]",two-tone,15,10,7,5.607024497727274,"[9, 7, 6]",two-tone,5.607024497727274
16,"[9, 7, 5]",two-tone,10,7,5,5.656771350000001,"[9, 7, 5]",two-tone,5.656771350000001
17,"[9, 7, 4]",two-tone,15,10,7,5.639901715909092,"[9, 7, 4]",two-tone,5.639901715909092
18,"[9, 7, 3]",two-tone,16,11,8,5.63624871818182,"[9, 7, 3]",two-tone,5.63624871818182
19,"[9, 7, 2]",two-tone,15,10,7,5.6421286704545475,"[9, 7, 2]",two-tone,5.6421286704545475
20,"[9, 6, 6]",two-tone,15,10,7,5.9288968096304595,"[9, 6, 6]",two-tone,5.9288968096304595
21,"[9, 6, 5]",two-tone,10,7,5,6.053133385778277,"[9, 6, 5]",two-tone,6.053133385778277
22,"[9, 6, 4]",two-tone,3,2,2,6.058472351623742,"[9, 6, 4]",two-tone,6.058472351623742
23,"[9, 6, 3]",two-tone,1,1,1,6.058543840985442,"[9, 6, 3]",two-tone,6.058543840985442
24,"[9, 6, 2]",two-tone,1,1,1,6.061310479283316,"[9, 6, 2]",two-tone,6.061310479283316
25,"[9, 5, 5]",two-tone,10,7,5,5.9300724020156785,"[9, 5, 5]",two-tone,5.9300724020156785
26,"[9, 5, 4]",two-tone,1,1,1,6.151536113101906,"[9, 5, 4]",two-tone,6.151536113101906
27,"[9, 5, 3]",two-tone,3,2,2,6.152465474804032,"[9, 5, 3]",two-tone,6.152465474804032
28,"[9, 5, 2]",two-tone,2,2,2,6.150914155655097,"[9, 5, 2]",two-tone,6.150914155655097
29,"[9, 4, 4]",two-tone,16,11,8,5.929840061590147,"[9, 4, 4]",two-tone,5.929840061590147
30,"[9, 4, 3]",two-tone,1,1,1,6.150056283314669,"[9, 4, 3]",two-tone,6.150056283314669
31,"[9, 4, 2]",two-tone,3,2,2,6.150324368421053,"[9, 4, 2]",two-tone,6.150324368421053
32,"[9, 3, 3]",two-tone,10,7,5,5.9314592956327,"[9, 3, 3]",two-tone,5.9314592956327
33,"[9, 3, 2]",two-tone,1,1,1,6.151493219484882,"[9, 3, 2]",two-tone,6.151493219484882
34,"[9, 2, 2]",two-tone,15,10,7,5.932595976483763,"[9, 2, 2]",two-tone,5.932595976483763
35,"[8, 8, 7]",two-tone,1,1,1,5.725628795454546,"[8, 8, 7]",two-tone,5.725628795454546
36,"[8, 8, 6]",two-tone,2,2,2,6.265482389361702,"[8, 8, 6]",two-tone,6.265482389361702
37,"[8, 8, 5]",two-tone,2,2,2,6.27022695957447,"[8, 8, 5]",two-tone,6.27022695957447
38,"[8, 8, 4]",two-tone,15,10,7,6.265895687234044,"[8, 8, 4]",two-tone,6.265895687234044
39,"[8, 8, 3]",two-tone,10,7,5,6.262708334042554,"[8, 8, 3]",two-tone,6.262708334042554
40,"[8, 8, 2]",two-tone,10,7,5,6.274935517021277,"[8, 8, 2]",two-tone,6.274935517021277
41,"[8, 7, 7]",two-tone,10,7,5,5.716859959090908,"[8, 7, 7]",two-tone,5.716859959090908
42,"[8, 7, 6]",two-tone,16,11,8,5.600442354545455,"[8, 7, 6]",two-tone,5.600442354545455
43,"[8, 7, 5]",two-tone,15,10,7,5.69272675909091,"[8, 7, 5]",two-tone,5.69272675909091
44,"[8, 7, 4]",two-tone,3,2,2,5.727641072727272,"[8, 7, 4]",two-tone,5.727641072727272
45,"[8, 7, 3]",two-tone,10,7,5,5.673921927272728,"[8, 7, 3]",two-tone,5.673921927272728
