,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 8]",two-tone,1,1,1,5.402793531818183,"[9, 9, 8]",two-tone,5.402793531818183
1,"[9, 9, 7]",two-tone,16,11,8,5.6667006272727285,"[9, 9, 7]",two-tone,5.6667006272727285
2,"[9, 9, 6]",two-tone,8,6,4,6.18622998176292,"[9, 9, 6]",two-tone,6.18622998176292
3,"[9, 9, 5]",two-tone,1,1,1,6.190341386018237,"[9, 9, 5]",two-tone,6.190341386018237
4,"[9, 9, 4]",two-tone,4,3,2,6.185008279635259,"[9, 9, 4]",two-tone,6.185008279635259
5,"[9, 9, 3]",two-tone,1,1,1,6.180336449848025,"[9, 9, 3]",two-tone,6.180336449848025
6,"[9, 9, 2]",two-tone,10,7,5,6.180876194528876,"[9, 9, 2]",two-tone,6.180876194528876
7,"[9, 8, 8]",two-tone,10,7,5,5.380572906818184,"[9, 8, 8]",two-tone,5.380572906818184
8,"[9, 8, 7]",two-tone,10,7,5,4.176349097560977,"[9, 8, 7]",two-tone,4.176349097560977
9,"[9, 8, 6]",two-tone,15,10,7,5.354576481818183,"[9, 8, 6]",two-tone,5.354576481818183
10,"[9, 8, 5]",two-tone,4,3,2,5.410472850000001,"[9, 8, 5]",two-tone,5.410472850000001
11,"[9, 8, 4]",two-tone,2,2,2,5.384302029545456,"[9, 8, 4]",two-tone,5.384302029545456
12,"[9, 8, 3]",two-tone,2,2,2,5.380066329545456,"[9, 8, 3]",two-tone,5.380066329545456
13,"[9, 8, 2]",two-tone,1,1,1,5.384663038636365,"[9, 8, 2]",two-tone,5.384663038636365
14,"[9, 7, 7]",two-tone,15,10,7,5.636451320454547,"[9, 7, 7]",two-tone,5.636451320454547
15,"[9, 7, 6]",two-tone,10,7,5,5.612242950000002,"[9, 7, 6]",two-tone,5.612242950000002
16,"[9, 7, 5]",two-tone,1,1,1,5.660817190909093,"[9, 7, 5]",two-tone,5.660817190909093
17,"[9, 7, 4]",two-tone,16,11,8,5.639188575000002,"[9, 7, 4]",two-tone,5.639188575000002
18,"[9, 7, 3]",two-tone,2,2,2,5.639938084090911,"[9, 7, 3]",two-tone,5.639938084090911
19,"[9, 7, 2]",two-tone,10,7,5,5.638890136363638,"[9, 7, 2]",two-tone,5.638890136363638
20,"[9, 6, 6]",two-tone,1,1,1,5.925440298992162,"[9, 6, 6]",two-tone,5.925440298992162
21,"[9, 6, 5]",two-tone,3,2,2,6.060596875139978,"[9, 6, 5]",two-tone,6.060596875139978
22,"[9, 6, 4]",two-tone,4,3,2,6.060377543113103,"[9, 6, 4]",two-tone,6.060377543113103
23,"[9, 6, 3]",two-tone,1,1,1,6.066883075027996,"[9, 6, 3]",two-tone,6.066883075027996
24,"[9, 6, 2]",two-tone,8,6,4,6.059269458006719,"[9, 6, 2]",two-tone,6.059269458006719
25,"[9, 5, 5]",two-tone,8,6,4,5.929907976483763,"[9, 5, 5]",two-tone,5.929907976483763
26,"[9, 5, 4]",two-tone,3,2,2,6.152315347144457,"[9, 5, 4]",two-tone,6.152315347144457
27,"[9, 5, 3]",two-tone,1,1,1,6.151943602463608,"[9, 5, 3]",two-tone,6.151943602463608
28,"[9, 5, 2]",two-tone,15,10,7,6.151589730123181,"[9, 5, 2]",two-tone,6.151589730123181
29,"[9, 4, 4]",two-tone,16,11,8,5.931688061590148,"[9, 4, 4]",two-tone,5.931688061590148
30,"[9, 4, 3]",two-tone,1,1,1,6.148000964165733,"[9, 4, 3]",two-tone,6.148000964165733
31,"[9, 4, 2]",two-tone,1,1,1,6.148247602463607,"[9, 4, 2]",two-tone,6.148247602463607
32,"[9, 3, 3]",two-tone,1,1,1,5.931108997760361,"[9, 3, 3]",two-tone,5.931108997760361
33,"[9, 3, 2]",two-tone,16,11,8,6.151007091825307,"[9, 3, 2]",two-tone,6.151007091825307
34,"[9, 2, 2]",two-tone,8,6,4,5.926662359462488,"[9, 2, 2]",two-tone,5.926662359462488
35,"[8, 8, 7]",two-tone,16,11,8,5.734208727272727,"[8, 8, 7]",two-tone,5.734208727272727
36,"[8, 8, 6]",two-tone,16,11,8,6.26631720638298,"[8, 8, 6]",two-tone,6.26631720638298
37,"[8, 8, 5]",two-tone,4,3,2,6.265370642553193,"[8, 8, 5]",two-tone,6.265370642553193
38,"[8, 8, 4]",two-tone,16,11,8,6.267085806382981,"[8, 8, 4]",two-tone,6.267085806382981
39,"[8, 8, 3]",two-tone,10,7,5,6.270627836170213,"[8, 8, 3]",two-tone,6.270627836170213
40,"[8, 8, 2]",two-tone,1,1,1,6.266515634042554,"[8, 8, 2]",two-tone,6.266515634042554
41,"[8, 7, 7]",two-tone,1,1,1,5.70784905,"[8, 7, 7]",two-tone,5.70784905
42,"[8, 7, 6]",two-tone,3,2,2,5.600261372727274,"[8, 7, 6]",two-tone,5.600261372727274
43,"[8, 7, 5]",two-tone,3,2,2,5.7014394681818175,"[8, 7, 5]",two-tone,5.7014394681818175
44,"[8, 7, 4]",two-tone,2,2,2,5.7244106045454535,"[8, 7, 4]",two-tone,5.7244106045454535
45,"[8, 7, 3]",two-tone,2,2,2,5.677565045454545,"[8, 7, 3]",two-tone,5.677565045454545
46,"[8, 7, 2]",two-tone,16,11,8,5.670075968181819,"[8, 7, 2]",two-tone,5.670075968181819
47,"[8, 6, 6]",two-tone,8,6,4,6.020639948936172,"[8, 6, 6]",two-tone,6.020639948936172
48,"[8, 6, 5]",two-tone,1,1,1,6.1193591617021275,"[8, 6, 5]",two-tone,6.1193591617021275
49,"[8, 6, 4]",two-tone,16,11,8,6.167028580851065,"[8, 6, 4]",two-tone,6.167028580851065
50,"[8, 6, 3]",two-tone,2,2,2,6.137571523404256,"[8, 6, 3]",two-tone,6.137571523404256
51,"[8, 6, 2]",two-tone,16,11,8,6.1434843191489374,"[8, 6, 2]",two-tone,6.1434843191489374
52,"[8, 5, 5]",two-tone,15,10,7,6.014240176595745,"[8, 5, 5]",two-tone,6.014240176595745
53,"[8, 5, 4]",two-tone,15,10,7,6.280960238297873,"[8, 5, 4]",two-tone,6.280960238297873
54,"[8, 5, 3]",two-tone,3,2,2,6.262366972340428,"[8, 5, 3]",two-tone,6.262366972340428
55,"[8, 5, 2]",two-tone,3,2,2,6.257412268085107,"[8, 5, 2]",two-tone,6.257412268085107
56,"[8, 4, 4]",two-tone,1,1,1,6.021448002127662,"[8, 4, 4]",two-tone,6.021448002127662
57,"[8, 4, 3]",two-tone,2,2,2,6.25565680212766,"[8, 4, 3]",two-tone,6.25565680212766
58,"[8, 4, 2]",two-tone,16,11,8,6.250810582978723,"[8, 4, 2]",two-tone,6.250810582978723
59,"[8, 3, 3]",two-tone,10,7,5,6.024282287234044,"[8, 3, 3]",two-tone,6.024282287234044
60,"[8, 3, 2]",two-tone,1,1,1,6.248823178723403,"[8, 3, 2]",two-tone,6.248823178723403
61,"[8, 2, 2]",two-tone,10,7,5,6.018908878723406,"[8, 2, 2]",two-tone,6.018908878723406
62,"[7, 7, 6]",two-tone,16,11,8,6.293282655319152,"[7, 7, 6]",two-tone,6.293282655319152
63,"[7, 7, 5]",two-tone,1,1,1,6.296154338297875,"[7, 7, 5]",two-tone,6.296154338297875
64,"[7, 7, 4]",two-tone,16,11,8,6.2932222914893625,"[7, 7, 4]",two-tone,6.2932222914893625
65,"[7, 7, 3]",two-tone,15,10,7,6.300062036170213,"[7, 7, 3]",two-tone,6.300062036170213
66,"[7, 7, 2]",two-tone,16,11,8,6.304431510638299,"[7, 7, 2]",two-tone,6.304431510638299
67,"[7, 6, 6]",two-tone,2,2,2,6.056828151063831,"[7, 6, 6]",two-tone,6.056828151063831
68,"[7, 6, 5]",two-tone,8,6,4,6.122616772340428,"[7, 6, 5]",two-tone,6.122616772340428
69,"[7, 6, 4]",two-tone,3,2,2,6.216366714893619,"[7, 6, 4]",two-tone,6.216366714893619
70,"[7, 6, 3]",two-tone,3,2,2,6.242174061702127,"[7, 6, 3]",two-tone,6.242174061702127
71,"[7, 6, 2]",two-tone,8,6,4,6.1732340106383,"[7, 6, 2]",two-tone,6.1732340106383
72,"[7, 5, 5]",two-tone,8,6,4,6.053667293617022,"[7, 5, 5]",two-tone,6.053667293617022
73,"[7, 5, 4]",two-tone,16,11,8,6.360228600000003,"[7, 5, 4]",two-tone,6.360228600000003
74,"[7, 5, 3]",two-tone,10,7,5,6.391086089361704,"[7, 5, 3]",two-tone,6.391086089361704
75,"[7, 5, 2]",two-tone,15,10,7,6.325761746808512,"[7, 5, 2]",two-tone,6.325761746808512
76,"[7, 4, 4]",two-tone,1,1,1,6.05786671276596,"[7, 4, 4]",two-tone,6.05786671276596
77,"[7, 4, 3]",two-tone,16,11,8,6.379912771276598,"[7, 4, 3]",two-tone,6.379912771276598
78,"[7, 4, 2]",two-tone,8,6,4,6.322833542553194,"[7, 4, 2]",two-tone,6.322833542553194
79,"[7, 3, 3]",two-tone,4,3,2,6.0628675276595745,"[7, 3, 3]",two-tone,6.0628675276595745
80,"[7, 3, 2]",two-tone,1,1,1,6.322026829787236,"[7, 3, 2]",two-tone,6.322026829787236
81,"[7, 2, 2]",two-tone,2,2,2,6.0592881000000025,"[7, 2, 2]",two-tone,6.0592881000000025
82,"[6, 6, 5]",two-tone,10,7,5,6.420780540000003,"[6, 6, 5]",two-tone,6.420780540000003
83,"[6, 6, 4]",two-tone,16,11,8,6.418972440000003,"[6, 6, 4]",two-tone,6.418972440000003
84,"[6, 6, 3]",two-tone,10,7,5,6.428563560000002,"[6, 6, 3]",two-tone,6.428563560000002
85,"[6, 6, 2]",two-tone,2,2,2,6.424312740000002,"[6, 6, 2]",two-tone,6.424312740000002
86,"[6, 5, 5]",two-tone,16,11,8,6.421374420000002,"[6, 5, 5]",two-tone,6.421374420000002
87,"[6, 5, 4]",two-tone,2,2,2,6.477702720000003,"[6, 5, 4]",two-tone,6.477702720000003
88,"[6, 5, 3]",two-tone,10,7,5,6.569140500000002,"[6, 5, 3]",two-tone,6.569140500000002
89,"[6, 5, 2]",two-tone,15,10,7,6.5734360500000015,"[6, 5, 2]",two-tone,6.5734360500000015
90,"[6, 4, 4]",two-tone,16,11,8,6.425770980000002,"[6, 4, 4]",two-tone,6.425770980000002
91,"[6, 4, 3]",two-tone,3,2,2,6.568756620000002,"[6, 4, 3]",two-tone,6.568756620000002
92,"[6, 4, 2]",two-tone,2,2,2,6.573864870000001,"[6, 4, 2]",two-tone,6.573864870000001
93,"[6, 3, 3]",two-tone,8,6,4,6.426533280000003,"[6, 3, 3]",two-tone,6.426533280000003
94,"[6, 3, 2]",two-tone,1,1,1,6.575465490000001,"[6, 3, 2]",two-tone,6.575465490000001
95,"[6, 2, 2]",two-tone,1,1,1,6.423576060000002,"[6, 2, 2]",two-tone,6.423576060000002
96,"[5, 5, 4]",two-tone,16,11,8,6.5714891400000015,"[5, 5, 4]",two-tone,6.5714891400000015
97,"[5, 5, 3]",two-tone,10,7,5,6.5778878400000025,"[5, 5, 3]",two-tone,6.5778878400000025
98,"[5, 5, 2]",two-tone,4,3,2,6.577763520000002,"[5, 5, 2]",two-tone,6.577763520000002
99,"[5, 4, 4]",two-tone,15,10,7,6.571663860000001,"[5, 4, 4]",two-tone,6.571663860000001
100,"[5, 4, 3]",two-tone,10,7,5,7.800953670000002,"[5, 4, 3]",two-tone,7.800953670000002
101,"[5, 4, 2]",two-tone,1,1,1,7.818684390000001,"[5, 4, 2]",two-tone,7.818684390000001
102,"[5, 3, 3]",two-tone,2,2,2,6.576100740000002,"[5, 3, 3]",two-tone,6.576100740000002
103,"[5, 3, 2]",two-tone,8,6,4,7.817320860000002,"[5, 3, 2]",two-tone,7.817320860000002
104,"[5, 2, 2]",two-tone,1,1,1,6.574668540000002,"[5, 2, 2]",two-tone,6.574668540000002
105,"[4, 4, 3]",two-tone,10,7,5,6.573327060000002,"[4, 4, 3]",two-tone,6.573327060000002
106,"[4, 4, 2]",two-tone,1,1,1,6.581300760000002,"[4, 4, 2]",two-tone,6.581300760000002
107,"[4, 3, 3]",two-tone,2,2,2,6.572431200000002,"[4, 3, 3]",two-tone,6.572431200000002
108,"[4, 3, 2]",two-tone,2,2,2,7.8128497500000025,"[4, 3, 2]",two-tone,7.8128497500000025
109,"[4, 2, 2]",two-tone,8,6,4,6.582488100000003,"[4, 2, 2]",two-tone,6.582488100000003
110,"[3, 3, 2]",two-tone,15,10,7,6.585401640000002,"[3, 3, 2]",two-tone,6.585401640000002
111,"[3, 2, 2]",two-tone,1,1,1,6.577625340000003,"[3, 2, 2]",two-tone,6.577625340000003
112,"[14, 9, 9]",two-tone,10,7,5,5.639875506976748,"[14, 9, 9]",two-tone,5.639875506976748
113,"[14, 9, 8]",two-tone,15,10,7,3.54304531395349,"[14, 9, 8]",two-tone,3.54304531395349
114,"[14, 9, 7]",two-tone,16,11,8,3.9200736029900334,"[14, 9, 7]",two-tone,3.9200736029900334
115,"[14, 9, 6]",two-tone,1,1,1,5.482274874418605,"[14, 9, 6]",two-tone,5.482274874418605
116,"[14, 9, 5]",two-tone,2,2,2,5.503341767441863,"[14, 9, 5]",two-tone,5.503341767441863
117,"[14, 9, 4]",two-tone,15,10,7,5.507711581395349,"[14, 9, 4]",two-tone,5.507711581395349
