,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 8]",two-tone,1,1,1,3.5584955705249426,"[9, 9, 8]",two-tone,3.5584955705249426
1,"[9, 9, 7]",two-tone,4,3,2,4.948239966553856,"[9, 9, 7]",two-tone,4.948239966553856
2,"[9, 9, 6]",two-tone,1,1,1,0.6582773605882324,"[9, 9, 6]",two-tone,0.6582773605882324
3,"[9, 9, 5]",two-tone,1,1,1,2.2509993011766567,"[9, 9, 5]",two-tone,2.2509993011766567
4,"[9, 9, 4]",two-tone,2,2,2,2.2809755853139477,"[9, 9, 4]",two-tone,2.2809755853139477
5,"[9, 9, 3]",two-tone,8,6,4,2.2813144881200698,"[9, 9, 3]",two-tone,2.2813144881200698
6,"[9, 9, 2]",two-tone,1,1,1,2.2818497924104233,"[9, 9, 2]",two-tone,2.2818497924104233
7,"[9, 8, 8]",two-tone,2,2,2,5.2411244660407315,"[9, 8, 8]",two-tone,5.2411244660407315
8,"[9, 8, 7]",two-tone,1,1,1,-1.1460405469020258,"[9, 8, 7]",two-tone,-1.1460405469020258
9,"[9, 8, 6]",two-tone,2,2,2,4.475788406790406,"[9, 8, 6]",two-tone,4.475788406790406
10,"[9, 8, 5]",two-tone,8,6,4,6.2046948706640705,"[9, 8, 5]",two-tone,6.2046948706640705
11,"[9, 8, 4]",two-tone,2,2,2,6.538834173148757,"[9, 8, 4]",two-tone,6.538834173148757
12,"[9, 8, 3]",two-tone,8,6,4,6.522561860982482,"[9, 8, 3]",two-tone,6.522561860982482
13,"[9, 8, 2]",two-tone,8,6,4,6.537592397223699,"[9, 8, 2]",two-tone,6.537592397223699
14,"[9, 7, 7]",two-tone,1,1,1,5.126156633745655,"[9, 7, 7]",two-tone,5.126156633745655
15,"[9, 7, 6]",two-tone,2,2,2,4.14676408557942,"[9, 7, 6]",two-tone,4.14676408557942
16,"[9, 7, 5]",two-tone,2,2,2,6.1028404838982855,"[9, 7, 5]",two-tone,6.1028404838982855
17,"[9, 7, 4]",two-tone,4,3,2,6.36209559730446,"[9, 7, 4]",two-tone,6.36209559730446
18,"[9, 7, 3]",two-tone,2,2,2,6.362485349822025,"[9, 7, 3]",two-tone,6.362485349822025
19,"[9, 7, 2]",two-tone,4,3,2,6.3676920706651154,"[9, 7, 2]",two-tone,6.3676920706651154
20,"[9, 6, 6]",two-tone,1,1,1,3.5491231806478987,"[9, 6, 6]",two-tone,3.5491231806478987
21,"[9, 6, 5]",two-tone,2,2,2,4.0535558765533946,"[9, 6, 5]",two-tone,4.0535558765533946
22,"[9, 6, 4]",two-tone,1,1,1,4.304145630663385,"[9, 6, 4]",two-tone,4.304145630663385
23,"[9, 6, 3]",two-tone,1,1,1,4.298238821002965,"[9, 6, 3]",two-tone,4.298238821002965
24,"[9, 6, 2]",two-tone,8,6,4,4.311890539035751,"[9, 6, 2]",two-tone,4.311890539035751
25,"[9, 5, 5]",two-tone,1,1,1,4.486214555181063,"[9, 5, 5]",two-tone,4.486214555181063
26,"[9, 5, 4]",two-tone,2,2,2,6.435877100810537,"[9, 5, 4]",two-tone,6.435877100810537
27,"[9, 5, 3]",two-tone,2,2,2,6.441414709125271,"[9, 5, 3]",two-tone,6.441414709125271
