,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 8]",two-tone,15,10,7,3.081059445877062,"[9, 9, 8]",two-tone,3.081059445877062
1,"[9, 9, 7]",two-tone,15,10,7,2.614037215461294,"[9, 9, 7]",two-tone,2.614037215461294
2,"[9, 9, 6]",two-tone,16,11,8,2.0144415932633253,"[9, 9, 6]",two-tone,2.0144415932633253
3,"[9, 9, 5]",two-tone,15,10,7,2.026538239810707,"[9, 9, 5]",two-tone,2.026538239810707
4,"[9, 9, 4]",two-tone,15,10,7,2.08984060122449,"[9, 9, 4]",two-tone,2.08984060122449
5,"[9, 9, 3]",two-tone,15,10,7,2.0879679697959186,"[9, 9, 3]",two-tone,2.0879679697959186
6,"[9, 9, 2]",two-tone,15,10,7,2.090582418367347,"[9, 9, 2]",two-tone,2.090582418367347
7,"[9, 8, 8]",two-tone,15,10,7,3.2592290462098803,"[9, 8, 8]",two-tone,3.2592290462098803
8,"[9, 8, 7]",two-tone,4,3,2,3.4540417899427727,"[9, 8, 7]",two-tone,3.4540417899427727
9,"[9, 8, 6]",two-tone,16,11,8,2.9255275855978264,"[9, 8, 6]",two-tone,2.9255275855978264
10,"[9, 8, 5]",two-tone,16,11,8,2.7963220828776327,"[9, 8, 5]",two-tone,2.7963220828776327
11,"[9, 8, 4]",two-tone,16,11,8,2.775535894599184,"[9, 8, 4]",two-tone,2.775535894599184
12,"[9, 8, 3]",two-tone,15,10,7,2.77396002877038,"[9, 8, 3]",two-tone,2.77396002877038
13,"[9, 8, 2]",two-tone,15,10,7,2.7755553579483694,"[9, 8, 2]",two-tone,2.7755553579483694
14,"[9, 7, 7]",two-tone,15,10,7,2.7352306187643034,"[9, 7, 7]",two-tone,2.7352306187643034
15,"[9, 7, 6]",two-tone,15,10,7,2.829503435326087,"[9, 7, 6]",two-tone,2.829503435326087
16,"[9, 7, 5]",two-tone,16,11,8,2.7585882665217385,"[9, 7, 5]",two-tone,2.7585882665217385
17,"[9, 7, 4]",two-tone,16,11,8,2.6852796230978258,"[9, 7, 4]",two-tone,2.6852796230978258
18,"[9, 7, 3]",two-tone,15,10,7,2.6843430702445645,"[9, 7, 3]",two-tone,2.6843430702445645
19,"[9, 7, 2]",two-tone,16,11,8,2.6872781063858695,"[9, 7, 2]",two-tone,2.6872781063858695
20,"[9, 6, 6]",two-tone,16,11,8,2.316502878018708,"[9, 6, 6]",two-tone,2.316502878018708
21,"[9, 6, 5]",two-tone,15,10,7,2.276632444081633,"[9, 6, 5]",two-tone,2.276632444081633
22,"[9, 6, 4]",two-tone,15,10,7,2.2954588221634764,"[9, 6, 4]",two-tone,2.2954588221634764
23,"[9, 6, 3]",two-tone,16,11,8,2.2953854024743574,"[9, 6, 3]",two-tone,2.2953854024743574
24,"[9, 6, 2]",two-tone,16,11,8,2.2965352856719887,"[9, 6, 2]",two-tone,2.2965352856719887
25,"[9, 5, 5]",two-tone,15,10,7,2.343470489248896,"[9, 5, 5]",two-tone,2.343470489248896
26,"[9, 5, 4]",two-tone,16,11,8,2.296595568440984,"[9, 5, 4]",two-tone,2.296595568440984
27,"[9, 5, 3]",two-tone,16,11,8,2.298286874184725,"[9, 5, 3]",two-tone,2.298286874184725
28,"[9, 5, 2]",two-tone,15,10,7,2.309556579928466,"[9, 5, 2]",two-tone,2.309556579928466
29,"[9, 4, 4]",two-tone,15,10,7,2.396482741199627,"[9, 4, 4]",two-tone,2.396482741199627
30,"[9, 4, 3]",two-tone,15,10,7,2.3505695208536217,"[9, 4, 3]",two-tone,2.3505695208536217
31,"[9, 4, 2]",two-tone,15,10,7,2.3673539839428166,"[9, 4, 2]",two-tone,2.3673539839428166
32,"[9, 3, 3]",two-tone,15,10,7,2.3944952250284883,"[9, 3, 3]",two-tone,2.3944952250284883
33,"[9, 3, 2]",two-tone,15,10,7,2.3666651215787846,"[9, 3, 2]",two-tone,2.3666651215787846
34,"[9, 2, 2]",two-tone,16,11,8,2.3962393932663417,"[9, 2, 2]",two-tone,2.3962393932663417
35,"[8, 8, 7]",two-tone,16,11,8,3.1134186996521738,"[8, 8, 7]",two-tone,3.1134186996521738
36,"[8, 8, 6]",two-tone,16,11,8,2.677406030451392,"[8, 8, 6]",two-tone,2.677406030451392
37,"[8, 8, 5]",two-tone,16,11,8,2.681589778061225,"[8, 8, 5]",two-tone,2.681589778061225
38,"[8, 8, 4]",two-tone,16,11,8,2.722314866814552,"[8, 8, 4]",two-tone,2.722314866814552
39,"[8, 8, 3]",two-tone,16,11,8,2.7301675081632664,"[8, 8, 3]",two-tone,2.7301675081632664
40,"[8, 8, 2]",two-tone,16,11,8,2.7320365955634434,"[8, 8, 2]",two-tone,2.7320365955634434
41,"[8, 7, 7]",two-tone,16,11,8,3.192663231734649,"[8, 7, 7]",two-tone,3.192663231734649
42,"[8, 7, 6]",two-tone,16,11,8,3.1545671227862497,"[8, 7, 6]",two-tone,3.1545671227862497
43,"[8, 7, 5]",two-tone,16,11,8,3.107055877728482,"[8, 7, 5]",two-tone,3.107055877728482
44,"[8, 7, 4]",two-tone,16,11,8,3.1834622949565214,"[8, 7, 4]",two-tone,3.1834622949565214
45,"[8, 7, 3]",two-tone,16,11,8,3.167092637681159,"[8, 7, 3]",two-tone,3.167092637681159
46,"[8, 7, 2]",two-tone,16,11,8,3.1659397391304336,"[8, 7, 2]",two-tone,3.1659397391304336
47,"[8, 6, 6]",two-tone,16,11,8,2.8206077918367347,"[8, 6, 6]",two-tone,2.8206077918367347
48,"[8, 6, 5]",two-tone,16,11,8,2.7711766358748564,"[8, 6, 5]",two-tone,2.7711766358748564
49,"[8, 6, 4]",two-tone,16,11,8,2.8342679663925265,"[8, 6, 4]",two-tone,2.8342679663925265
50,"[8, 6, 3]",two-tone,16,11,8,2.8024621477821734,"[8, 6, 3]",two-tone,2.8024621477821734
51,"[8, 6, 2]",two-tone,16,11,8,2.8030155402124115,"[8, 6, 2]",two-tone,2.8030155402124115
52,"[8, 5, 5]",two-tone,16,11,8,2.832207139272765,"[8, 5, 5]",two-tone,2.832207139272765
53,"[8, 5, 4]",two-tone,16,11,8,2.758759343466341,"[8, 5, 4]",two-tone,2.758759343466341
54,"[8, 5, 3]",two-tone,16,11,8,2.813764748057598,"[8, 5, 3]",two-tone,2.813764748057598
55,"[8, 5, 2]",two-tone,16,11,8,2.8130729972236606,"[8, 5, 2]",two-tone,2.8130729972236606
56,"[8, 4, 4]",two-tone,16,11,8,2.8569241341836733,"[8, 4, 4]",two-tone,2.8569241341836733
57,"[8, 4, 3]",two-tone,16,11,8,2.8468051902040807,"[8, 4, 3]",two-tone,2.8468051902040807
58,"[8, 4, 2]",two-tone,16,11,8,2.846944758204081,"[8, 4, 2]",two-tone,2.846944758204081
59,"[8, 3, 3]",two-tone,16,11,8,2.868797146938776,"[8, 3, 3]",two-tone,2.868797146938776
60,"[8, 3, 2]",two-tone,16,11,8,2.856122474857143,"[8, 3, 2]",two-tone,2.856122474857143
61,"[8, 2, 2]",two-tone,16,11,8,2.8670971979591844,"[8, 2, 2]",two-tone,2.8670971979591844
62,"[7, 7, 6]",two-tone,16,11,8,3.15597608894304,"[7, 7, 6]",two-tone,3.15597608894304
