,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 8]",two-tone,4,3,2,5.583744376675955,"[9, 9, 8]",two-tone,5.583744376675955
1,"[9, 9, 7]",two-tone,1,1,1,5.865919811484924,"[9, 9, 7]",two-tone,5.865919811484924
2,"[9, 9, 6]",two-tone,2,2,2,2.447303470112959,"[9, 9, 6]",two-tone,2.447303470112959
3,"[9, 9, 5]",two-tone,8,6,4,3.7575657831679337,"[9, 9, 5]",two-tone,3.7575657831679337
4,"[9, 9, 4]",two-tone,1,1,1,3.7924425884516064,"[9, 9, 4]",two-tone,3.7924425884516064
5,"[9, 9, 3]",two-tone,4,3,2,3.796979972559309,"[9, 9, 3]",two-tone,3.796979972559309
6,"[9, 9, 2]",two-tone,1,1,1,3.79661079115117,"[9, 9, 2]",two-tone,3.79661079115117
7,"[9, 8, 8]",two-tone,1,1,1,6.747963098832343,"[9, 8, 8]",two-tone,6.747963098832343
8,"[9, 8, 7]",two-tone,1,1,1,2.3539450109676974,"[9, 8, 7]",two-tone,2.3539450109676974
9,"[9, 8, 6]",two-tone,2,2,2,6.4273306011849165,"[9, 8, 6]",two-tone,6.4273306011849165
10,"[9, 8, 5]",two-tone,8,6,4,7.66458426931643,"[9, 8, 5]",two-tone,7.66458426931643
11,"[9, 8, 4]",two-tone,4,3,2,8.018647110080295,"[9, 8, 4]",two-tone,8.018647110080295
12,"[9, 8, 3]",two-tone,3,2,2,8.045921907172247,"[9, 8, 3]",two-tone,8.045921907172247
13,"[9, 8, 2]",two-tone,2,2,2,8.029412879213627,"[9, 8, 2]",two-tone,8.029412879213627
14,"[9, 7, 7]",two-tone,1,1,1,6.022852002949982,"[9, 7, 7]",two-tone,6.022852002949982
15,"[9, 7, 6]",two-tone,2,2,2,7.171222503078566,"[9, 7, 6]",two-tone,7.171222503078566
16,"[9, 7, 5]",two-tone,8,6,4,6.702881235846914,"[9, 7, 5]",two-tone,6.702881235846914
17,"[9, 7, 4]",two-tone,3,2,2,7.029548062154863,"[9, 7, 4]",two-tone,7.029548062154863
18,"[9, 7, 3]",two-tone,8,6,4,7.026649788787048,"[9, 7, 3]",two-tone,7.026649788787048
19,"[9, 7, 2]",two-tone,8,6,4,7.043484716488197,"[9, 7, 2]",two-tone,7.043484716488197
20,"[9, 6, 6]",two-tone,1,1,1,4.602104558467132,"[9, 6, 6]",two-tone,4.602104558467132
21,"[9, 6, 5]",two-tone,2,2,2,4.787608341070336,"[9, 6, 5]",two-tone,4.787608341070336
22,"[9, 6, 4]",two-tone,2,2,2,5.098881662755486,"[9, 6, 4]",two-tone,5.098881662755486
23,"[9, 6, 3]",two-tone,1,1,1,5.0945067355485865,"[9, 6, 3]",two-tone,5.0945067355485865
24,"[9, 6, 2]",two-tone,1,1,1,5.1108553824566325,"[9, 6, 2]",two-tone,5.1108553824566325
25,"[9, 5, 5]",two-tone,8,6,4,5.4865393621405625,"[9, 5, 5]",two-tone,5.4865393621405625
26,"[9, 5, 4]",two-tone,1,1,1,6.939702814257347,"[9, 5, 4]",two-tone,6.939702814257347
27,"[9, 5, 3]",two-tone,4,3,2,6.954389660422244,"[9, 5, 3]",two-tone,6.954389660422244
