,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 8]",two-tone,1,1,1,3.63708947351833,"[9, 9, 8]",two-tone,3.63708947351833
1,"[9, 9, 7]",two-tone,1,1,1,3.6380764699315824,"[9, 9, 7]",two-tone,3.6380764699315824
2,"[9, 9, 6]",two-tone,2,2,2,0.4876115324796628,"[9, 9, 6]",two-tone,0.4876115324796628
3,"[9, 9, 5]",two-tone,2,2,2,1.5978215160758322,"[9, 9, 5]",two-tone,1.5978215160758322
4,"[9, 9, 4]",two-tone,2,2,2,1.618674341655175,"[9, 9, 4]",two-tone,1.618674341655175
5,"[9, 9, 3]",two-tone,2,2,2,1.6175211026302143,"[9, 9, 3]",two-tone,1.6175211026302143
6,"[9, 9, 2]",two-tone,3,2,2,1.6280791995600026,"[9, 9, 2]",two-tone,1.6280791995600026
7,"[9, 8, 8]",two-tone,1,1,1,4.472158273808949,"[9, 8, 8]",two-tone,4.472158273808949
8,"[9, 8, 7]",two-tone,1,1,1,3.683044237024693,"[9, 8, 7]",two-tone,3.683044237024693
9,"[9, 8, 6]",two-tone,1,1,1,4.184177309320996,"[9, 8, 6]",two-tone,4.184177309320996
10,"[9, 8, 5]",two-tone,1,1,1,5.2732767719668265,"[9, 8, 5]",two-tone,5.2732767719668265
11,"[9, 8, 4]",two-tone,1,1,1,5.511592039647819,"[9, 8, 4]",two-tone,5.511592039647819
12,"[9, 8, 3]",two-tone,1,1,1,5.504172677334484,"[9, 8, 3]",two-tone,5.504172677334484
13,"[9, 8, 2]",two-tone,1,1,1,5.533196003201151,"[9, 8, 2]",two-tone,5.533196003201151
14,"[9, 7, 7]",two-tone,2,2,2,3.717601014091288,"[9, 7, 7]",two-tone,3.717601014091288
15,"[9, 7, 6]",two-tone,2,2,2,4.566336457904045,"[9, 7, 6]",two-tone,4.566336457904045
16,"[9, 7, 5]",two-tone,2,2,2,4.321270893283174,"[9, 7, 5]",two-tone,4.321270893283174
17,"[9, 7, 4]",two-tone,1,1,1,4.5335957437221115,"[9, 7, 4]",two-tone,4.5335957437221115
18,"[9, 7, 3]",two-tone,1,1,1,4.527557979455444,"[9, 7, 3]",two-tone,4.527557979455444
19,"[9, 7, 2]",two-tone,1,1,1,4.5392581762887785,"[9, 7, 2]",two-tone,4.5392581762887785
20,"[9, 6, 6]",two-tone,1,1,1,2.2841148660700625,"[9, 6, 6]",two-tone,2.2841148660700625
21,"[9, 6, 5]",two-tone,2,2,2,2.571994935446323,"[9, 6, 5]",two-tone,2.571994935446323
22,"[9, 6, 4]",two-tone,3,2,2,2.7703122000560745,"[9, 6, 4]",two-tone,2.7703122000560745
