,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 8]",two-tone,16,11,8,2.684126774246661,"[9, 9, 8]",two-tone,2.684126774246661
1,"[9, 9, 7]",two-tone,15,10,7,2.5052010347342644,"[9, 9, 7]",two-tone,2.5052010347342644
2,"[9, 9, 6]",two-tone,16,11,8,2.385612380350353,"[9, 9, 6]",two-tone,2.385612380350353
3,"[9, 9, 5]",two-tone,16,11,8,2.237596382414596,"[9, 9, 5]",two-tone,2.237596382414596
4,"[9, 9, 4]",two-tone,16,11,8,2.115795553685692,"[9, 9, 4]",two-tone,2.115795553685692
5,"[9, 9, 3]",two-tone,16,11,8,1.9306172068352283,"[9, 9, 3]",two-tone,1.9306172068352283
6,"[9, 9, 2]",two-tone,16,11,8,1.7636462180806165,"[9, 9, 2]",two-tone,1.7636462180806165
7,"[9, 8, 8]",two-tone,15,10,7,2.8495817356820137,"[9, 8, 8]",two-tone,2.8495817356820137
8,"[9, 8, 7]",two-tone,16,11,8,2.980385886942264,"[9, 8, 7]",two-tone,2.980385886942264
9,"[9, 8, 6]",two-tone,16,11,8,2.827520293848648,"[9, 8, 6]",two-tone,2.827520293848648
10,"[9, 8, 5]",two-tone,16,11,8,2.6037046647826076,"[9, 8, 5]",two-tone,2.6037046647826076
11,"[9, 8, 4]",two-tone,16,11,8,2.257807921722487,"[9, 8, 4]",two-tone,2.257807921722487
12,"[9, 8, 3]",two-tone,15,10,7,2.0725555149282293,"[9, 8, 3]",two-tone,2.0725555149282293
13,"[9, 8, 2]",two-tone,16,11,8,1.899710605402888,"[9, 8, 2]",two-tone,1.899710605402888
14,"[9, 7, 7]",two-tone,15,10,7,2.6355224762346565,"[9, 7, 7]",two-tone,2.6355224762346565
15,"[9, 7, 6]",two-tone,16,11,8,2.817691384339285,"[9, 7, 6]",two-tone,2.817691384339285
16,"[9, 7, 5]",two-tone,15,10,7,2.6308763479799917,"[9, 7, 5]",two-tone,2.6308763479799917
17,"[9, 7, 4]",two-tone,16,11,8,2.207976495495496,"[9, 7, 4]",two-tone,2.207976495495496
18,"[9, 7, 3]",two-tone,15,10,7,2.0309172027027027,"[9, 7, 3]",two-tone,2.0309172027027027
19,"[9, 7, 2]",two-tone,16,11,8,1.8825014640350881,"[9, 7, 2]",two-tone,1.8825014640350881
20,"[9, 6, 6]",two-tone,16,11,8,2.509569802664797,"[9, 6, 6]",two-tone,2.509569802664797
21,"[9, 6, 5]",two-tone,16,11,8,2.5309342758979696,"[9, 6, 5]",two-tone,2.5309342758979696
22,"[9, 6, 4]",two-tone,16,11,8,2.3207764370535715,"[9, 6, 4]",two-tone,2.3207764370535715
23,"[9, 6, 3]",two-tone,16,11,8,2.1469445544642856,"[9, 6, 3]",two-tone,2.1469445544642856
24,"[9, 6, 2]",two-tone,16,11,8,1.9808169104347824,"[9, 6, 2]",two-tone,1.9808169104347824
25,"[9, 5, 5]",two-tone,16,11,8,2.3972683578226084,"[9, 5, 5]",two-tone,2.3972683578226084
26,"[9, 5, 4]",two-tone,16,11,8,2.331087091913882,"[9, 5, 4]",two-tone,2.331087091913882
27,"[9, 5, 3]",two-tone,16,11,8,2.165687550239415,"[9, 5, 3]",two-tone,2.165687550239415
28,"[9, 5, 2]",two-tone,16,11,8,2.0167424034169,"[9, 5, 2]",two-tone,2.0167424034169
29,"[9, 4, 4]",two-tone,16,11,8,2.3238281301449275,"[9, 4, 4]",two-tone,2.3238281301449275
30,"[9, 4, 3]",two-tone,16,11,8,2.211750748230422,"[9, 4, 3]",two-tone,2.211750748230422
31,"[9, 4, 2]",two-tone,16,11,8,2.090925104148769,"[9, 4, 2]",two-tone,2.090925104148769
32,"[9, 3, 3]",two-tone,16,11,8,2.167062240483092,"[9, 3, 3]",two-tone,2.167062240483092
33,"[9, 3, 2]",two-tone,16,11,8,2.09927148515977,"[9, 3, 2]",two-tone,2.09927148515977
34,"[9, 2, 2]",two-tone,16,11,8,2.018814830037665,"[9, 2, 2]",two-tone,2.018814830037665
35,"[8, 8, 7]",two-tone,16,11,8,2.7380136903712766,"[8, 8, 7]",two-tone,2.7380136903712766
36,"[8, 8, 6]",two-tone,16,11,8,2.571489740131579,"[8, 8, 6]",two-tone,2.571489740131579
37,"[8, 8, 5]",two-tone,16,11,8,2.3837784394031054,"[8, 8, 5]",two-tone,2.3837784394031054
38,"[8, 8, 4]",two-tone,16,11,8,2.251675705132584,"[8, 8, 4]",two-tone,2.251675705132584
39,"[8, 8, 3]",two-tone,16,11,8,2.1057252643832864,"[8, 8, 3]",two-tone,2.1057252643832864
40,"[8, 8, 2]",two-tone,16,11,8,1.9449765929177276,"[8, 8, 2]",two-tone,1.9449765929177276
41,"[8, 7, 7]",two-tone,16,11,8,2.7648405525776405,"[8, 7, 7]",two-tone,2.7648405525776405
42,"[8, 7, 6]",two-tone,16,11,8,2.885428469416042,"[8, 7, 6]",two-tone,2.885428469416042
43,"[8, 7, 5]",two-tone,16,11,8,2.702168860313406,"[8, 7, 5]",two-tone,2.702168860313406
44,"[8, 7, 4]",two-tone,16,11,8,2.4726721422160236,"[8, 7, 4]",two-tone,2.4726721422160236
45,"[8, 7, 3]",two-tone,16,11,8,2.237874101767857,"[8, 7, 3]",two-tone,2.237874101767857
46,"[8, 7, 2]",two-tone,16,11,8,2.071192751048696,"[8, 7, 2]",two-tone,2.071192751048696
47,"[8, 6, 6]",two-tone,16,11,8,2.5538420171039977,"[8, 6, 6]",two-tone,2.5538420171039977
48,"[8, 6, 5]",two-tone,16,11,8,2.7081439076260305,"[8, 6, 5]",two-tone,2.7081439076260305
49,"[8, 6, 4]",two-tone,16,11,8,2.5108407015076746,"[8, 6, 4]",two-tone,2.5108407015076746
50,"[8, 6, 3]",two-tone,16,11,8,2.2209537215433626,"[8, 6, 3]",two-tone,2.2209537215433626
51,"[8, 6, 2]",two-tone,16,11,8,2.063513743951724,"[8, 6, 2]",two-tone,2.063513743951724
52,"[8, 5, 5]",two-tone,16,11,8,2.4287515818965524,"[8, 5, 5]",two-tone,2.4287515818965524
53,"[8, 5, 4]",two-tone,16,11,8,2.4459119806537832,"[8, 5, 4]",two-tone,2.4459119806537832
54,"[8, 5, 3]",two-tone,16,11,8,2.2381637558227268,"[8, 5, 3]",two-tone,2.2381637558227268
55,"[8, 5, 2]",two-tone,16,11,8,2.083429820847644,"[8, 5, 2]",two-tone,2.083429820847644
56,"[8, 4, 4]",two-tone,16,11,8,2.3251418786815417,"[8, 4, 4]",two-tone,2.3251418786815417
57,"[8, 4, 3]",two-tone,16,11,8,2.271267525537294,"[8, 4, 3]",two-tone,2.271267525537294
