,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 8]",two-tone,16,11,8,2.9261594505376203,"[9, 9, 8]",two-tone,2.9261594505376203
1,"[9, 9, 7]",two-tone,16,11,8,3.0413979974860608,"[9, 9, 7]",two-tone,3.0413979974860608
2,"[9, 9, 6]",two-tone,15,10,7,3.2739648101835117,"[9, 9, 6]",two-tone,3.2739648101835117
3,"[9, 9, 5]",two-tone,16,11,8,2.7446546822865856,"[9, 9, 5]",two-tone,2.7446546822865856
4,"[9, 9, 4]",two-tone,15,10,7,2.5742939066396766,"[9, 9, 4]",two-tone,2.5742939066396766
5,"[9, 9, 3]",two-tone,15,10,7,2.6045071879352233,"[9, 9, 3]",two-tone,2.6045071879352233
6,"[9, 9, 2]",two-tone,15,10,7,2.629638870283401,"[9, 9, 2]",two-tone,2.629638870283401
7,"[9, 8, 8]",two-tone,1,1,1,2.2671499679785807,"[9, 8, 8]",two-tone,2.2671499679785807
8,"[9, 8, 7]",two-tone,3,2,2,3.500797658313987,"[9, 8, 7]",two-tone,3.500797658313987
9,"[9, 8, 6]",two-tone,10,7,5,4.3293935229149785,"[9, 8, 6]",two-tone,4.3293935229149785
10,"[9, 8, 5]",two-tone,15,10,7,2.7385000395767194,"[9, 8, 5]",two-tone,2.7385000395767194
11,"[9, 8, 4]",two-tone,16,11,8,2.8302019875843456,"[9, 8, 4]",two-tone,2.8302019875843456
12,"[9, 8, 3]",two-tone,16,11,8,2.8693381095816477,"[9, 8, 3]",two-tone,2.8693381095816477
13,"[9, 8, 2]",two-tone,16,11,8,2.9192680531713906,"[9, 8, 2]",two-tone,2.9192680531713906
14,"[9, 7, 7]",two-tone,3,2,2,2.382299537885566,"[9, 7, 7]",two-tone,2.382299537885566
15,"[9, 7, 6]",two-tone,10,7,5,3.966910921156923,"[9, 7, 6]",two-tone,3.966910921156923
16,"[9, 7, 5]",two-tone,10,7,5,3.1629267121707514,"[9, 7, 5]",two-tone,3.1629267121707514
17,"[9, 7, 4]",two-tone,1,1,1,2.9372235507455087,"[9, 7, 4]",two-tone,2.9372235507455087
18,"[9, 7, 3]",two-tone,2,2,2,2.9639062672242904,"[9, 7, 3]",two-tone,2.9639062672242904
19,"[9, 7, 2]",two-tone,1,1,1,3.1290083635077344,"[9, 7, 2]",two-tone,3.1290083635077344
20,"[9, 6, 6]",two-tone,2,2,2,2.3283441909659417,"[9, 6, 6]",two-tone,2.3283441909659417
21,"[9, 6, 5]",two-tone,15,10,7,2.486117713613445,"[9, 6, 5]",two-tone,2.486117713613445
22,"[9, 6, 4]",two-tone,15,10,7,2.9262167362052685,"[9, 6, 4]",two-tone,2.9262167362052685
23,"[9, 6, 3]",two-tone,1,1,1,2.9512827621585385,"[9, 6, 3]",two-tone,2.9512827621585385
24,"[9, 6, 2]",two-tone,1,1,1,3.0025294984608326,"[9, 6, 2]",two-tone,3.0025294984608326
25,"[9, 5, 5]",two-tone,2,2,2,2.0078588035232654,"[9, 5, 5]",two-tone,2.0078588035232654
26,"[9, 5, 4]",two-tone,2,2,2,2.063732766449077,"[9, 5, 4]",two-tone,2.063732766449077
27,"[9, 5, 3]",two-tone,1,1,1,2.0817878722022725,"[9, 5, 3]",two-tone,2.0817878722022725
28,"[9, 5, 2]",two-tone,15,10,7,2.194305298093933,"[9, 5, 2]",two-tone,2.194305298093933
29,"[9, 4, 4]",two-tone,3,2,2,2.0307008669509585,"[9, 4, 4]",two-tone,2.0307008669509585
30,"[9, 4, 3]",two-tone,4,3,2,2.0970505448585035,"[9, 4, 3]",two-tone,2.0970505448585035
31,"[9, 4, 2]",two-tone,10,7,5,2.129657181133948,"[9, 4, 2]",two-tone,2.129657181133948
32,"[9, 3, 3]",two-tone,1,1,1,2.0381681021890543,"[9, 3, 3]",two-tone,2.0381681021890543
33,"[9, 3, 2]",two-tone,10,7,5,2.1307338452303326,"[9, 3, 2]",two-tone,2.1307338452303326
34,"[9, 2, 2]",two-tone,8,6,4,2.0524048019971564,"[9, 2, 2]",two-tone,2.0524048019971564
35,"[8, 8, 7]",two-tone,1,1,1,2.4340737964918526,"[8, 8, 7]",two-tone,2.4340737964918526
36,"[8, 8, 6]",two-tone,2,2,2,2.2754069576921965,"[8, 8, 6]",two-tone,2.2754069576921965
37,"[8, 8, 5]",two-tone,2,2,2,1.3489179934177689,"[8, 8, 5]",two-tone,1.3489179934177689
38,"[8, 8, 4]",two-tone,1,1,1,1.5197558835482212,"[8, 8, 4]",two-tone,1.5197558835482212
39,"[8, 8, 3]",two-tone,1,1,1,1.1161937480001127,"[8, 8, 3]",two-tone,1.1161937480001127
40,"[8, 8, 2]",two-tone,1,1,1,1.1212137892383445,"[8, 8, 2]",two-tone,1.1212137892383445
41,"[8, 7, 7]",two-tone,1,1,1,2.505024423448324,"[8, 7, 7]",two-tone,2.505024423448324
42,"[8, 7, 6]",two-tone,2,2,2,6.18680380967742,"[8, 7, 6]",two-tone,6.18680380967742
43,"[8, 7, 5]",two-tone,1,1,1,3.0831480564486182,"[8, 7, 5]",two-tone,3.0831480564486182
44,"[8, 7, 4]",two-tone,1,1,1,2.6085738547256194,"[8, 7, 4]",two-tone,2.6085738547256194
45,"[8, 7, 3]",two-tone,1,1,1,3.1876992101961914,"[8, 7, 3]",two-tone,3.1876992101961914
46,"[8, 7, 2]",two-tone,1,1,1,3.2276558338076202,"[8, 7, 2]",two-tone,3.2276558338076202
47,"[8, 6, 6]",two-tone,1,1,1,2.3077586681710143,"[8, 6, 6]",two-tone,2.3077586681710143
48,"[8, 6, 5]",two-tone,1,1,1,3.420078746375216,"[8, 6, 5]",two-tone,3.420078746375216
49,"[8, 6, 4]",two-tone,2,2,2,3.3106967303454464,"[8, 6, 4]",two-tone,3.3106967303454464
50,"[8, 6, 3]",two-tone,1,1,1,3.0554583432096383,"[8, 6, 3]",two-tone,3.0554583432096383
51,"[8, 6, 2]",two-tone,2,2,2,3.088744307666781,"[8, 6, 2]",two-tone,3.088744307666781
52,"[8, 5, 5]",two-tone,2,2,2,1.9561258006644024,"[8, 5, 5]",two-tone,1.9561258006644024
53,"[8, 5, 4]",two-tone,1,1,1,1.7276259348086809,"[8, 5, 4]",two-tone,1.7276259348086809
54,"[8, 5, 3]",two-tone,3,2,2,2.0595607070644064,"[8, 5, 3]",two-tone,2.0595607070644064
55,"[8, 5, 2]",two-tone,2,2,2,2.078421919751722,"[8, 5, 2]",two-tone,2.078421919751722
56,"[8, 4, 4]",two-tone,2,2,2,2.313617414160743,"[8, 4, 4]",two-tone,2.313617414160743
57,"[8, 4, 3]",two-tone,1,1,1,2.291028568951041,"[8, 4, 3]",two-tone,2.291028568951041
58,"[8, 4, 2]",two-tone,2,2,2,2.316583549043207,"[8, 4, 2]",two-tone,2.316583549043207
59,"[8, 3, 3]",two-tone,2,2,2,1.9152293404443064,"[8, 3, 3]",two-tone,1.9152293404443064
60,"[8, 3, 2]",two-tone,2,2,2,2.154143814631646,"[8, 3, 2]",two-tone,2.154143814631646
61,"[8, 2, 2]",two-tone,2,2,2,1.9209682402545536,"[8, 2, 2]",two-tone,1.9209682402545536
62,"[7, 7, 6]",two-tone,2,2,2,2.4325306601799617,"[7, 7, 6]",two-tone,2.4325306601799617
63,"[7, 7, 5]",two-tone,8,6,4,1.7542626674046995,"[7, 7, 5]",two-tone,1.7542626674046995
64,"[7, 7, 4]",two-tone,8,6,4,1.5324435297735768,"[7, 7, 4]",two-tone,1.5324435297735768
65,"[7, 7, 3]",two-tone,8,6,4,1.6094539877985516,"[7, 7, 3]",two-tone,1.6094539877985516
