,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 8]",two-tone,1,1,1,1.8116459270091143,"[9, 9, 8]",two-tone,1.8116459270091143
1,"[9, 9, 7]",two-tone,1,1,1,1.8548574713354757,"[9, 9, 7]",two-tone,1.8548574713354757
2,"[9, 9, 6]",two-tone,1,1,1,0.5271788819455705,"[9, 9, 6]",two-tone,0.5271788819455705
3,"[9, 9, 5]",two-tone,2,2,2,1.1006587951943811,"[9, 9, 5]",two-tone,1.1006587951943811
4,"[9, 9, 4]",two-tone,2,2,2,0.5664206265155489,"[9, 9, 4]",two-tone,0.5664206265155489
5,"[9, 9, 3]",two-tone,1,1,1,0.5158517375486327,"[9, 9, 3]",two-tone,0.5158517375486327
6,"[9, 9, 2]",two-tone,3,2,2,0.5115481631780043,"[9, 9, 2]",two-tone,0.5115481631780043
7,"[9, 8, 8]",two-tone,1,1,1,0.941964238760183,"[9, 8, 8]",two-tone,0.941964238760183
8,"[9, 8, 7]",two-tone,1,1,1,0.3452656125035074,"[9, 8, 7]",two-tone,0.3452656125035074
9,"[9, 8, 6]",two-tone,1,1,1,0.7575122605243312,"[9, 8, 6]",two-tone,0.7575122605243312
10,"[9, 8, 5]",two-tone,1,1,1,1.8148842241164556,"[9, 8, 5]",two-tone,1.8148842241164556
11,"[9, 8, 4]",two-tone,1,1,1,2.3243346157777385,"[9, 8, 4]",two-tone,2.3243346157777385
12,"[9, 8, 3]",two-tone,1,1,1,2.3940186701611426,"[9, 8, 3]",two-tone,2.3940186701611426
13,"[9, 8, 2]",two-tone,1,1,1,2.3858592859981,"[9, 8, 2]",two-tone,2.3858592859981
14,"[9, 7, 7]",two-tone,2,2,2,1.2099903085254031,"[9, 7, 7]",two-tone,1.2099903085254031
15,"[9, 7, 6]",two-tone,2,2,2,1.5280303183257755,"[9, 7, 6]",two-tone,1.5280303183257755
16,"[9, 7, 5]",two-tone,2,2,2,1.3210640482136715,"[9, 7, 5]",two-tone,1.3210640482136715
17,"[9, 7, 4]",two-tone,1,1,1,2.453046493638497,"[9, 7, 4]",two-tone,2.453046493638497
18,"[9, 7, 3]",two-tone,2,2,2,2.485761355059946,"[9, 7, 3]",two-tone,2.485761355059946
19,"[9, 7, 2]",two-tone,2,2,2,2.4939511194081367,"[9, 7, 2]",two-tone,2.4939511194081367
20,"[9, 6, 6]",two-tone,1,1,1,1.864525238108288,"[9, 6, 6]",two-tone,1.864525238108288
21,"[9, 6, 5]",two-tone,3,2,2,-1.7105124493806838,"[9, 6, 5]",two-tone,-1.7105124493806838
22,"[9, 6, 4]",two-tone,1,1,1,2.3157209919234036,"[9, 6, 4]",two-tone,2.3157209919234036
23,"[9, 6, 3]",two-tone,2,2,2,2.335111309265921,"[9, 6, 3]",two-tone,2.335111309265921
24,"[9, 6, 2]",two-tone,1,1,1,2.345890822618701,"[9, 6, 2]",two-tone,2.345890822618701
25,"[9, 5, 5]",two-tone,2,2,2,2.722090767972064,"[9, 5, 5]",two-tone,2.722090767972064
26,"[9, 5, 4]",two-tone,1,1,1,3.025685559077618,"[9, 5, 4]",two-tone,3.025685559077618
27,"[9, 5, 3]",two-tone,1,1,1,3.0914180624709218,"[9, 5, 3]",two-tone,3.0914180624709218
28,"[9, 5, 2]",two-tone,2,2,2,3.1178404317929083,"[9, 5, 2]",two-tone,3.1178404317929083
29,"[9, 4, 4]",two-tone,2,2,2,2.3498451865604024,"[9, 4, 4]",two-tone,2.3498451865604024
30,"[9, 4, 3]",two-tone,2,2,2,2.6582259874709133,"[9, 4, 3]",two-tone,2.6582259874709133
31,"[9, 4, 2]",two-tone,1,1,1,2.672408349679232,"[9, 4, 2]",two-tone,2.672408349679232
32,"[9, 3, 3]",two-tone,1,1,1,1.971007327096667,"[9, 3, 3]",two-tone,1.971007327096667
33,"[9, 3, 2]",two-tone,2,2,2,2.6785242635077124,"[9, 3, 2]",two-tone,2.6785242635077124
34,"[9, 2, 2]",two-tone,1,1,1,1.9692853050862096,"[9, 2, 2]",two-tone,1.9692853050862096
35,"[8, 8, 7]",two-tone,1,1,1,0.3692298033902663,"[8, 8, 7]",two-tone,0.3692298033902663
36,"[8, 8, 6]",two-tone,2,2,2,0.8259095604563764,"[8, 8, 6]",two-tone,0.8259095604563764
37,"[8, 8, 5]",two-tone,3,2,2,-1.5571639544675542,"[8, 8, 5]",two-tone,-1.5571639544675542
38,"[8, 8, 4]",two-tone,1,1,1,-0.8122814781214144,"[8, 8, 4]",two-tone,-0.8122814781214144
39,"[8, 8, 3]",two-tone,1,1,1,-0.8321241481288171,"[8, 8, 3]",two-tone,-0.8321241481288171
40,"[8, 8, 2]",two-tone,1,1,1,-0.843577529553786,"[8, 8, 2]",two-tone,-0.843577529553786
41,"[8, 7, 7]",two-tone,1,1,1,1.309535860953404,"[8, 7, 7]",two-tone,1.309535860953404
42,"[8, 7, 6]",two-tone,1,1,1,1.4639732153613283,"[8, 7, 6]",two-tone,1.4639732153613283
43,"[8, 7, 5]",two-tone,1,1,1,0.6991251491594419,"[8, 7, 5]",two-tone,0.6991251491594419
44,"[8, 7, 4]",two-tone,1,1,1,1.812455755727348,"[8, 7, 4]",two-tone,1.812455755727348
45,"[8, 7, 3]",two-tone,1,1,1,1.99248460302776,"[8, 7, 3]",two-tone,1.99248460302776
46,"[8, 7, 2]",two-tone,1,1,1,1.98616474868422,"[8, 7, 2]",two-tone,1.98616474868422
47,"[8, 6, 6]",two-tone,2,2,2,1.693932526746794,"[8, 6, 6]",two-tone,1.693932526746794
48,"[8, 6, 5]",two-tone,2,2,2,0.7593093039581251,"[8, 6, 5]",two-tone,0.7593093039581251
49,"[8, 6, 4]",two-tone,1,1,1,2.18190236679885,"[8, 6, 4]",two-tone,2.18190236679885
50,"[8, 6, 3]",two-tone,1,1,1,2.440283093658536,"[8, 6, 3]",two-tone,2.440283093658536
51,"[8, 6, 2]",two-tone,1,1,1,2.442969518536585,"[8, 6, 2]",two-tone,2.442969518536585
52,"[8, 5, 5]",two-tone,1,1,1,1.3727632062998372,"[8, 5, 5]",two-tone,1.3727632062998372
53,"[8, 5, 4]",two-tone,2,2,2,1.348191026377267,"[8, 5, 4]",two-tone,1.348191026377267
54,"[8, 5, 3]",two-tone,2,2,2,1.6813887822813882,"[8, 5, 3]",two-tone,1.6813887822813882
55,"[8, 5, 2]",two-tone,2,2,2,1.676012354740405,"[8, 5, 2]",two-tone,1.676012354740405
56,"[8, 4, 4]",two-tone,3,2,2,1.8014296106790064,"[8, 4, 4]",two-tone,1.8014296106790064
57,"[8, 4, 3]",two-tone,2,2,2,2.5163276637109835,"[8, 4, 3]",two-tone,2.5163276637109835
58,"[8, 4, 2]",two-tone,1,1,1,2.5121102790338337,"[8, 4, 2]",two-tone,2.5121102790338337
