,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 8]",two-tone,1,1,1,2.768835603628728,"[9, 9, 8]",two-tone,2.768835603628728
1,"[9, 9, 7]",two-tone,1,1,1,2.13515746828455,"[9, 9, 7]",two-tone,2.13515746828455
2,"[9, 9, 6]",two-tone,1,1,1,1.9477080183494893,"[9, 9, 6]",two-tone,1.9477080183494893
3,"[9, 9, 5]",two-tone,2,2,2,2.027773906342394,"[9, 9, 5]",two-tone,2.027773906342394
4,"[9, 9, 4]",two-tone,1,1,1,1.1237687567285686,"[9, 9, 4]",two-tone,1.1237687567285686
5,"[9, 9, 3]",two-tone,3,2,2,1.1868080425097052,"[9, 9, 3]",two-tone,1.1868080425097052
6,"[9, 9, 2]",two-tone,3,2,2,1.4916463654912708,"[9, 9, 2]",two-tone,1.4916463654912708
7,"[9, 8, 8]",two-tone,1,1,1,3.227338623382328,"[9, 8, 8]",two-tone,3.227338623382328
8,"[9, 8, 7]",two-tone,1,1,1,2.095863637463581,"[9, 8, 7]",two-tone,2.095863637463581
9,"[9, 8, 6]",two-tone,1,1,1,3.3407638405138638,"[9, 8, 6]",two-tone,3.3407638405138638
10,"[9, 8, 5]",two-tone,1,1,1,3.2725113533530217,"[9, 8, 5]",two-tone,3.2725113533530217
11,"[9, 8, 4]",two-tone,1,1,1,4.065486781440577,"[9, 8, 4]",two-tone,4.065486781440577
12,"[9, 8, 3]",two-tone,1,1,1,4.143145258000319,"[9, 8, 3]",two-tone,4.143145258000319
13,"[9, 8, 2]",two-tone,1,1,1,4.398413904824012,"[9, 8, 2]",two-tone,4.398413904824012
14,"[9, 7, 7]",two-tone,2,2,2,3.3212280681817306,"[9, 7, 7]",two-tone,3.3212280681817306
15,"[9, 7, 6]",two-tone,1,1,1,2.49007118133715,"[9, 7, 6]",two-tone,2.49007118133715
16,"[9, 7, 5]",two-tone,1,1,1,2.709824693512172,"[9, 7, 5]",two-tone,2.709824693512172
17,"[9, 7, 4]",two-tone,2,2,2,3.4718835732679736,"[9, 7, 4]",two-tone,3.4718835732679736
18,"[9, 7, 3]",two-tone,1,1,1,3.8315013758955496,"[9, 7, 3]",two-tone,3.8315013758955496
19,"[9, 7, 2]",two-tone,2,2,2,4.0445026895818215,"[9, 7, 2]",two-tone,4.0445026895818215
20,"[9, 6, 6]",two-tone,1,1,1,3.0305221168026217,"[9, 6, 6]",two-tone,3.0305221168026217
21,"[9, 6, 5]",two-tone,1,1,1,2.613604933840788,"[9, 6, 5]",two-tone,2.613604933840788
22,"[9, 6, 4]",two-tone,1,1,1,3.552655337852773,"[9, 6, 4]",two-tone,3.552655337852773
23,"[9, 6, 3]",two-tone,1,1,1,3.718806169660101,"[9, 6, 3]",two-tone,3.718806169660101
24,"[9, 6, 2]",two-tone,1,1,1,4.172805585444745,"[9, 6, 2]",two-tone,4.172805585444745
25,"[9, 5, 5]",two-tone,1,1,1,2.9188314622274865,"[9, 5, 5]",two-tone,2.9188314622274865
26,"[9, 5, 4]",two-tone,1,1,1,3.4038072955097545,"[9, 5, 4]",two-tone,3.4038072955097545
27,"[9, 5, 3]",two-tone,1,1,1,3.634270827794871,"[9, 5, 3]",two-tone,3.634270827794871
28,"[9, 5, 2]",two-tone,2,2,2,4.101989018475983,"[9, 5, 2]",two-tone,4.101989018475983
29,"[9, 4, 4]",two-tone,1,1,1,2.518210339342722,"[9, 4, 4]",two-tone,2.518210339342722
30,"[9, 4, 3]",two-tone,1,1,1,3.5225823235216915,"[9, 4, 3]",two-tone,3.5225823235216915
31,"[9, 4, 2]",two-tone,2,2,2,3.682673086549245,"[9, 4, 2]",two-tone,3.682673086549245
32,"[9, 3, 3]",two-tone,2,2,2,2.9279265374991037,"[9, 3, 3]",two-tone,2.9279265374991037
33,"[9, 3, 2]",two-tone,1,1,1,3.889548770676208,"[9, 3, 2]",two-tone,3.889548770676208
34,"[9, 2, 2]",two-tone,1,1,1,3.1162570780169374,"[9, 2, 2]",two-tone,3.1162570780169374
35,"[8, 8, 7]",two-tone,1,1,1,3.8948271130721706,"[8, 8, 7]",two-tone,3.8948271130721706
36,"[8, 8, 6]",two-tone,1,1,1,3.6986503820260177,"[8, 8, 6]",two-tone,3.6986503820260177
37,"[8, 8, 5]",two-tone,1,1,1,2.8664556301821995,"[8, 8, 5]",two-tone,2.8664556301821995
38,"[8, 8, 4]",two-tone,1,1,1,3.1327046334872763,"[8, 8, 4]",two-tone,3.1327046334872763
39,"[8, 8, 3]",two-tone,1,1,1,2.1816156127891597,"[8, 8, 3]",two-tone,2.1816156127891597
40,"[8, 8, 2]",two-tone,1,1,1,2.4828556815172185,"[8, 8, 2]",two-tone,2.4828556815172185
41,"[8, 7, 7]",two-tone,1,1,1,3.79167432761558,"[8, 7, 7]",two-tone,3.79167432761558
42,"[8, 7, 6]",two-tone,1,1,1,2.8925321783916305,"[8, 7, 6]",two-tone,2.8925321783916305
43,"[8, 7, 5]",two-tone,1,1,1,3.617493453001248,"[8, 7, 5]",two-tone,3.617493453001248
44,"[8, 7, 4]",two-tone,1,1,1,3.0183937598663846,"[8, 7, 4]",two-tone,3.0183937598663846
45,"[8, 7, 3]",two-tone,1,1,1,4.595780161265992,"[8, 7, 3]",two-tone,4.595780161265992
46,"[8, 7, 2]",two-tone,1,1,1,4.818974032692567,"[8, 7, 2]",two-tone,4.818974032692567
47,"[8, 6, 6]",two-tone,1,1,1,3.5366955129037043,"[8, 6, 6]",two-tone,3.5366955129037043
48,"[8, 6, 5]",two-tone,1,1,1,2.8555861865036025,"[8, 6, 5]",two-tone,2.8555861865036025
49,"[8, 6, 4]",two-tone,2,2,2,3.607777055998519,"[8, 6, 4]",two-tone,3.607777055998519
50,"[8, 6, 3]",two-tone,2,2,2,4.11482517090419,"[8, 6, 3]",two-tone,4.11482517090419
51,"[8, 6, 2]",two-tone,2,2,2,4.3729761102778575,"[8, 6, 2]",two-tone,4.3729761102778575
52,"[8, 5, 5]",two-tone,1,1,1,3.0792389191606735,"[8, 5, 5]",two-tone,3.0792389191606735
53,"[8, 5, 4]",two-tone,1,1,1,3.1296355198100567,"[8, 5, 4]",two-tone,3.1296355198100567
54,"[8, 5, 3]",two-tone,1,1,1,4.020644458546403,"[8, 5, 3]",two-tone,4.020644458546403
55,"[8, 5, 2]",two-tone,1,1,1,4.280748778705484,"[8, 5, 2]",two-tone,4.280748778705484
56,"[8, 4, 4]",two-tone,2,2,2,3.6338989245085447,"[8, 4, 4]",two-tone,3.6338989245085447
57,"[8, 4, 3]",two-tone,2,2,2,4.2015027344769935,"[8, 4, 3]",two-tone,4.2015027344769935
58,"[8, 4, 2]",two-tone,1,1,1,4.445653138569653,"[8, 4, 2]",two-tone,4.445653138569653
59,"[8, 3, 3]",two-tone,1,1,1,3.3020351871292903,"[8, 3, 3]",two-tone,3.3020351871292903
60,"[8, 3, 2]",two-tone,1,1,1,4.395323432223004,"[8, 3, 2]",two-tone,4.395323432223004
61,"[8, 2, 2]",two-tone,1,1,1,3.486115023528108,"[8, 2, 2]",two-tone,3.486115023528108
62,"[7, 7, 6]",two-tone,1,1,1,3.4438332903920497,"[7, 7, 6]",two-tone,3.4438332903920497
63,"[7, 7, 5]",two-tone,1,1,1,3.03953915496676,"[7, 7, 5]",two-tone,3.03953915496676
64,"[7, 7, 4]",two-tone,1,1,1,2.3398609566769437,"[7, 7, 4]",two-tone,2.3398609566769437
65,"[7, 7, 3]",two-tone,2,2,2,3.097191421003028,"[7, 7, 3]",two-tone,3.097191421003028
66,"[7, 7, 2]",two-tone,3,2,2,2.36113431902902,"[7, 7, 2]",two-tone,2.36113431902902
67,"[7, 6, 6]",two-tone,1,1,1,3.3146491591042397,"[7, 6, 6]",two-tone,3.3146491591042397
68,"[7, 6, 5]",two-tone,1,1,1,3.584876146368975,"[7, 6, 5]",two-tone,3.584876146368975
69,"[7, 6, 4]",two-tone,1,1,1,2.836530106642532,"[7, 6, 4]",two-tone,2.836530106642532
70,"[7, 6, 3]",two-tone,1,1,1,2.9694670443214912,"[7, 6, 3]",two-tone,2.9694670443214912
71,"[7, 6, 2]",two-tone,1,1,1,4.3188866068049165,"[7, 6, 2]",two-tone,4.3188866068049165
72,"[7, 5, 5]",two-tone,1,1,1,2.5035219516557907,"[7, 5, 5]",two-tone,2.5035219516557907
73,"[7, 5, 4]",two-tone,1,1,1,2.839534106715032,"[7, 5, 4]",two-tone,2.839534106715032
74,"[7, 5, 3]",two-tone,2,2,2,3.3858296687644414,"[7, 5, 3]",two-tone,3.3858296687644414
75,"[7, 5, 2]",two-tone,1,1,1,3.835606596147796,"[7, 5, 2]",two-tone,3.835606596147796
76,"[7, 4, 4]",two-tone,2,2,2,2.8241289941972387,"[7, 4, 4]",two-tone,2.8241289941972387
77,"[7, 4, 3]",two-tone,2,2,2,1.8360994947111384,"[7, 4, 3]",two-tone,1.8360994947111384
78,"[7, 4, 2]",two-tone,3,2,2,3.783584503379706,"[7, 4, 2]",two-tone,3.783584503379706
79,"[7, 3, 3]",two-tone,3,2,2,3.874445448619524,"[7, 3, 3]",two-tone,3.874445448619524
80,"[7, 3, 2]",two-tone,1,1,1,4.437912850231953,"[7, 3, 2]",two-tone,4.437912850231953
81,"[7, 2, 2]",two-tone,1,1,1,3.2739172808617614,"[7, 2, 2]",two-tone,3.2739172808617614
82,"[6, 6, 5]",two-tone,1,1,1,3.211701664895398,"[6, 6, 5]",two-tone,3.211701664895398
83,"[6, 6, 4]",two-tone,1,1,1,3.1799847817845266,"[6, 6, 4]",two-tone,3.1799847817845266
84,"[6, 6, 3]",two-tone,2,2,2,2.46166486576287,"[6, 6, 3]",two-tone,2.46166486576287
85,"[6, 6, 2]",two-tone,1,1,1,2.9733145401703096,"[6, 6, 2]",two-tone,2.9733145401703096
86,"[6, 5, 5]",two-tone,1,1,1,2.83627819864294,"[6, 5, 5]",two-tone,2.83627819864294
87,"[6, 5, 4]",two-tone,1,1,1,2.9557574828330395,"[6, 5, 4]",two-tone,2.9557574828330395
88,"[6, 5, 3]",two-tone,1,1,1,2.7898804533619046,"[6, 5, 3]",two-tone,2.7898804533619046
89,"[6, 5, 2]",two-tone,1,1,1,3.7679997708333315,"[6, 5, 2]",two-tone,3.7679997708333315
90,"[6, 4, 4]",two-tone,2,2,2,2.7048536688997684,"[6, 4, 4]",two-tone,2.7048536688997684
91,"[6, 4, 3]",two-tone,1,1,1,3.162112927040005,"[6, 4, 3]",two-tone,3.162112927040005
92,"[6, 4, 2]",two-tone,2,2,2,3.7523961412064715,"[6, 4, 2]",two-tone,3.7523961412064715
93,"[6, 3, 3]",two-tone,2,2,2,3.0369806015279663,"[6, 3, 3]",two-tone,3.0369806015279663
94,"[6, 3, 2]",two-tone,1,1,1,2.076119222924872,"[6, 3, 2]",two-tone,2.076119222924872
95,"[6, 2, 2]",two-tone,1,1,1,3.4467458580833323,"[6, 2, 2]",two-tone,3.4467458580833323
96,"[5, 5, 4]",two-tone,1,1,1,2.5817141969914035,"[5, 5, 4]",two-tone,2.5817141969914035
97,"[5, 5, 3]",two-tone,1,1,1,2.834339194130063,"[5, 5, 3]",two-tone,2.834339194130063
98,"[5, 5, 2]",two-tone,2,2,2,1.9390023478629248,"[5, 5, 2]",two-tone,1.9390023478629248
99,"[5, 4, 4]",two-tone,1,1,1,3.012157613031455,"[5, 4, 4]",two-tone,3.012157613031455
100,"[5, 4, 3]",two-tone,1,1,1,3.1175067540963632,"[5, 4, 3]",two-tone,3.1175067540963632
101,"[5, 4, 2]",two-tone,1,1,1,3.2669453093190564,"[5, 4, 2]",two-tone,3.2669453093190564
102,"[5, 3, 3]",two-tone,2,2,2,3.2419263720446114,"[5, 3, 3]",two-tone,3.2419263720446114
103,"[5, 3, 2]",two-tone,1,1,1,3.355991716158353,"[5, 3, 2]",two-tone,3.355991716158353
104,"[5, 2, 2]",two-tone,1,1,1,2.949323880241653,"[5, 2, 2]",two-tone,2.949323880241653
105,"[4, 4, 3]",two-tone,1,1,1,2.9644011492947206,"[4, 4, 3]",two-tone,2.9644011492947206
106,"[4, 4, 2]",two-tone,8,6,4,3.12643976400743,"[4, 4, 2]",two-tone,3.12643976400743
107,"[4, 3, 3]",two-tone,2,2,2,3.4211926456636483,"[4, 3, 3]",two-tone,3.4211926456636483
108,"[4, 3, 2]",two-tone,1,1,1,2.1780623829436907,"[4, 3, 2]",two-tone,2.1780623829436907
109,"[4, 2, 2]",two-tone,8,6,4,3.50019119080853,"[4, 2, 2]",two-tone,3.50019119080853
110,"[3, 3, 2]",two-tone,10,7,5,3.8758252344386817,"[3, 3, 2]",two-tone,3.8758252344386817
111,"[3, 2, 2]",two-tone,8,6,4,3.697838913601645,"[3, 2, 2]",two-tone,3.697838913601645
112,"[14, 9, 9]",two-tone,2,2,2,2.153695825845067,"[14, 9, 9]",two-tone,2.153695825845067
113,"[14, 9, 8]",two-tone,1,1,1,4.594331313573316,"[14, 9, 8]",two-tone,4.594331313573316
114,"[14, 9, 7]",two-tone,2,2,2,3.691300848987484,"[14, 9, 7]",two-tone,3.691300848987484
115,"[14, 9, 6]",two-tone,1,1,1,3.648124636832677,"[14, 9, 6]",two-tone,3.648124636832677
116,"[14, 9, 5]",two-tone,2,2,2,4.104854832151304,"[14, 9, 5]",two-tone,4.104854832151304
117,"[14, 9, 4]",two-tone,2,2,2,2.8362378749405703,"[14, 9, 4]",two-tone,2.8362378749405703
118,"[14, 9, 3]",two-tone,2,2,2,3.6229216182315023,"[14, 9, 3]",two-tone,3.6229216182315023
119,"[14, 9, 2]",two-tone,2,2,2,4.075193557206238,"[14, 9, 2]",two-tone,4.075193557206238
120,"[14, 8, 8]",two-tone,2,2,2,2.894571979805332,"[14, 8, 8]",two-tone,2.894571979805332
121,"[14, 8, 7]",two-tone,1,1,1,4.652913422847503,"[14, 8, 7]",two-tone,4.652913422847503
122,"[14, 8, 6]",two-tone,1,1,1,4.248425181634556,"[14, 8, 6]",two-tone,4.248425181634556
123,"[14, 8, 5]",two-tone,1,1,1,4.037290780203045,"[14, 8, 5]",two-tone,4.037290780203045
124,"[14, 8, 4]",two-tone,1,1,1,4.371653305255497,"[14, 8, 4]",two-tone,4.371653305255497
125,"[14, 8, 3]",two-tone,3,2,2,3.8976301936284363,"[14, 8, 3]",two-tone,3.8976301936284363
126,"[14, 8, 2]",two-tone,1,1,1,4.322127914561737,"[14, 8, 2]",two-tone,4.322127914561737
127,"[14, 7, 7]",two-tone,1,1,1,2.5317901495835966,"[14, 7, 7]",two-tone,2.5317901495835966
128,"[14, 7, 6]",two-tone,1,1,1,3.935548797244152,"[14, 7, 6]",two-tone,3.935548797244152
129,"[14, 7, 5]",two-tone,1,1,1,3.171259146143876,"[14, 7, 5]",two-tone,3.171259146143876
130,"[14, 7, 4]",two-tone,3,2,2,2.9201226179279685,"[14, 7, 4]",two-tone,2.9201226179279685
131,"[14, 7, 3]",two-tone,1,1,1,3.5690146968894823,"[14, 7, 3]",two-tone,3.5690146968894823
132,"[14, 7, 2]",two-tone,3,2,2,3.7926349966204382,"[14, 7, 2]",two-tone,3.7926349966204382
133,"[14, 6, 6]",two-tone,1,1,1,2.4915024954622567,"[14, 6, 6]",two-tone,2.4915024954622567
134,"[14, 6, 5]",two-tone,1,1,1,3.63760849445238,"[14, 6, 5]",two-tone,3.63760849445238
135,"[14, 6, 4]",two-tone,1,1,1,3.211200478935392,"[14, 6, 4]",two-tone,3.211200478935392
136,"[14, 6, 3]",two-tone,3,2,2,2.9709089760907146,"[14, 6, 3]",two-tone,2.9709089760907146
137,"[14, 6, 2]",two-tone,2,2,2,3.773052499645321,"[14, 6, 2]",two-tone,3.773052499645321
138,"[14, 5, 5]",two-tone,2,2,2,2.070132624955374,"[14, 5, 5]",two-tone,2.070132624955374
139,"[14, 5, 4]",two-tone,1,1,1,3.08847762283934,"[14, 5, 4]",two-tone,3.08847762283934
140,"[14, 5, 3]",two-tone,1,1,1,3.4292327431738947,"[14, 5, 3]",two-tone,3.4292327431738947
141,"[14, 5, 2]",two-tone,1,1,1,3.2185831285956703,"[14, 5, 2]",two-tone,3.2185831285956703
142,"[14, 4, 4]",two-tone,1,1,1,2.4938620341359408,"[14, 4, 4]",two-tone,2.4938620341359408
143,"[14, 4, 3]",two-tone,2,2,2,3.6681530028758753,"[14, 4, 3]",two-tone,3.6681530028758753
144,"[14, 4, 2]",two-tone,1,1,1,3.792460466645016,"[14, 4, 2]",two-tone,3.792460466645016
145,"[14, 3, 3]",two-tone,1,1,1,3.5936735808573754,"[14, 3, 3]",two-tone,3.5936735808573754
146,"[14, 3, 2]",two-tone,2,2,2,2.7136715371085733,"[14, 3, 2]",two-tone,2.7136715371085733
147,"[14, 2, 2]",two-tone,1,1,1,3.843256658564592,"[14, 2, 2]",two-tone,3.843256658564592
148,"[14, 14, 9]",two-tone,1,1,1,3.0891905016079035,"[14, 14, 9]",two-tone,3.0891905016079035
149,"[14, 14, 8]",two-tone,2,2,2,3.246461373162893,"[14, 14, 8]",two-tone,3.246461373162893
150,"[14, 14, 7]",two-tone,1,1,1,2.8416654355869486,"[14, 14, 7]",two-tone,2.8416654355869486
151,"[14, 14, 6]",two-tone,1,1,1,2.8267873102182617,"[14, 14, 6]",two-tone,2.8267873102182617
152,"[14, 14, 5]",two-tone,1,1,1,2.7597401180165155,"[14, 14, 5]",two-tone,2.7597401180165155
153,"[14, 14, 4]",two-tone,10,7,5,3.4947679830045004,"[14, 14, 4]",two-tone,3.4947679830045004
154,"[14, 14, 3]",two-tone,10,7,5,4.102272012895213,"[14, 14, 3]",two-tone,4.102272012895213
155,"[14, 14, 2]",two-tone,10,7,5,4.548689928127441,"[14, 14, 2]",two-tone,4.548689928127441
156,"[14, 14, 13]",two-tone,1,1,1,4.802185855391743,"[14, 14, 13]",two-tone,4.802185855391743
157,"[14, 14, 12]",two-tone,1,1,1,4.415291732370745,"[14, 14, 12]",two-tone,4.415291732370745
158,"[14, 14, 11]",two-tone,2,2,2,4.646812691915228,"[14, 14, 11]",two-tone,4.646812691915228
159,"[14, 14, 10]",two-tone,1,1,1,3.626194820619225,"[14, 14, 10]",two-tone,3.626194820619225
160,"[14, 13, 9]",two-tone,1,1,1,5.383564944939103,"[14, 13, 9]",two-tone,5.383564944939103
161,"[14, 13, 8]",two-tone,1,1,1,5.496745549655887,"[14, 13, 8]",two-tone,5.496745549655887
162,"[14, 13, 7]",two-tone,1,1,1,4.788405920679715,"[14, 13, 7]",two-tone,4.788405920679715
163,"[14, 13, 6]",two-tone,1,1,1,4.730530349548522,"[14, 13, 6]",two-tone,4.730530349548522
164,"[14, 13, 5]",two-tone,1,1,1,4.795607171204408,"[14, 13, 5]",two-tone,4.795607171204408
165,"[14, 13, 4]",two-tone,1,1,1,4.701322993736211,"[14, 13, 4]",two-tone,4.701322993736211
166,"[14, 13, 3]",two-tone,1,1,1,4.99240630092312,"[14, 13, 3]",two-tone,4.99240630092312
167,"[14, 13, 2]",two-tone,1,1,1,5.362796823862258,"[14, 13, 2]",two-tone,5.362796823862258
168,"[14, 13, 13]",two-tone,1,1,1,4.158773382632509,"[14, 13, 13]",two-tone,4.158773382632509
169,"[14, 13, 12]",two-tone,2,2,2,6.149227968657162,"[14, 13, 12]",two-tone,6.149227968657162
170,"[14, 13, 11]",two-tone,2,2,2,5.702457582464768,"[14, 13, 11]",two-tone,5.702457582464768
171,"[14, 13, 10]",two-tone,1,1,1,5.234880055774302,"[14, 13, 10]",two-tone,5.234880055774302
172,"[14, 12, 9]",two-tone,1,1,1,5.150771083837404,"[14, 12, 9]",two-tone,5.150771083837404
173,"[14, 12, 8]",two-tone,1,1,1,5.768321595345472,"[14, 12, 8]",two-tone,5.768321595345472
174,"[14, 12, 7]",two-tone,1,1,1,4.54173094673601,"[14, 12, 7]",two-tone,4.54173094673601
175,"[14, 12, 6]",two-tone,1,1,1,4.578631499087535,"[14, 12, 6]",two-tone,4.578631499087535
176,"[14, 12, 5]",two-tone,1,1,1,4.712138918142569,"[14, 12, 5]",two-tone,4.712138918142569
177,"[14, 12, 4]",two-tone,1,1,1,4.707058783137018,"[14, 12, 4]",two-tone,4.707058783137018
178,"[14, 12, 3]",two-tone,1,1,1,5.075212232304502,"[14, 12, 3]",two-tone,5.075212232304502
179,"[14, 12, 2]",two-tone,1,1,1,5.524207572868916,"[14, 12, 2]",two-tone,5.524207572868916
180,"[14, 12, 12]",two-tone,1,1,1,4.472422645203252,"[14, 12, 12]",two-tone,4.472422645203252
181,"[14, 12, 11]",two-tone,1,1,1,5.346714563599125,"[14, 12, 11]",two-tone,5.346714563599125
182,"[14, 12, 10]",two-tone,1,1,1,6.137543383892252,"[14, 12, 10]",two-tone,6.137543383892252
183,"[14, 11, 9]",two-tone,1,1,1,4.87648199299365,"[14, 11, 9]",two-tone,4.87648199299365
184,"[14, 11, 8]",two-tone,1,1,1,5.438227211238121,"[14, 11, 8]",two-tone,5.438227211238121
185,"[14, 11, 7]",two-tone,2,2,2,5.645605997311428,"[14, 11, 7]",two-tone,5.645605997311428
186,"[14, 11, 6]",two-tone,2,2,2,4.514554950836337,"[14, 11, 6]",two-tone,4.514554950836337
187,"[14, 11, 5]",two-tone,2,2,2,4.4872738642212635,"[14, 11, 5]",two-tone,4.4872738642212635
188,"[14, 11, 4]",two-tone,1,1,1,4.434463182847744,"[14, 11, 4]",two-tone,4.434463182847744
189,"[14, 11, 3]",two-tone,1,1,1,4.799707327886166,"[14, 11, 3]",two-tone,4.799707327886166
190,"[14, 11, 2]",two-tone,1,1,1,5.213369141252876,"[14, 11, 2]",two-tone,5.213369141252876
191,"[14, 11, 11]",two-tone,2,2,2,3.8012210067499197,"[14, 11, 11]",two-tone,3.8012210067499197
192,"[14, 11, 10]",two-tone,1,1,1,7.7949570448666,"[14, 11, 10]",two-tone,7.7949570448666
193,"[14, 10, 9]",two-tone,1,1,1,4.201149414161225,"[14, 10, 9]",two-tone,4.201149414161225
194,"[14, 10, 8]",two-tone,1,1,1,4.45154378904579,"[14, 10, 8]",two-tone,4.45154378904579
195,"[14, 10, 7]",two-tone,1,1,1,3.82725209297267,"[14, 10, 7]",two-tone,3.82725209297267
196,"[14, 10, 6]",two-tone,1,1,1,4.811264432510451,"[14, 10, 6]",two-tone,4.811264432510451
197,"[14, 10, 5]",two-tone,1,1,1,3.3938944233189763,"[14, 10, 5]",two-tone,3.3938944233189763
198,"[14, 10, 4]",two-tone,2,2,2,3.396333110747987,"[14, 10, 4]",two-tone,3.396333110747987
