,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[14, 9, 9]",two-tone,8,6,4,1.030358329488272,"[14, 9, 9]",two-tone,1.030358329488272
1,"[14, 9, 8]",two-tone,1,1,1,0.9672732357574241,"[14, 9, 8]",two-tone,0.9672732357574241
2,"[14, 9, 7]",two-tone,2,2,2,0.8476209630618357,"[14, 9, 7]",two-tone,0.8476209630618357
3,"[14, 9, 6]",two-tone,2,2,2,0.7765171415025012,"[14, 9, 6]",two-tone,0.7765171415025012
4,"[14, 9, 5]",two-tone,2,2,2,0.7675352328357941,"[14, 9, 5]",two-tone,0.7675352328357941
5,"[14, 9, 4]",two-tone,1,1,1,0.7058772328425237,"[14, 9, 4]",two-tone,0.7058772328425237
6,"[14, 9, 3]",two-tone,1,1,1,0.7136426772186562,"[14, 9, 3]",two-tone,0.7136426772186562
7,"[14, 9, 2]",two-tone,1,1,1,0.7664078282008969,"[14, 9, 2]",two-tone,0.7664078282008969
8,"[14, 8, 8]",two-tone,15,10,7,1.390749439379795,"[14, 8, 8]",two-tone,1.390749439379795
9,"[14, 8, 7]",two-tone,1,1,1,0.7886663958542677,"[14, 8, 7]",two-tone,0.7886663958542677
10,"[14, 8, 6]",two-tone,15,10,7,0.7739879949185249,"[14, 8, 6]",two-tone,0.7739879949185249
11,"[14, 8, 5]",two-tone,15,10,7,0.8708920932178704,"[14, 8, 5]",two-tone,0.8708920932178704
12,"[14, 8, 4]",two-tone,15,10,7,0.9506506425728246,"[14, 8, 4]",two-tone,0.9506506425728246
13,"[14, 8, 3]",two-tone,15,10,7,0.8948462882721699,"[14, 8, 3]",two-tone,0.8948462882721699
14,"[14, 8, 2]",two-tone,15,10,7,0.9909384167013668,"[14, 8, 2]",two-tone,0.9909384167013668
15,"[14, 7, 7]",two-tone,15,10,7,1.120502557920401,"[14, 7, 7]",two-tone,1.120502557920401
16,"[14, 7, 6]",two-tone,15,10,7,0.589126561903236,"[14, 7, 6]",two-tone,0.589126561903236
17,"[14, 7, 5]",two-tone,15,10,7,0.6812199205079899,"[14, 7, 5]",two-tone,0.6812199205079899
18,"[14, 7, 4]",two-tone,15,10,7,0.7276863631940131,"[14, 7, 4]",two-tone,0.7276863631940131
19,"[14, 7, 3]",two-tone,15,10,7,0.6858786562109591,"[14, 7, 3]",two-tone,0.6858786562109591
20,"[14, 7, 2]",two-tone,15,10,7,0.70105310453937,"[14, 7, 2]",two-tone,0.70105310453937
21,"[14, 6, 6]",two-tone,15,10,7,1.1996582545643348,"[14, 6, 6]",two-tone,1.1996582545643348
22,"[14, 6, 5]",two-tone,15,10,7,0.7010491118768527,"[14, 6, 5]",two-tone,0.7010491118768527
23,"[14, 6, 4]",two-tone,15,10,7,0.7079238451783022,"[14, 6, 4]",two-tone,0.7079238451783022
24,"[14, 6, 3]",two-tone,15,10,7,0.6716724706929285,"[14, 6, 3]",two-tone,0.6716724706929285
25,"[14, 6, 2]",two-tone,15,10,7,0.6699484465440878,"[14, 6, 2]",two-tone,0.6699484465440878
26,"[14, 5, 5]",two-tone,15,10,7,1.3124778695242196,"[14, 5, 5]",two-tone,1.3124778695242196
27,"[14, 5, 4]",two-tone,1,1,1,0.7596583577750046,"[14, 5, 4]",two-tone,0.7596583577750046
28,"[14, 5, 3]",two-tone,1,1,1,0.7481557091542951,"[14, 5, 3]",two-tone,0.7481557091542951
29,"[14, 5, 2]",two-tone,1,1,1,0.5883150968097532,"[14, 5, 2]",two-tone,0.5883150968097532
30,"[14, 4, 4]",two-tone,15,10,7,1.3849812884196024,"[14, 4, 4]",two-tone,1.3849812884196024
31,"[14, 4, 3]",two-tone,15,10,7,0.5699785363334675,"[14, 4, 3]",two-tone,0.5699785363334675
32,"[14, 4, 2]",two-tone,1,1,1,0.6438077292970429,"[14, 4, 2]",two-tone,0.6438077292970429
33,"[14, 3, 3]",two-tone,15,10,7,1.4669738458653268,"[14, 3, 3]",two-tone,1.4669738458653268
34,"[14, 3, 2]",two-tone,2,2,2,0.7090167155760242,"[14, 3, 2]",two-tone,0.7090167155760242
35,"[14, 2, 2]",two-tone,15,10,7,1.5871265879525749,"[14, 2, 2]",two-tone,1.5871265879525749
36,"[14, 14, 9]",two-tone,8,6,4,0.7036043824122118,"[14, 14, 9]",two-tone,0.7036043824122118
37,"[14, 14, 8]",two-tone,16,11,8,0.960696706213478,"[14, 14, 8]",two-tone,0.960696706213478
38,"[14, 14, 7]",two-tone,16,11,8,0.7201205322661992,"[14, 14, 7]",two-tone,0.7201205322661992
39,"[14, 14, 6]",two-tone,16,11,8,0.7026768223865497,"[14, 14, 6]",two-tone,0.7026768223865497
40,"[14, 14, 5]",two-tone,16,11,8,0.8337753293714002,"[14, 14, 5]",two-tone,0.8337753293714002
41,"[14, 14, 4]",two-tone,15,10,7,0.8274741925150071,"[14, 14, 4]",two-tone,0.8274741925150071
42,"[14, 14, 3]",two-tone,15,10,7,0.8574585013008741,"[14, 14, 3]",two-tone,0.8574585013008741
43,"[14, 14, 2]",two-tone,15,10,7,1.0722561249186269,"[14, 14, 2]",two-tone,1.0722561249186269
44,"[14, 14, 13]",two-tone,8,6,4,0.8248373017571891,"[14, 14, 13]",two-tone,0.8248373017571891
45,"[14, 14, 12]",two-tone,8,6,4,0.7146945687854287,"[14, 14, 12]",two-tone,0.7146945687854287
46,"[14, 14, 11]",two-tone,8,6,4,0.7135367858306547,"[14, 14, 11]",two-tone,0.7135367858306547
47,"[14, 14, 10]",two-tone,8,6,4,0.6167604864883729,"[14, 14, 10]",two-tone,0.6167604864883729
48,"[14, 13, 9]",two-tone,2,2,2,0.8692303155667434,"[14, 13, 9]",two-tone,0.8692303155667434
