,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 8]",two-tone,1,1,1,2.4754733297664884,"[9, 9, 8]",two-tone,2.4754733297664884
1,"[9, 9, 7]",two-tone,1,1,1,2.25077158591292,"[9, 9, 7]",two-tone,2.25077158591292
2,"[9, 9, 6]",two-tone,1,1,1,2.183436358376652,"[9, 9, 6]",two-tone,2.183436358376652
3,"[9, 9, 5]",two-tone,2,2,2,2.4774778328362053,"[9, 9, 5]",two-tone,2.4774778328362053
4,"[9, 9, 4]",two-tone,1,1,1,1.5120255800386593,"[9, 9, 4]",two-tone,1.5120255800386593
5,"[9, 9, 3]",two-tone,2,2,2,1.5415756674354708,"[9, 9, 3]",two-tone,1.5415756674354708
6,"[9, 9, 2]",two-tone,2,2,2,1.8241177232436736,"[9, 9, 2]",two-tone,1.8241177232436736
7,"[9, 8, 8]",two-tone,1,1,1,2.0724024616529912,"[9, 8, 8]",two-tone,2.0724024616529912
8,"[9, 8, 7]",two-tone,1,1,1,0.7631531246805591,"[9, 8, 7]",two-tone,0.7631531246805591
9,"[9, 8, 6]",two-tone,1,1,1,2.1656348922861666,"[9, 8, 6]",two-tone,2.1656348922861666
10,"[9, 8, 5]",two-tone,1,1,1,2.163450035356381,"[9, 8, 5]",two-tone,2.163450035356381
11,"[9, 8, 4]",two-tone,1,1,1,2.7462816882881738,"[9, 8, 4]",two-tone,2.7462816882881738
12,"[9, 8, 3]",two-tone,1,1,1,2.807491329794687,"[9, 8, 3]",two-tone,2.807491329794687
13,"[9, 8, 2]",two-tone,1,1,1,3.063565880444626,"[9, 8, 2]",two-tone,3.063565880444626
14,"[9, 7, 7]",two-tone,8,6,4,2.533883123458037,"[9, 7, 7]",two-tone,2.533883123458037
15,"[9, 7, 6]",two-tone,1,1,1,2.5379873883627595,"[9, 7, 6]",two-tone,2.5379873883627595
16,"[9, 7, 5]",two-tone,1,1,1,2.4269875231392746,"[9, 7, 5]",two-tone,2.4269875231392746
17,"[9, 7, 4]",two-tone,1,1,1,2.746376180992197,"[9, 7, 4]",two-tone,2.746376180992197
18,"[9, 7, 3]",two-tone,1,1,1,3.0424178393343198,"[9, 7, 3]",two-tone,3.0424178393343198
19,"[9, 7, 2]",two-tone,1,1,1,3.2783525989304594,"[9, 7, 2]",two-tone,3.2783525989304594
20,"[9, 6, 6]",two-tone,1,1,1,2.212838538549309,"[9, 6, 6]",two-tone,2.212838538549309
21,"[9, 6, 5]",two-tone,1,1,1,2.075807506550344,"[9, 6, 5]",two-tone,2.075807506550344
22,"[9, 6, 4]",two-tone,1,1,1,2.8838316251923084,"[9, 6, 4]",two-tone,2.8838316251923084
23,"[9, 6, 3]",two-tone,1,1,1,3.0191253147890382,"[9, 6, 3]",two-tone,3.0191253147890382
24,"[9, 6, 2]",two-tone,1,1,1,3.50013539149228,"[9, 6, 2]",two-tone,3.50013539149228
25,"[9, 5, 5]",two-tone,2,2,2,2.5248959138700657,"[9, 5, 5]",two-tone,2.5248959138700657
26,"[9, 5, 4]",two-tone,1,1,1,2.9698381074025963,"[9, 5, 4]",two-tone,2.9698381074025963
27,"[9, 5, 3]",two-tone,1,1,1,3.2020033807346935,"[9, 5, 3]",two-tone,3.2020033807346935
28,"[9, 5, 2]",two-tone,2,2,2,3.6852951982307154,"[9, 5, 2]",two-tone,3.6852951982307154
29,"[9, 4, 4]",two-tone,1,1,1,1.9607465178134844,"[9, 4, 4]",two-tone,1.9607465178134844
30,"[9, 4, 3]",two-tone,1,1,1,2.8391700555637125,"[9, 4, 3]",two-tone,2.8391700555637125
31,"[9, 4, 2]",two-tone,1,1,1,3.031621366302488,"[9, 4, 2]",two-tone,3.031621366302488
32,"[9, 3, 3]",two-tone,1,1,1,2.3310834807275898,"[9, 3, 3]",two-tone,2.3310834807275898
33,"[9, 3, 2]",two-tone,2,2,2,3.2132325584146733,"[9, 3, 2]",two-tone,3.2132325584146733
34,"[9, 2, 2]",two-tone,3,2,2,2.552680046630486,"[9, 2, 2]",two-tone,2.552680046630486
35,"[8, 8, 7]",two-tone,1,1,1,3.0265374704092634,"[8, 8, 7]",two-tone,3.0265374704092634
36,"[8, 8, 6]",two-tone,1,1,1,2.9309556991814416,"[8, 8, 6]",two-tone,2.9309556991814416
37,"[8, 8, 5]",two-tone,1,1,1,2.476698080940042,"[8, 8, 5]",two-tone,2.476698080940042
38,"[8, 8, 4]",two-tone,2,2,2,2.4588771050170095,"[8, 8, 4]",two-tone,2.4588771050170095
39,"[8, 8, 3]",two-tone,2,2,2,1.6907170665263742,"[8, 8, 3]",two-tone,1.6907170665263742
40,"[8, 8, 2]",two-tone,1,1,1,1.9654638651213157,"[8, 8, 2]",two-tone,1.9654638651213157
41,"[8, 7, 7]",two-tone,1,1,1,2.944635981231995,"[8, 7, 7]",two-tone,2.944635981231995
42,"[8, 7, 6]",two-tone,1,1,1,2.311352279941332,"[8, 7, 6]",two-tone,2.311352279941332
43,"[8, 7, 5]",two-tone,1,1,1,3.1583560025208297,"[8, 7, 5]",two-tone,3.1583560025208297
44,"[8, 7, 4]",two-tone,1,1,1,2.3794670991037434,"[8, 7, 4]",two-tone,2.3794670991037434
45,"[8, 7, 3]",two-tone,1,1,1,3.703644636529901,"[8, 7, 3]",two-tone,3.703644636529901
46,"[8, 7, 2]",two-tone,1,1,1,3.8955852329158884,"[8, 7, 2]",two-tone,3.8955852329158884
47,"[8, 6, 6]",two-tone,1,1,1,2.778091951139264,"[8, 6, 6]",two-tone,2.778091951139264
48,"[8, 6, 5]",two-tone,1,1,1,2.5364115712255653,"[8, 6, 5]",two-tone,2.5364115712255653
49,"[8, 6, 4]",two-tone,1,1,1,2.9827186393682816,"[8, 6, 4]",two-tone,2.9827186393682816
50,"[8, 6, 3]",two-tone,1,1,1,3.340178277083073,"[8, 6, 3]",two-tone,3.340178277083073
51,"[8, 6, 2]",two-tone,2,2,2,3.5583447583956795,"[8, 6, 2]",two-tone,3.5583447583956795
52,"[8, 5, 5]",two-tone,1,1,1,2.6923118485904296,"[8, 5, 5]",two-tone,2.6923118485904296
53,"[8, 5, 4]",two-tone,1,1,1,2.641401733827125,"[8, 5, 4]",two-tone,2.641401733827125
54,"[8, 5, 3]",two-tone,1,1,1,3.4736926792683134,"[8, 5, 3]",two-tone,3.4736926792683134
55,"[8, 5, 2]",two-tone,1,1,1,3.7313769136683264,"[8, 5, 2]",two-tone,3.7313769136683264
