,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 8]",two-tone,16,11,8,5.910952472492957,"[9, 9, 8]",two-tone,5.910952472492957
1,"[9, 9, 7]",two-tone,16,11,8,5.54939667016003,"[9, 9, 7]",two-tone,5.54939667016003
2,"[9, 9, 6]",two-tone,16,11,8,5.066608887859148,"[9, 9, 6]",two-tone,5.066608887859148
3,"[9, 9, 5]",two-tone,16,11,8,5.243393883045293,"[9, 9, 5]",two-tone,5.243393883045293
4,"[9, 9, 4]",two-tone,16,11,8,5.161509898810078,"[9, 9, 4]",two-tone,5.161509898810078
5,"[9, 9, 3]",two-tone,16,11,8,5.320561155022599,"[9, 9, 3]",two-tone,5.320561155022599
6,"[9, 9, 2]",two-tone,16,11,8,5.253004239539792,"[9, 9, 2]",two-tone,5.253004239539792
7,"[9, 8, 8]",two-tone,16,11,8,6.5582351875,"[9, 8, 8]",two-tone,6.5582351875
8,"[9, 8, 7]",two-tone,15,10,7,6.1265895245036175,"[9, 8, 7]",two-tone,6.1265895245036175
9,"[9, 8, 6]",two-tone,15,10,7,5.987118777948147,"[9, 8, 6]",two-tone,5.987118777948147
10,"[9, 8, 5]",two-tone,15,10,7,5.963287354563493,"[9, 8, 5]",two-tone,5.963287354563493
11,"[9, 8, 4]",two-tone,16,11,8,5.131368127636677,"[9, 8, 4]",two-tone,5.131368127636677
12,"[9, 8, 3]",two-tone,16,11,8,5.366872336956521,"[9, 8, 3]",two-tone,5.366872336956521
13,"[9, 8, 2]",two-tone,16,11,8,5.278281523696682,"[9, 8, 2]",two-tone,5.278281523696682
14,"[9, 7, 7]",two-tone,16,11,8,6.159969787938762,"[9, 7, 7]",two-tone,6.159969787938762
15,"[9, 7, 6]",two-tone,16,11,8,5.84170501892683,"[9, 7, 6]",two-tone,5.84170501892683
16,"[9, 7, 5]",two-tone,15,10,7,6.356432064968345,"[9, 7, 5]",two-tone,6.356432064968345
17,"[9, 7, 4]",two-tone,15,10,7,4.9933166074105815,"[9, 7, 4]",two-tone,4.9933166074105815
18,"[9, 7, 3]",two-tone,15,10,7,5.226254089497042,"[9, 7, 3]",two-tone,5.226254089497042
