,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 8]",two-tone,16,11,8,3.025456670754478,"[9, 9, 8]",two-tone,3.025456670754478
1,"[9, 9, 7]",two-tone,16,11,8,2.9492799003133467,"[9, 9, 7]",two-tone,2.9492799003133467
2,"[9, 9, 6]",two-tone,16,11,8,3.0643587515513744,"[9, 9, 6]",two-tone,3.0643587515513744
3,"[9, 9, 5]",two-tone,16,11,8,3.1369178796940536,"[9, 9, 5]",two-tone,3.1369178796940536
4,"[9, 9, 4]",two-tone,16,11,8,3.2274245112950903,"[9, 9, 4]",two-tone,3.2274245112950903
5,"[9, 9, 3]",two-tone,16,11,8,3.2057156882196085,"[9, 9, 3]",two-tone,3.2057156882196085
6,"[9, 9, 2]",two-tone,16,11,8,3.2125915505439124,"[9, 9, 2]",two-tone,3.2125915505439124
7,"[9, 8, 8]",two-tone,16,11,8,3.3081963451239678,"[9, 8, 8]",two-tone,3.3081963451239678
8,"[9, 8, 7]",two-tone,16,11,8,3.070027926998378,"[9, 8, 7]",two-tone,3.070027926998378
9,"[9, 8, 6]",two-tone,16,11,8,3.1112039017053394,"[9, 8, 6]",two-tone,3.1112039017053394
10,"[9, 8, 5]",two-tone,16,11,8,3.2370388121800326,"[9, 8, 5]",two-tone,3.2370388121800326
11,"[9, 8, 4]",two-tone,16,11,8,2.8637363859380445,"[9, 8, 4]",two-tone,2.8637363859380445
12,"[9, 8, 3]",two-tone,16,11,8,2.8295796711864667,"[9, 8, 3]",two-tone,2.8295796711864667
13,"[9, 8, 2]",two-tone,16,11,8,2.845967677224282,"[9, 8, 2]",two-tone,2.845967677224282
14,"[9, 7, 7]",two-tone,16,11,8,3.364289561345211,"[9, 7, 7]",two-tone,3.364289561345211
15,"[9, 7, 6]",two-tone,16,11,8,3.118198589420565,"[9, 7, 6]",two-tone,3.118198589420565
16,"[9, 7, 5]",two-tone,16,11,8,3.1392639583100785,"[9, 7, 5]",two-tone,3.1392639583100785
17,"[9, 7, 4]",two-tone,16,11,8,2.782345827469926,"[9, 7, 4]",two-tone,2.782345827469926
18,"[9, 7, 3]",two-tone,16,11,8,2.774412266100357,"[9, 7, 3]",two-tone,2.774412266100357
19,"[9, 7, 2]",two-tone,16,11,8,2.7667450669689515,"[9, 7, 2]",two-tone,2.7667450669689515
20,"[9, 6, 6]",two-tone,16,11,8,3.2504193796166985,"[9, 6, 6]",two-tone,3.2504193796166985
21,"[9, 6, 5]",two-tone,16,11,8,3.4106824619051532,"[9, 6, 5]",two-tone,3.4106824619051532
22,"[9, 6, 4]",two-tone,16,11,8,2.8514689224343384,"[9, 6, 4]",two-tone,2.8514689224343384
23,"[9, 6, 3]",two-tone,16,11,8,2.8913446431934338,"[9, 6, 3]",two-tone,2.8913446431934338
24,"[9, 6, 2]",two-tone,16,11,8,2.8952897784735816,"[9, 6, 2]",two-tone,2.8952897784735816
25,"[9, 5, 5]",two-tone,16,11,8,3.2574986199426568,"[9, 5, 5]",two-tone,3.2574986199426568
26,"[9, 5, 4]",two-tone,16,11,8,2.9232750853104537,"[9, 5, 4]",two-tone,2.9232750853104537
27,"[9, 5, 3]",two-tone,16,11,8,2.9633075679014667,"[9, 5, 3]",two-tone,2.9633075679014667
28,"[9, 5, 2]",two-tone,16,11,8,2.9629526811381317,"[9, 5, 2]",two-tone,2.9629526811381317
29,"[9, 4, 4]",two-tone,16,11,8,3.297355172193175,"[9, 4, 4]",two-tone,3.297355172193175
30,"[9, 4, 3]",two-tone,16,11,8,3.0941212313028013,"[9, 4, 3]",two-tone,3.0941212313028013
31,"[9, 4, 2]",two-tone,16,11,8,3.080344116128605,"[9, 4, 2]",two-tone,3.080344116128605
32,"[9, 3, 3]",two-tone,16,11,8,3.269357608767637,"[9, 3, 3]",two-tone,3.269357608767637
33,"[9, 3, 2]",two-tone,16,11,8,3.1060991712561528,"[9, 3, 2]",two-tone,3.1060991712561528
34,"[9, 2, 2]",two-tone,16,11,8,3.3124232766885164,"[9, 2, 2]",two-tone,3.3124232766885164
35,"[8, 8, 7]",two-tone,16,11,8,2.9952740992949516,"[8, 8, 7]",two-tone,2.9952740992949516
36,"[8, 8, 6]",two-tone,16,11,8,3.172169417255032,"[8, 8, 6]",two-tone,3.172169417255032
37,"[8, 8, 5]",two-tone,16,11,8,3.1711730043050967,"[8, 8, 5]",two-tone,3.1711730043050967
38,"[8, 8, 4]",two-tone,16,11,8,3.2992737715340734,"[8, 8, 4]",two-tone,3.2992737715340734
39,"[8, 8, 3]",two-tone,16,11,8,3.28078799825448,"[8, 8, 3]",two-tone,3.28078799825448
40,"[8, 8, 2]",two-tone,16,11,8,3.2880399324126564,"[8, 8, 2]",two-tone,3.2880399324126564
41,"[8, 7, 7]",two-tone,16,11,8,3.3570806375164786,"[8, 7, 7]",two-tone,3.3570806375164786
