,flop,board_type,0b,1b,2b,profit
0,"[13, 9, 9]",two-tone,0,0,0,0.5411065020627059
1,"[13, 9, 9]",two-tone,1,1,1,1.2014516851278876
2,"[13, 9, 9]",two-tone,3,2,2,1.540616418857403
3,"[13, 9, 9]",two-tone,4,3,2,1.5456602557058914
4,"[13, 9, 9]",two-tone,5,4,3,1.5765989044053317
5,"[13, 9, 9]",two-tone,7,5,4,1.6270595531876357
6,"[13, 9, 9]",two-tone,8,6,4,1.7838247165863526
7,"[13, 9, 9]",two-tone,10,7,5,1.7927603961892307
8,"[13, 9, 9]",two-tone,10,6,4,1.8244016140542971
9,"[13, 9, 9]",two-tone,10,6,3,1.8790900207900487
