,flop,board_type,0b,1b,2b,profit
0,"[11, 10, 10]",two-tone,0,0,0,1.131946727272727
1,"[11, 10, 10]",two-tone,1,1,1,1.8778343101604278
2,"[11, 10, 10]",two-tone,2,2,2,2.021535051419169
3,"[11, 10, 10]",two-tone,3,2,2,2.047562502563537
4,"[11, 10, 10]",two-tone,7,5,4,2.097695257649667
5,"[11, 10, 10]",two-tone,8,6,4,2.280886701585596
6,"[11, 10, 10]",two-tone,10,7,5,2.319073132867133
7,"[11, 10, 10]",two-tone,11,8,6,2.3207524612526056
8,"[11, 10, 10]",two-tone,13,9,6,2.478731912628547
9,"[11, 10, 10]",two-tone,14,10,7,2.5315422272727277
10,"[11, 10, 10]",two-tone,16,11,8,2.611957570569795
11,"[11, 10, 10]",two-tone,16,14,10,2.619415035294117
12,"[11, 10, 10]",two-tone,16,14,13,2.6442661718605933
